locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Fur,link
b1496,0.0765858665,yddA,ABC transporter family protein YddA,Inorganic ion transport and metabolism,yddAB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11742
b4293,0.07622885110000001,fecI,RNA polymerase sigma factor FecI,Transcription,fecIR,"RpoD,SlyA,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10291
b0587,0.0681756976,fepE,polysaccharide co-polymerase family protein FepE,Cell wall/membrane/envelope biogenesis,fes-ybdZ-entF-fepE,"RpoD,Fnr,H-NS,Fur,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10297
b4582_1,0.0677887761,yoeA_1,,No COG Annotation,yoeA_1,,False,
b1494,0.0672987229,pqqL,putative zinc peptidase,Function unknown,pqqL,"YfeC,oxyS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11744
b4291,0.0637641496,fecA,ferric citrate outer membrane transporter,Inorganic ion transport and metabolism,fecABCDE,"PdhR,omrA,omrB,YfeD,Crp,HypT,Nac,Fur,FecI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10286
b0803,0.0632121512,ybiI,zinc finger domain-containing protein YbiI,Signal transduction mechanisms,ybiI,"RpoS,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12421
b0152,0.0616585188,fhuD,iron(III) hydroxamate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10305
b0151,0.0582586844,fhuC,iron(III) hydroxamate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10304
b0153,0.0579534991,fhuB,iron(III) hydroxamate ABC transporter membrane subunit,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10303
b3070,0.054751406700000005,nfeF,NADPH-dependent ferric chelate reductase,Inorganic ion transport and metabolism,yqjH,"RpoD,Fur,NfeR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7593
b4640_1,-0.058391581000000005,yoeG_1,,No COG Annotation,yoeG_1,,False,
b3336,-0.0602569691,bfr,bacterioferritin,Inorganic ion transport and metabolism,bfd-bfr,"ryhB,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10113
b1656,-0.1046423909,sodB,superoxide dismutase (Fe),Energy production and conversion,sodB,"RpoD,ryhB,fnrS,IHF,Crp,NsrR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10954
