locus,comp,gene_name,product,operon,TF,rpoS,link
b1454,0.0487032933942,yncG,predicted enzyme,yncG,nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6765
b2347,0.0484864285558,yfdC,inner membrane protein YfdC,yfdC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7217
b2137,0.0483674596889,yohF,predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain,yohF,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12019
b1678,0.0477203745805,ldtE,"L,D-transpeptidase LdtE",ldtE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6904
b2602,0.0469512261653,yfiL,putative lipoprotein,yfiL,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12446
b0304,0.04643224724330002,rclA,predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain; hypochlorite stress response,rclABC,"rclR, rpoE",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6174
b0808,0.046137146596300006,ybiO,mechanosensitive channel YbiO,ybiO,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6417
b4045,0.0450213342062,yjbJ,predicted stress response protein,yjbJ,"fur, lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11928
b1462,0.0448430391638,yddH,conserved protein,yddH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6769
b1450,0.044737315044099994,mcbR,McbR DNA-binding transcriptional dual regulator,mcbR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6761
b1646,0.044081758877099995,sodC,superoxide dismutase (Cu-Zn),sodC,"rpoS, yeiE",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6886
b0906,0.043382919479300015,ycaP,conserved inner membrane protein,ycaP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6469
b4336,0.0425399099801,yjiN,hypothetical protein,mdtM-yjiN,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7933
b3102,0.0422781103597,yqjG,S-glutathionyl-(chloro)hydroquinone reductase,yqjG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7616
b1724,0.042154336656400004,ydiZ,putative protein,ydiZ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6929
b1725,0.0420968594231,yniA,predicted phosphotransferase/kinase,yniA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6930
b2809,0.041852638737499996,ygdI,putative lipoprotein,ygdI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7453
b4039,0.0415515358406,ubiC,chorismate lyase,ubiCA,"arcA, fnr, ihf, nac, narL, rpoD, yeiE",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11369
b0643,0.0415455286439,ybeL,conserved protein,ybeL,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12851
b1440,0.0408780467757,ydcS,"putative transport protein, ABC superfamily - periplasmic binding protein / polyhydroxybutyrate synthase",ydcSTUV-patD,"nac, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b2535,0.0408633115143,csiE,stationary phase inducible protein,csiE,"crp, h-NS, lrp, nac, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7329
b3024,0.0402991288674,ygiW,stress-induced protein,ygiW,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7574
b1161,-0.0433985619455,ycgX,uncharacterized protein YcgX,ycgX,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6601
