locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Nac,PaaX,link
b1483,0.0673510864,ddpF,putative D%2CD-dipeptide ABC transporter ATP-binding subunit DdpF,Inorganic ion transport and metabolism,ddpXABCDF,"RpoN,RpoS,NtrC",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6777
b1463,0.0667252015,nhoA,arylamine N-acetyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",nhoA,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6770
b1397,0.0655383741,paaJ,beta-ketoadipyl-CoA thiolase,Lipid transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6718
b1381,0.0648241539,ydbH,PF11739 family protein YdbH,Function unknown,ydbH-ynbE-ydbL,YheO,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6703
b1435,0.0644649614,rlhA,23S rRNA 5-hydroxycytidine C2501 synthase,"Post-translational modification, protein turnover,and chaperones",rlhA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6746
b1400,0.0639778743,paaY,2-hydroxycyclohepta-1%2C4%2C6-triene-1-carboxyl-CoA thioesterase,Function unknown,paaXY,"RpoD,PaaX",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6721
b3908,0.0637166102,sodA,superoxide dismutase (Mn),Inorganic ion transport and metabolism,sodA,"RpoD,Rob,SoxR,fnrS,ArcA,Fnr,Crp,MarA,IHF,SoxS,Fur,ryhB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10953
b1479,0.0636941048,maeA,malate dehydrogenase%2C NAD-requiring,Energy production and conversion,maeA,"fnrS,spf",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10948
b1459,0.0626259266,yncI,putative transposase YncI,"Replication, recombination and repair",,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6767
b1399,0.061518287000000005,paaX,DNA-binding transcriptional repressor PaaX,Transcription,paaXY,"RpoD,PaaX",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6720
b1473,0.0606890618,yddG,aromatic amino acid exporter,Amino acid transport and metabolism,yddG,RpoS,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12713
b1386,0.0604153449,tynA,copper-containing amine oxidase,"Secondary metabolites biosynthesis, transport, and catabolism",tynA,"RpoD,FeaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG13139
b1341,0.0594696627,dgcM,diguanylate cyclase DgcM,Signal transduction mechanisms,dgcM,"ppGpp,Lrp,omrA,omrB,rprA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6673
b1464,0.0587792911,yddE,PF02567 family protein YddE,Function unknown,yddE,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11825
b1407,0.0585752447,ydbD,DUF2773 domain-containing protein YdbD,Function unknown,ydbD,"YciT,RpoS,NsrR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11310
b1457,0.057915908,ydcD,uncharacterized protein YdcD,No COG annotation,rhsE-ydcD,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11760
b1420,0.0568422866,mokB,putative regulatory protein MokB,No COG annotation,mokB,"sokB,Crp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6736
b1439,0.0551185727,ydcR,fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR,Transcription,ydcR,YdcR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6750
b1411,0.054779328200000005,ynbD,putative phosphatase,Lipid transport and metabolism,ynbABCD,RcsB-BglJ,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6730
b1452,0.0538558026,yncE,PQQ-like domain-containing protein YncE,Function unknown,yncE,"MarA,ArcA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b1491,0.05316723600000001,yddW,putative lipoprotein YddW,Function unknown,yddW,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6785
b1477,0.053098958800000005,yddM,putative DNA-binding transcriptional regulator YddM,Transcription,yddM,"YddM,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6774
b1467,0.051310081800000004,narY,nitrate reductase Z subunit beta,Energy production and conversion,narZYWV,OmpR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10647
b1340,0.051214514,smrA,DNA endonuclease SmrA,"Replication, recombination and repair",smrA,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6672
b1465,0.0508696588,narV,nitrate reductase Z subunit gamma,Energy production and conversion,narZYWV,"RpoE,OmpR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10644
b1338,0.0507791513,abgA,p-aminobenzoyl-glutamate hydrolase subunit A,Amino acid transport and metabolism,abgABT-ogt,Nac,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6670
b1356,0.0501532639,racR,Rac prophage%3B DNA-binding transcriptional repressor RacR,Transcription,racR,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6680
b1408,0.048543649300000005,ynbA,putative inner membrane protein,Lipid transport and metabolism,,RcsB-BglJ,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6727
b0355,-0.0486977093,frmB,S-formylglutathione hydrolase FrmB,Function unknown,frmRAB,FrmR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6208
b4077,-0.0524574244,gltP,glutamate/aspartate : H(+) symporter GltP,Energy production and conversion,gltP,"YidZ,YdcI,ArgR,Lrp,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10405
b0357,-0.0566799801,frmR,DNA-binding transcriptional repressor FrmR,Transcription,frmRAB,FrmR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6209
b0356,-0.0584800933,frmA,S-(hydroxymethyl)glutathione dehydrogenase,Energy production and conversion,frmRAB,FrmR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG50010
b2276,-0.0706310713,nuoN,NADH:quinone oxidoreductase subunit N,Energy production and conversion,nuoABCEFGHIJKLMN,"RpoD,NarL,OmpR,ArcA,IHF,Fis,Fnr,ryhB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12093
