locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,DguR,SouR,link
PA2762,0.131127493,PA2762,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2762&e1=1&assembly=complete
PA3467,0.10021262600000001,PA3467,,major facilitator superfamily transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3467&e1=1&assembly=complete
PA5379,0.08904012900000001,sdaB,,L-serine dehydratase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5379&e1=1&assembly=complete
PA1646,0.084655221,PA1646,,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1646&e1=1&assembly=complete
PA5376,0.076792048,PA5376,,ABC transporter ATP-binding protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5376&e1=1&assembly=complete
PA5381,0.074115023,PA5381,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5381&e1=1&assembly=complete
PA5377,0.071451388,PA5377,,ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5377&e1=1&assembly=complete
PA5378,0.064739936,PA5378,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5378&e1=1&assembly=complete
PA4506,0.059828272,PA4506,,peptide ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4506&e1=1&assembly=complete
PA4505,0.058900492000000006,PA4505,,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4505&e1=1&assembly=complete
PA5082,0.05811234,PA5082,,ABC transporter,Amino acid transport and metabolism,DguR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5082&e1=1&assembly=complete
PA5380,0.053485665,gbdR,,protein GbdR,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5380&e1=1&assembly=complete
PA2444,0.05265554200000001,glyA2,,serine hydroxymethyltransferase,Amino acid transport and metabolism,GcsR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2444&e1=1&assembly=complete
