locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,AmrZ,RsmA,link
PA2234,0.076360096,pslD,,biofilm formation protein PslD,Cell wall/membrane/envelope biogenesis,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2234&e1=1&assembly=complete
PA2238,0.076177458,pslH,,biofilm formation protein PslH,Cell wall/membrane/envelope biogenesis,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2238&e1=1&assembly=complete
PA2239,0.075995502,pslI,,biofilm formation protein PslI,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2239&e1=1&assembly=complete
PA3064,0.07520070100000001,pelA,,hypothetical protein,Function unknown,"RpoS,FleQ,RsmA",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3064&e1=1&assembly=complete
PA2235,0.073712257,pslE,,biofilm formation protein PslE,"Cell cycle control, cell division, chromosome partitioning",AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2235&e1=1&assembly=complete
PA2241,0.070967311,pslK,,biofilm formation protein PslL,Function unknown,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2241&e1=1&assembly=complete
PA3063,0.070579316,pelB,,pellicle/biofilm biosynthesis protein PelB,Function unknown,"RpoS,FleQ,RsmA",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3063&e1=1&assembly=complete
PA2237,0.069319169,pslG,,biofilm formation protein PslG,Carbohydrate transport and metabolism,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2237&e1=1&assembly=complete
PA2240,0.06762048,pslJ,,biofilm formation protein PslJ,Cell wall/membrane/envelope biogenesis,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2240&e1=1&assembly=complete
PA2232,0.06754882200000001,pslB,,biofilm formation protein PslB,Carbohydrate transport and metabolism,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2232&e1=1&assembly=complete
PA2236,0.067070634,pslF,,biofilm formation protein PslF,Cell wall/membrane/envelope biogenesis,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2236&e1=1&assembly=complete
PA2233,0.06581067900000001,pslC,,biofilm formation protein PslC,Function unknown,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2233&e1=1&assembly=complete
PA3865a,0.063528677,PA3865a,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3865a&e1=1&assembly=complete
PA3060,0.063195139,pelE,,pellicle/biofilm biosynthesis protein PelE,Energy production and conversion,"RpoS,FleQ,RsmA",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3060&e1=1&assembly=complete
PA2242,0.05661013,pslL,,hypothetical protein,Carbohydrate transport and metabolism,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2242&e1=1&assembly=complete
PA2231,0.054991469,pslA,,biofilm formation protein PslA,Cell wall/membrane/envelope biogenesis,AmrZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2231&e1=1&assembly=complete
PA5044,-0.05473639,pilM,,type 4 fimbrial biogenesis protein PilM,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5044&e1=1&assembly=complete
PA5043,-0.057574112000000004,pilN,,type 4 fimbrial biogenesis protein PilN,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5043&e1=1&assembly=complete
PA0026,-0.057648559,plcB,,phospholipase C,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0026&e1=1&assembly=complete
PA4528,-0.058241281000000006,pilD,,type 4 prepilin peptidase PilD,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4528&e1=1&assembly=complete
PA3762,-0.058336442,PA3762,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3762&e1=1&assembly=complete
PA2436,-0.05895221900000001,PA2436,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2436&e1=1&assembly=complete
PA0396,-0.05920483,pilU,,twitching motility protein PilU,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0396&e1=1&assembly=complete
PA4553,-0.059907073000000005,pilX,,type 4 fimbrial biogenesis protein PilX,Cell motility,"PA1226,AlgR",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4553&e1=1&assembly=complete
PA5139,-0.061751386000000005,PA5139,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5139&e1=1&assembly=complete
PA4704,-0.064336856,cbpA,,cAMP-binding protein A,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4704&e1=1&assembly=complete
PA3091,-0.06596573600000001,PA3091,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3091&e1=1&assembly=complete
PA0359,-0.066612721,PA0359,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0359&e1=1&assembly=complete
PA2761,-0.068209319,PA2761,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2761&e1=1&assembly=complete
PA0028,-0.06866266600000001,PA0028,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0028&e1=1&assembly=complete
PA4307,-0.07074264100000001,pctC,,chemotactic transducer PctC,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4307&e1=1&assembly=complete
PA0391,-0.07353164400000001,PA0391,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0391&e1=1&assembly=complete
PA0602,-0.073602342,PA0602,,ABC transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0602&e1=1&assembly=complete
PA0027,-0.075404792,PA0027,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0027&e1=1&assembly=complete
PA0951a,-0.079274908,PA0951a,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0951a&e1=1&assembly=complete
PA5033,-0.082684437,PA5033,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5033&e1=1&assembly=complete
PA4683,-0.08276499500000001,PA4683,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4683&e1=1&assembly=complete
PA3114,-0.085306375,truA,,tRNA pseudouridine synthase A,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3114&e1=1&assembly=complete
PA3116,-0.089514309,PA3116,,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3116&e1=1&assembly=complete
PA4523,-0.0906283,PA4523,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4523&e1=1&assembly=complete
PA4616,-0.09403460100000001,PA4616,,C4-dicarboxylate-binding protein,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4616&e1=1&assembly=complete
PA4525,-0.10357595100000001,pilA,,type 4 fimbrial protein PilA,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4525&e1=1&assembly=complete
PA3115,-0.11411298900000001,fimV,,motility protein FimV,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3115&e1=1&assembly=complete
PA0952,-0.13683947500000002,PA0952,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0952&e1=1&assembly=complete
