locus,gene_weight,gene_name,gene_product,cog,regulator,OxyR,link
b2152,0.0566917000181206,yeiB,DUF418 domain-containing protein YeiB,Function unknown,"RpoD,MetJ,fnrS,sgrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11290
b0882,0.056168162748287,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA,"Post-translational modification, protein turnover,and chaperones","RpoD,YdcN,YeiE,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10156
b1680,0.0545956020765161,sufS,L-cysteine desulfurase,Coenzyme transport and metabolism,"RpoD,NsrR,IHF,IscR,OxyR,Fur,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6906
b1661,0.0523566495875891,cfa,cyclopropane fatty acyl phospholipid synthase,Cell wall/membrane/envelope biogenesis,"RpoD,YdcN,RpoS,Nac,ppGpp,ArrS,cpxQ,rydC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11531
b3424,0.0508614159451516,glpG,rhomboid protease,Function unknown,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10397
b0850,-0.0545987685605308,ybjC,DUF1418 domain-containing protein YbjC,Function unknown,"RpoD,Rob,MarA,OxyR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12842
b2731,-0.0547995649659696,fhlA,DNA-binding transcriptional activator FhlA,Transcription,"oxyS,YbaQ,RpoN,NsrR,IHF,FhlA,Fnr",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10301
b0315,-0.0583956294818341,pdeL,DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL,Transcription,"RpoD,ppGpp,Cra,PdeL,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11236
b3070,-0.0598111513825138,nfeF,NADPH-dependent ferric chelate reductase,Inorganic ion transport and metabolism,"RpoD,Fur,NfeR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7593
b1823,-0.0649329649098802,cspC,stress protein%2C member of the CspA family,Transcription,"RpoD,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12204
b1619,-0.066785955280537,hdhA,7-alpha-hydroxysteroid dehydrogenase,Lipid transport and metabolism,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10425
b1824,-0.0726795778379339,yobF,DUF2527 domain-containing protein YobF,Function unknown,"RpoD,oxyS,YdcI,YdcR,YcaN,Nac,BtsR,cyaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7000
b1663,-0.0732172597460995,mdtK,multidrug efflux pump MdtK,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12400
b4367,-0.0858773920414461,fhuF,hydroxamate siderophore iron reductase,Function unknown,"RpoD,YciT,OxyR,Fur,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7949
