locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA1561,0.076607379,aer,,aerotaxis receptor Aer,Cell motility,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1561&e1=1&assembly=complete
PA4067,0.07553859,oprG,,outer membrane protein OprG,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4067&e1=1&assembly=complete
PA0545,0.074563392,PA0545,,hypothetical protein,Inorganic ion transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0545&e1=1&assembly=complete
PA3913,0.071984728,PA3913,,protease,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3913&e1=1&assembly=complete
PA2867,0.07136924,PA2867,,chemotaxis transducer,Cell motility,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2867&e1=1&assembly=complete
PA5440,0.06956377100000001,PA5440,,peptidase,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5440&e1=1&assembly=complete
PA4611,0.068708793,PA4611,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4611&e1=1&assembly=complete
PA2127,0.066798971,PA2127,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2127&e1=1&assembly=complete
PA1557,0.065633776,ccoN2,,cbb3-type cytochrome C oxidase subunit I,Energy production and conversion,Anr,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1557&e1=1&assembly=complete
PA0526,0.065559195,PA0526,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0526&e1=1&assembly=complete
PA3458,0.06478064800000001,PA3458,,transcriptional regulator,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3458&e1=1&assembly=complete
PA3879,0.06288186600000001,narL,,transcriptional regulator NarL,Signal transduction mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3879&e1=1&assembly=complete
PA0836,0.059541634,ackA,,acetate kinase,Nucleotide transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0836&e1=1&assembly=complete
PA5207,0.058815064,PA5207,,phosphate transporter,Inorganic ion transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5207&e1=1&assembly=complete
PA3465,0.055542277,PA3465,,hypothetical protein,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3465&e1=1&assembly=complete
PA3614,0.055221171000000006,PA3614,,hypothetical protein,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3614&e1=1&assembly=complete
PA1076,0.054564635,PA1076,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1076&e1=1&assembly=complete
PA3877,0.054357420000000004,narK1,,nitrite extrusion protein 1,Inorganic ion transport and metabolism,NarL,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3877&e1=1&assembly=complete
PA4596,0.054249568000000005,esrC,,transcriptional regulator,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4596&e1=1&assembly=complete
PA3018,0.053085689000000005,PA3018,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3018&e1=1&assembly=complete
PA2136,0.052824653000000006,PA2136,,hypothetical protein,No COG annotation,RpoN,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2136&e1=1&assembly=complete
PA5494,0.051253735,PA5494,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5494&e1=1&assembly=complete
PA2500,0.051164368,PA2500,,major facilitator superfamily transporter,Inorganic ion transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2500&e1=1&assembly=complete
PA0519,0.047919263000000004,nirS,,nitrite reductase,Energy production and conversion,"Anr,Anr,Dnr",https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0519&e1=1&assembly=complete
PA5231,0.046625633,PA5231,,ABC transporter ATP-binding protein/permease,Defense mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5231&e1=1&assembly=complete
PA5304,0.046467735,dadA,,D-amino acid dehydrogenase small subunit,Amino acid transport and metabolism,lrp,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5304&e1=1&assembly=complete
PA1604,0.045610985,PA1604,,hypothetical protein,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1604&e1=1&assembly=complete
PA4587,0.044346136,ccpR,,cytochrome C551 peroxidase,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4587&e1=1&assembly=complete
PA4918,0.043818558,PA4918,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",NrtR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4918&e1=1&assembly=complete
PA0295,0.043614066,PA0295,,polyamine binding protein,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0295&e1=1&assembly=complete
PA4358,0.041807867000000005,PA4358,,ferrous iron transporter B,Inorganic ion transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4358&e1=1&assembly=complete
PA0041a,0.041462106000000006,PA0041a,,transposase,"Replication, recombination and repair",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0041a&e1=1&assembly=complete
PA1746,0.040290769000000004,PA1746,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1746&e1=1&assembly=complete
PA1049,0.037410429,pdxH,,pyridoxine/pyridoxamine 5'-phosphate oxidase,Coenzyme transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1049&e1=1&assembly=complete
PA2663,0.03693825,ppyR,,psl and pyoverdine operon regulator PpyR,No COG annotation,NorR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2663&e1=1&assembly=complete
PA1647,0.036529759,PA1647,,sulfate transporter,"Intracellular trafficking, secretion, and vesicular transport",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1647&e1=1&assembly=complete
PA2754,0.036329801,PA2754,,hypothetical protein,Signal transduction mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2754&e1=1&assembly=complete
PA3815,-0.039669444000000005,iscR,,HTH-type transcriptional regulator,Transcription,IscR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3815&e1=1&assembly=complete
PA4471,-0.040567308,PA4471,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4471&e1=1&assembly=complete
