locus,gene_weight,gene_name,gene_product,COG,operon,regulator,SigE,SigG,link
BSU_27469,0.07119099400000001,yrzR,unknown,Function unknown,"yrrD->yrzQ, yrzR->yrzQ","SigG,SigF",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27469
BSU_25600,0.071008544,comER,putative pyrroline-5-carboxylate reductase,Amino acid transport and metabolism,comER,,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25600
BSU_09180,0.06891316,yhcQ,unknown,Cell wall/membrane/envelope biogenesis,yhcQ,SigG,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09180
BSU_25760,0.06831445800000001,sigK,[SW|RNA polymerase ][SW|sporulation]-specific [SW|sigma factor](sigma-K) (5' part of the gene),No COG category,sigK,"GerE,SigK,SigE,SpoIIID,ScoC",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU25760
BSU_11750,0.06681494,cotY,spore crust protein (insoluble fraction),Function unknown,cotY->cotZ,"GerR,GerE,SigK,SigE",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11750
BSU_17990,0.063906144,sspO,small acid-soluble spore protein (minor),No COG category,sspO->sspP,SigG,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17990
BSU_02600,0.061397806000000006,cwlJ,"spore coat protein, cell wall hydrolase",Cell wall/membrane/envelope biogenesis,cwlJ,"SigK,SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02600
BSU_17980,0.061356216000000005,sspP,probable small acid-soluble spore protein (minor),Function unknown,sspO->sspP,SigG,False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU17980
BSU_09770,0.061104571,yheD,ATP-binding spore coat protein,Coenzyme transport and metabolism,yheC->yheD,"SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09770
BSU_29500,0.060992152,gerW,germination protein,Function unknown,ytfI->gerW,SigF,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU29500
BSU_08660,0.059657404000000004,sspE,small acid-soluble spore protein (major gamma-type SASP),Function unknown,"fabL->sspE, mutY->sspE","SpoVT,SigA,SigG,YfhP",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08660
BSU_14250,0.058927843,yknT,spore coat protein,Function unknown,yknT,"SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU14250
BSU_08490,0.058462318000000006,yfhD,unknown,Function unknown,yfhF->yfhD,"SigB,SigG,SigF",False,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08490
BSU_10790,0.056251069,asnO,asparagine synthase (glutamine-hydrolysing),Amino acid transport and metabolism,asnO,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU10790
BSU_36550,0.054628467,spoIIQ,part of the transmembrane channel linking the mother cell and the forespore,Cell wall/membrane/envelope biogenesis,spoIIQ,SigF,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36550
BSU_11740,0.054544429000000005,cotZ,spore crust protein (insoluble fraction),Function unknown,cotY->cotZ,"GerR,GerE,SigK,SigE",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11740
BSU_00160,0.054343746000000005,yaaH,N-acetylglucosaminidase,Cell wall/membrane/envelope biogenesis,"yaaH, yaaI->yaaH","SigE,SigB,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU00160
BSU_19740,0.053876748,yodT,unknown,Coenzyme transport and metabolism,yodT->yozE,SigE,True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU19740
BSU_38080,0.053869437000000006,ywcI,unknown,No COG category,ywcI->sacT,DnaA,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38080
BSU_40530,0.053490635,cotF,spore coat protein,Cell wall/membrane/envelope biogenesis,cotF,"SigK,SpoIIID",False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40530
BSU_27440,0.052773873000000006,glnH,glutamine [SW|ABC transporter] (binding protein),Amino acid transport and metabolism,glnQ->glnP,"SigE,TnrA",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27440
BSU_15090,0.049787374,gerR,unknown,Function unknown,gerR,"SigE,SpoIIID",True,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15090
