locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,RoxR,link
PA2429,0.056687944000000004,PA2429,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2429&e1=1&assembly=complete
PA0713,-0.055477359000000004,PA0713,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0713&e1=1&assembly=complete
PA1481,-0.055893352,ccmG,,cytochrome c-type biogenesis protein CcmG,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1481&e1=1&assembly=complete
PA4866,-0.056680140000000004,PA4866,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4866&e1=1&assembly=complete
PA3786,-0.057737492,PA3786,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3786&e1=1&assembly=complete
PA4863,-0.058461564,PA4863,,hypothetical protein,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4863&e1=1&assembly=complete
PA3784,-0.058795875000000004,PA3784,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3784&e1=1&assembly=complete
PA1476,-0.059437868000000005,ccmB,,heme exporter protein CcmB,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1476&e1=1&assembly=complete
PA3791,-0.062716137,PA3791,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3791&e1=1&assembly=complete
PA0541,-0.068012761,PA0541,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0541&e1=1&assembly=complete
PA1852,-0.06848557,PA1852,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1852&e1=1&assembly=complete
PA3785,-0.069042569,PA3785,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3785&e1=1&assembly=complete
PA4131,-0.074648802,PA4131,,iron-sulfur protein,Energy production and conversion,RsmA,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4131&e1=1&assembly=complete
PA1549,-0.07828797300000001,PA1549,,cation-transporting P-type ATPase,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1549&e1=1&assembly=complete
PA1551,-0.087976288,PA1551,,ferredoxin,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1551&e1=1&assembly=complete
PA3929,-0.100826808,cioB,,cyanide insensitive terminal oxidase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3929&e1=1&assembly=complete
PA1550,-0.105927557,PA1550,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1550&e1=1&assembly=complete
PA3928,-0.10634871500000001,PA3928,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3928&e1=1&assembly=complete
PA1123,-0.11221890100000001,PA1123,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1123&e1=1&assembly=complete
PA3930,-0.115086963,cioA,,cyanide insensitive terminal oxidase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3930&e1=1&assembly=complete
PA2381,-0.155370858,PA2381,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2381&e1=1&assembly=complete
