locus,gene_weight,gene_name,gene_product,cog,regulator,NrdR,Anr,link
PA1746,0.11890046100000001,PA1746,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1746&e1=1&assembly=complete
PA4067,0.0986643203,oprG,outer membrane protein OprG,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4067&e1=1&assembly=complete
PA4351,0.0912939587,PA4351,acyltransferase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4351&e1=1&assembly=complete
PA3309,0.0880242965,PA3309,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3309&e1=1&assembly=complete
PA4357,0.086813188,PA4357,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4357&e1=1&assembly=complete
PA2194,0.0859211785,hcnB,hydrogen cyanide synthase subunit HcnB,Energy production and conversion,"Anr,LasR,RhlR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2194&e1=1&assembly=complete
PA5496,0.0825128043,nrdJb,hypothetical protein,Nucleotide transport and metabolism,NrdR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5496&e1=1&assembly=complete
PA2193,0.0792350183,hcnA,hydrogen cyanide synthase subunit HcnA,Energy production and conversion,"Anr,LasR,RhlR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2193&e1=1&assembly=complete
PA2126,0.07723581980000001,PA2126,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2126&e1=1&assembly=complete
PA0459,0.07527955600000001,PA0459,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0459&e1=1&assembly=complete
PA2195,0.0749405583,hcnC,hydrogen cyanide synthase subunit HcnC,Amino acid transport and metabolism,"Anr,LasR,RhlR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2195&e1=1&assembly=complete
PA4236,0.0701379929,katA,catalase,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4236&e1=1&assembly=complete
PA4350,0.0688149517,PA4350,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4350&e1=1&assembly=complete
PA0518,0.0686923776,nirM,cytochrome C-551,Energy production and conversion,"Anr,Anr,Dnr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0518&e1=1&assembly=complete
PA0514,0.0652638379,nirL,heme d1 biosynthesis protein NirL,Transcription,"Anr,Anr,Dnr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0514&e1=1&assembly=complete
PA5230,0.0652194864,PA5230,ABC transporter permease,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5230&e1=1&assembly=complete
PA4352,0.0645339269,PA4352,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4352&e1=1&assembly=complete
PA0517,0.0633433856,nirC,cytochrome c55X,Energy production and conversion,"Anr,Anr,Dnr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0517&e1=1&assembly=complete
PA4358,0.0616335088,PA4358,ferrous iron transporter B,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4358&e1=1&assembly=complete
PA4922,0.0613539865,azu,azurin,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4922&e1=1&assembly=complete
PA1123,0.0608433668,PA1123,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1123&e1=1&assembly=complete
PA0516,0.059837159200000004,nirF,heme d1 biosynthesis protein NirF,Function unknown,"Anr,Anr,Dnr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0516&e1=1&assembly=complete
