locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PhoB,ArcA,link
b0330,0.07141988120000001,prpR,DNA-binding transcriptional dual regulator PrpR,Transcription,prpR,"RpoD,PrpR,Crp,AscG,PhoB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6195
b2844,0.0700303001,yqeF,putative acyltransferase,Lipid transport and metabolism,yqeF,"YidZ,ppGpp,Crp,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7464
b1612,0.0687607853,fumA,fumarase A,Energy production and conversion,fumAC,"RpoD,ryhB,ArcA,Fnr,Crp,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10356
b0580,0.0674212689,ybdJ,DUF1158 domain-containing protein YbdJ,Function unknown,ybdJ,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6325
b4210,0.0661811177,ytfF,inner membrane protein YtfF,Amino acid transport and metabolism,ytfF,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7867
b3397,0.0659950765,nudE,ADP-sugar diphosphatase NudE,"Replication, recombination and repair",nudE,"YciT,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7740
b1332,0.0639027977,ynaJ,DUF2534 domain-containing protein YnaJ,Function unknown,ynaJ,ArcA,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6668
b3523,0.0631998652,yhjE,putative transporter YhjE,Inorganic ion transport and metabolism,yhjE,"ppGpp,Lrp,Nac,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12249
b0432,0.062444988800000004,cyoA,cytochrome bo3 ubiquinol oxidase subunit 2,Energy production and conversion,cyoABCDE,"RpoD,YneJ,Fis,GadE,Crp,Fnr,HprR,ArcA,Cra,Fur,CusR,PdhR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10178
b1397,0.0620802822,paaJ,beta-ketoadipyl-CoA thiolase,Lipid transport and metabolism,paaABCDEFGHIJK,"RpoD,Crp,IHF,PaaX,SlyA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6718
b1297,0.061908507,puuA,glutamate-putrescine ligase,Amino acid transport and metabolism,puuAP,"RpoS,ArcA,Fnr,ppGpp,PuuR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6644
b3819,0.0599572816,rarD,putative transporter RarD,Function unknown,rarD,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11466
b1748,0.0597730017,astC,succinylornithine transaminase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6944
b2518,0.059430864400000005,ndk,nucleoside diphosphate kinase,Nucleotide transport and metabolism,ndk,"ppGpp,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10650
b0313,0.0583146873,betI,DNA-binding transcriptional repressor BetI,Transcription,betIBA,"RpoD,ArcA,Cra,BetI,ppGpp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10111
b3452,0.0580648401,ugpA,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA,Carbohydrate transport and metabolism,ugpBAECQ,"RpoD,Crp,PhoB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11046
b1611,0.0579201887,fumC,fumarase C,Energy production and conversion,fumAC,"RpoD,RpoS,ArcA,Fur,Fnr,Crp,MarA,Rob,SoxR,SoxS",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10358
b0314,0.0573784508,betT,choline:H(+) symporter,Cell wall/membrane/envelope biogenesis,betT,"RpoD,ArcA,Cra,BetI",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10112
b2210,0.0552933875,mqo,malate:quinone oxidoreductase,Energy production and conversion,mqo,"Lrp,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12069
b4705,0.053218011,mntS,small protein MntS,No COG annotation,rybA-mntS,"RpoD,MntR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10715
b2342,0.053058479900000004,fadI,3-ketoacyl-CoA thiolase FadI,Lipid transport and metabolism,fadIJ,"RpoD,ArcA,FadR,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7213
b0034,-0.0535327664,caiF,DNA-binding transcriptional activator CaiF,Transcription,caiF,"RpoD,YdcN,Crp,H-NS,Fnr,NarL,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6088
b0564,-0.0545024358,appY,DNA-binding transcriptional activator AppY,Transcription,appY,"RpoD,RpoS,ArcA,DpiA,H-NS",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10050
b3408,-0.056250405100000005,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b0733,-0.0568832285,cydA,cytochrome bd-I ubiquinol oxidase subunit I,Energy production and conversion,cydAB,"RpoD,ryhB,YidZ,Cra,ArcA,H-NS,HypT,Fnr,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10173
b0848,-0.059435918500000004,ybjM,putative inner membrane protein,Function unknown,ybjM,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6446
b0699,-0.0656743588,ybfA,DUF2517 domain-containing protein YbfA,Function unknown,ybfA,"ppGpp,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11521
b0904,-0.0729434879,focA,formate channel FocA,Inorganic ion transport and metabolism,focA-pflB,"RpoD,YqhC,Crp,ArcA,IHF,NarL,Fnr",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11258
b2847,-0.07505919100000001,yqeI,putative transcriptional regulator YqeI,Transcription,yqeIJ,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7467
