locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PmrA,link
PA4782,0.14832635800000002,PA4782,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4782&e1=1&assembly=complete
PA1178,0.126441943,oprH,,PhoP/Q and low Mg2+ inducible outer membrane protein H1,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1178&e1=1&assembly=complete
PA4776,0.125822402,pmrA,,two-component regulator system response regulator PmrA,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4776&e1=1&assembly=complete
PA4775,0.12484453400000001,PA4775,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4775&e1=1&assembly=complete
PA4777,0.10887930800000001,pmrB,,two-component regulator system signal sensor kinase PmrB,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4777&e1=1&assembly=complete
PA1179,0.096350614,phoP,,two-component response regulator PhoP,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1179&e1=1&assembly=complete
PA1180,0.090811126,phoQ,,two-component sensor PhoQ,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1180&e1=1&assembly=complete
PA4359,0.090293311,PA4359,,ferrous iron transporter A,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4359&e1=1&assembly=complete
PA1343,0.08679856400000001,PA1343,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1343&e1=1&assembly=complete
PA2358,0.080425036,PA2358,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2358&e1=1&assembly=complete
