locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS06565,0.1111338557995686,cdvC,Saci_1372,ATP-binding cell division protein CdvC (Vps4 family),"Cell cycle control, cell division, chromosome partitioning",Op760,,https://www.uniprot.org/uniprot/F2Z6D2
SACI_RS06685,0.10887113538784007,Saci_1398,Saci_1398,hypothetical protein,Function Unknown,Op772,,https://www.uniprot.org/uniprot/UPI00005525D5
SACI_RS08320,0.10393653275292478,hjc,Saci_1741,"Holliday junction resolvase archaeal type, endonuclease","Replication, recombination and repair",Op979,,https://www.uniprot.org/uniprot/A0A0U2VYX1
SACI_RS11770,0.10298502895126686,SACI_RS11770,,hypothetical protein,No arCOG annotation,Op1402,,https://www.uniprot.org/uniprot/UPI0002B2714E
SACI_RS07980,0.10278244403233576,dcd_2,Saci_1672,deoxycytidine triphosphate deaminase,Nucleotide transport and metabolism,Op923,,https://www.uniprot.org/uniprot/A0A0U3FKQ7
SACI_RS01345,0.09960265610352444,Saci_0276,Saci_0276,hypothetical protein,Function Unknown,Op153,,https://www.uniprot.org/uniprot/UPI0002B28E20
SACI_RS03775,0.09886641684983824,dcd,Saci_0789,dCTP deaminase,Nucleotide transport and metabolism,Op417,,https://www.uniprot.org/uniprot/A0A0U2Y048
SACI_RS10225,0.09848949737931444,Saci_2115,Saci_2115,hypothetical protein,Function Unknown,Op1262,,https://www.uniprot.org/uniprot/A0A0U3H569
SACI_RS01350,0.0959813701461478,Saci_0277,Saci_0277,MBL fold metallo-hydrolase,General Function Prediction Only,Op153,,https://www.uniprot.org/uniprot/A0A0U3FFT6
SACI_RS04500,0.09098102203362804,Saci_0942,Saci_0942,"ribbon-helix-helix protein, CopG family",Transcription,Op496,,https://www.uniprot.org/uniprot/A0A0U3H2H8
SACI_RS04305,0.09017091181285103,gins23,Saci_0901,hypothetical protein,"Replication, recombination and repair",Op476,,https://www.uniprot.org/uniprot/A0A0U3HDF4
SACI_RS03830,0.08856804791488357,Saci_0800,Saci_0800,ArsR family transcriptional regulator,Transcription,Op423,,https://www.uniprot.org/uniprot/A0A0U3GJR4
SACI_RS06575,0.08268528371352632,cdvA,Saci_1374,cell division protein CdvA (coiled-coil protein),General Function Prediction Only,Op760,,https://www.uniprot.org/uniprot/A0A0U3HCN2
SACI_RS03440,0.08178871341118976,cdc6-1,Saci_0722,ORC1-type DNA replication protein 1 (AAA family ATPase),"Replication, recombination and repair",Op383,,https://www.uniprot.org/uniprot/A0A0U2Y835
SACI_RS03555,0.07432028397579238,Saci_0744,Saci_0744,NAD(P)/FAD-dependent oxidoreductase,General Function Prediction Only,Op399,,https://www.uniprot.org/uniprot/A0A0U3HL99
