locus,gene_weight,gene_name,gene_product,cog,regulator,RcsAB,link
b4028,0.1370093666882176,yjbG,capsule biosynthesis GfcC family protein YjbG,Function unknown,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11925
b1951,0.1277830984474716,rcsA,DNA-binding transcriptional activator RcsA,Transcription,"RpoD,H-NS,RcsAB,GadE,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10820
b2028,0.1178124638809528,ugd,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7091
b2044,0.1167776596302122,wcaL,putative colanic biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7095
b3563,0.1086001634383485,yiaB,conserved inner membrane protein YiaB,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11267
b4029,0.0972231032636959,yjbH,YjbH family protein,Cell wall/membrane/envelope biogenesis,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11926
b2043,0.0801769648527312,wcaM,putative colanic acid biosynthesis protein WcaM,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7094
b3562,0.06297793414315,yiaA,conserved inner membrane protein YiaA,Function unknown,RpoH,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11186
b0527,0.0610764149654317,ybcI,conserved inner membrane protein YbcI,Function unknown,"YdcN,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12708
b0403,0.0558492119489485,malZ,maltodextrin glucosidase,Carbohydrate transport and metabolism,MalT,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10565
b4553,0.0429739903658396,ysaB,putative lipoprotein YsaB,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10467
b3818,0.0409907797178483,yigG,inner membrane protein,No COG annotation,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11465
b0581,0.039675705177751,ybdK,carboxylate-amine ligase,Nucleotide transport and metabolism,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6326
b3003,0.0324772417951922,yghA,NADP(+)-dependent aldehyde reductase,Lipid transport and metabolism,"YcjW,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11292
b1115,0.029932387217662,ycfT,inner membrane protein YcfT,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6572
b3057,0.0293070205231144,bacA,undecaprenyl pyrophosphate phosphatase,Defense mechanisms,"RpoE,CpxR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11665
b3357,-0.0398422888510297,crp,DNA-binding transcriptional dual regulator CRP,Transcription,"RpoD,Crp,Cra,Fis,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10164
b0439,-0.058175343009726,lon,Lon protease,"Post-translational modification, protein turnover,and chaperones","RpoD,RpoE,RpoH,gcvB,GadX",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10542
