locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rob,MarA,SoxS,link
b0369,0.0912094179,hemB,porphobilinogen synthase,Coenzyme transport and metabolism,hemB,"RpoD,Nac,ryhB",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10428
b0603,0.0897184734,ybdO,putative LysR family DNA-binding transcriptional regulator YbdO,Transcription,ybdO,"YeiE,YbdO",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6332
b2174,0.0838121408,lpxT,Kdo2-lipid A phosphotransferase,Lipid transport and metabolism,yeiR-lpxT,"RpoD,ppGpp,micA",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7146
b1276,0.0780995371,acnA,aconitate hydratase 1,Energy production and conversion,acnA,"RpoD,Rob,YcjW,ryhB,YidZ,RpoS,Fnr,ArcA,Cra,Crp,MarA,SoxS,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11325
b0124,0.0746188587,gcd,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,gcd,"RpoD,Crp,IHF",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10369
b0709,0.0739556439,dtpD,dipeptide:H(+) symporter DtpD,"Intracellular trafficking, secretion, and vesicular transport",dtpD,ppGpp,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6378
b2947,0.0738117731,gshB,glutathione synthetase,Nucleotide transport and metabolism,rsmE-gshB,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10419
b2946,0.0684267093,rsmE,16S rRNA m(3)U1498 methyltransferase,"Translation, ribosomal structure and biogenesis",rsmE-gshB,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12366
b0129,0.0681962079,yadI,putative PTS enzyme IIA component YadI,Carbohydrate transport and metabolism,yadI,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12322
b0762,0.0665938229,acrZ,multidrug efflux pump accessory protein AcrZ,"Intracellular trafficking, secretion, and vesicular transport",acrZ,"RpoD,Rob,SoxS,MarA,Lrp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6396
b0929,-0.0728538556,ompF,outer membrane porin F,Cell wall/membrane/envelope biogenesis,ompF,"RpoD,PhoB,RstA,micF,ipeX,RpoS,Fur,IHF,EnvY,Crp,OmpR,CpxR,Nac,rybB",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10671
b0439,-0.1046740796,lon,Lon protease,"Post-translational modification, protein turnover,and chaperones",clpPX-lon,"RpoD,RpoE,RpoH,gcvB,GadX",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10542
b4062,-0.1641616159,soxS,DNA-binding transcriptional dual regulator SoxS,Transcription,soxS,"RpoD,Fur,Fnr,AcrR,SoxR,SoxS,Lrp,mgrR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10958
