locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NtrC,RpoN,link
b3869,0.0559518102,glnL,sensory histidine kinase NtrB,Nucleotide transport and metabolism,glnALG,"RpoD,RpoN,Crp,NtrC,Fis,Lrp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10387
b3868,0.0558534825,ntrC,DNA-binding transcriptional dual regulator NtrC,Signal transduction mechanisms,glnALG,"RpoD,RpoN,Crp,NtrC,Fis",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10385
b1218,0.0456800723,chaC,glutathione-specific gamma-glutamylcyclotransferase,Inorganic ion transport and metabolism,chaBC,"RpoN,GlaR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12403
b2659,0.0456619583,csiD,PF08943 family protein CsiD,Energy production and conversion,csiD-lhgO-gabDTP,"RpoS,H-NS,Crp,Lrp,GlaR,Nac,ArcA,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7394
b1826,0.045276678,mgrB,PhoQ kinase inhibitor,Function unknown,mgrB,PhoP,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7002
b4242,0.0450660619,mgtA,Mg(2(+)) importing P-type ATPase,Inorganic ion transport and metabolism,mgtLA,"RpoD,YiaU,ppGpp,PhoP",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12525
b1597,0.0429424075,asr,acid shock protein,No COG annotation,asr,"RpoD,PhoB,RpoS,H-NS,RcdA,RstA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6855
b1784,0.042450987100000004,yeaH,DUF444 domain-containing protein YeaH,Function unknown,yeaGH,"NtrC,YfeD,RpoN,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6970
b0674,0.041264598900000005,asnB,asparagine synthetase B,Amino acid transport and metabolism,asnB,"GadX,ppGpp,Lrp,gcvB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10092
b4079,0.039240068,fdhF,formate dehydrogenase H,Energy production and conversion,fdhF,"YeiE,RpoN,Fnr,NarP,NarL,FhlA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10285
b1783,0.038339215,yeaG,protein kinase YeaG,Signal transduction mechanisms,yeaGH,"NtrC,RpoN,Lrp,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6969
b2663,0.0376163946,gabP,4-aminobutyrate:H(+) symporter,Amino acid transport and metabolism,csiD-lhgO-gabDTP,"RpoD,YddM,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11330
b0331,0.035164722100000004,prpB,2-methylisocitrate lyase,Carbohydrate transport and metabolism,prpBCDE,"PrpR,RpoN,Cra,Crp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6196
b3744,0.0350562356,asnA,asparagine synthetase A,Nucleotide transport and metabolism,asnA,"RpoD,AsnC,Lrp,Nac,gcvB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10091
b0854,0.034114277000000005,potF,putrescine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,potFGHI,"YciT,RpoN,NtrC,ArgR,Lrp,ArcA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11629
b2306,0.0338638387,hisP,lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C ATP binding subunit,Inorganic ion transport and metabolism,argT-hisJQMP,"RpoD,RpoN,H-NS,NtrC,ArgR,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10452
b0655,0.0337564309,gltI,glutamate/aspartate ABC transporter periplasmic binding protein,Amino acid transport and metabolism,gltI-sroC-gltJKL,"RpoD,RpoN,gcvB,FlhDC",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6359
b2660,0.0320048054,lhgO,L-2-hydroxyglutarate oxidase,Energy production and conversion,csiD-lhgO-gabDTP,"YidZ,RpoS,H-NS,Crp,Lrp,GlaR,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12387
b1797,-0.039665736800000004,yeaR,DUF1971 domain-containing protein YeaR,Inorganic ion transport and metabolism,yeaR-yoaG,"RpoD,NarP,NsrR,NarL,Fis",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6983
b2106,-0.0399325052,rcnA,Ni(2(+))/Co(2(+)) exporter,"Intracellular trafficking, secretion, and vesicular transport",rcnAB,"RpoD,Fur,RcnR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7138
b1781,-0.0594354823,yeaE,methylglyoxal reductase YeaE,Function unknown,yeaE,"RpoD,NsrR,Lrp,GlaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6967
