locus,gene_weight,gene_name,gene_product,cog,regulator,CpxR,link
b1814,0.0835220881923397,sdaA,L-serine deaminase I,Amino acid transport and metabolism,"RpoH,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10930
b4188,0.0805272861625521,yjfN,protease activator,Function unknown,CpxR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7851
b0484,0.0760143526203015,copA,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,"RpoD,OmpR,CueR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b3363,0.0747726459975034,ppiA,peptidyl-prolyl cis-trans isomerase A,"Post-translational modification, protein turnover,and chaperones","RpoD,YdhB,YqhC,Crp,CpxR,CytR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10757
b3095,0.0747003003268191,yqjA,DedA family protein YqjA,Function unknown,"RpoD,RpoE,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7609
b3037,0.0738974033728868,ygiB,DUF1190 domain-containing protein YgiB,Function unknown,"PhoP,Rob,SoxS,RpoS,MarA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11164
b1599,0.0728527634664823,mdtI,multidrug/spermidine efflux pump membrane subunit MdtI,Inorganic ion transport and metabolism,"RpoD,ppGpp,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6857
b3096,0.0663540931112915,mzrA,modulator protein MzrA,Function unknown,"RpoD,RpoE,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7610
b3038,0.0647559760102029,ygiC,putative enzyme with ATPase activity,Amino acid transport and metabolism,"PhoP,Rob,SoxS,RpoS,MarA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11165
b4392,0.0646277035243952,slt,soluble lytic murein transglycosylase,Cell wall/membrane/envelope biogenesis,"RpoH,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10950
b0496,0.0637144617477648,ybbP,putative ABC transporter membrane subunit YbbP,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6270
b0837,0.0630767502185616,yliI,aldose sugar dehydrogenase YliI,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6437
b4751,0.0626156378639615,yoaL,protein YoaL,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16745
b3912,0.0624210161511746,cpxR,DNA-binding transcriptional dual regulator CpxR,Transcription,"RpoD,RpoS,CpxR,micF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10020
b1743,0.0618241232444633,spy,ATP-independent periplasmic chaperone,Cell motility,"RpoD,BaeR,ppGpp,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6939
b4313,0.058453852276681,fimE,regulator for fimA,Transcription,"RpoD,YdhB,Lrp,LrhA,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10312
b2666,0.057723592876684,yqaE,Pmp3 family protein,Function unknown,"cyaR,CpxR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7396
b3263,0.0533628518617283,yhdU,DUF2556 domain-containing protein YhdU,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7694
b1586,0.0533218544546695,ynfD,DUF1161 domain-containing protein YnfD,Function unknown,"Nac,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6844
b0161,0.053156569562751,degP,periplasmic serine endoprotease DegP,"Post-translational modification, protein turnover,and chaperones","RpoE,H-NS,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10463
b4170,0.0513611752546074,mutL,DNA mismatch repair protein MutL,"Replication, recombination and repair","RpoD,YidZ,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11281
b0571,0.0510921338679594,cusR,DNA-binding transcriptional activator CusR,Transcription,"RpoD,PhoB,CusR,HprR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6319
b2504,0.0497291088165186,yfgG,protein YfgG,Function unknown,"Nac,RpoD",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7315
b1969,0.0495812230482161,hprR,DNA-binding transcriptional dual regulator HprR,Transcription,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7057
b4171,0.0492731416509427,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis","RpoD,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10595
b0572,0.0492051440933681,cusC,copper/silver export system outer membrane channel,Cell wall/membrane/envelope biogenesis,"RpoD,YciT,PhoB,CusR,HprR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6320
b3860,0.048948899099178,dsbA,thiol:disulfide oxidoreductase DsbA,"Post-translational modification, protein turnover,and chaperones","RpoD,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11297
b3461,0.0473301369324975,rpoH,RNA polymerase%2C sigma 32 (sigma H) factor,Transcription,"RpoD,RpoN,RpoE,RpoS,DnaA,CpxR,Crp,IHF,CytR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10897
b0969,0.0470997702955739,tusE,sulfur transfer protein TusE,"Translation, ribosomal structure and biogenesis",,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12876
b1816,0.0465242872019366,yoaE,putative inner membrane protein,Inorganic ion transport and metabolism,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6997
b4490,-0.0522997333107596,efeU,inactive ferrous iron permease EfeU%2C N-terminal fragment,No COG annotation,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6525
b1205,-0.062376943534956,ychH,stress-induced protein,Function unknown,"RpoD,Crp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11533
b0287,-0.1594850059252436,yagU,inner membrane protein that contributes to acid resistance,Function unknown,"YfeC,YfeD,ppGpp,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6158
