locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PcaR,link
PP_3353,0.1369225971427372,PP_3353,putative sulfatase-modifying factor (C-alpha-formyglycine- generating enzyme),Function unknown,Op2174,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3353&e1=1&assembly=complete
PP_3951,0.134651843525444,pcaI,3-oxoadipate CoA-transferase subunit A,Lipid transport and metabolism,Op2581,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3951&e1=1&assembly=complete
PP_2222,0.1303748449766963,PP_2222,conserved protein of unknown function,No COG annotation,Op1434,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2222&e1=1&assembly=complete
PP_1376,0.1202216871672232,pcaK,4-hydroxybenzoate transporter,Amino acid transport and metabolism,Op861,"PcaR,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1376&e1=1&assembly=complete
PP_3736,0.1052615132109942,vanA,vanillate O-demethylase oxygenase subunit,Inorganic ion transport and metabolism,Op2446,"VanR,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3736&e1=1&assembly=complete
PP_1399,0.1029776872696951,PP_1399,conserved exported protein of unknown function,No COG annotation,Op877,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1399&e1=1&assembly=complete
PP_3671,0.0989205222983255,PP_3671,Oxidoreductase%2C aldo/keto reductase family,Function unknown,Op2397,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3671&e1=1&assembly=complete
PP_3536,0.0969726245055447,PP_3536,conserved protein of unknown function,No COG annotation,Op2292,TurA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3536&e1=1&assembly=complete
PP_4538,0.0925083214032099,azoR2,FMN-dependent NADH-azoreductase 2,Energy production and conversion,Op2948,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4538&e1=1&assembly=complete
PP_0175,0.0862610816364501,PP_0175,putative transcriptional regulator,Transcription,Op124,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0175&e1=1&assembly=complete
PP_3740,0.0861007153115653,vanK,Major facilitator family transporter,Amino acid transport and metabolism,Op2449,VanR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3740&e1=1&assembly=complete
PP_1381,0.0850024655213989,pcaC,4-carboxymuconolactone decarboxylase,Function unknown,Op863,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1381&e1=1&assembly=complete
PP_1387,0.0839551041306804,ttgR,Probable HTH-type transcriptional regulator TtgR,Transcription,Op867,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1387&e1=1&assembly=complete
PP_3359,0.0835358920162401,PP_3359,putative Hydroxycinnamic acid degradation regulator,Transcription,Op2177,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3359&e1=1&assembly=complete
PP_1383,0.081729472499715,galP-II,porin-like protein,Function unknown,Op865,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1383&e1=1&assembly=complete
PP_1380,0.0814097059471033,pcaD,3-oxoadipate enol-lactonase 2,Function unknown,Op863,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1380&e1=1&assembly=complete
PP_3737,0.0811697472449858,vanB,vanillate O-demethylase oxidoreductase,Energy production and conversion,Op2446,"VanR,GacA,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3737&e1=1&assembly=complete
PP_1379,0.0759094482190708,pcaB,3-carboxy-cis%2Ccis-muconate cycloisomerase,Nucleotide transport and metabolism,Op863,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1379&e1=1&assembly=complete
PP_2008,0.0722298998266771,fadH,2%2C4-dienoyl-CoA reductase,Energy production and conversion,Op1281,PsrA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2008&e1=1&assembly=complete
PP_0176,0.0713650958527918,PP_0176,putative efflux transporter,Function unknown,Op124,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0176&e1=1&assembly=complete
PP_0178,0.0707909673775452,PP_0178,putative efflux pump,Defense mechanisms,Op124,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0178&e1=1&assembly=complete
PP_4557,0.0679388717395997,PP_4557,conserved exported protein of unknown function,Function unknown,Op2961,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4557&e1=1&assembly=complete
PP_3360,0.0673925191972769,PP_3360,conserved membrane protein of unknown function,Cell wall/membrane/envelope biogenesis,Op2178,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3360&e1=1&assembly=complete
PP_2643,0.0668022325980792,pcaY,aromatic acid chemoreceptor,Cell motility,Op1728,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2643&e1=1&assembly=complete
PP_3739,0.0667991462770059,galP-IV,porin-like protein,Function unknown,Op2448,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3739&e1=1&assembly=complete
PP_2604,0.0650484530896033,PP_2604,major facilitator family transporter,Carbohydrate transport and metabolism,Op1714,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2604&e1=1&assembly=complete
PP_1378,0.0621215619222153,pcaT,alpha-ketoglutarate permease,Amino acid transport and metabolism,Op863,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1378&e1=1&assembly=complete
PP_0487,0.0597999017676445,PP_0487,conserved membrane protein of unknown function,Function unknown,Op316,PP_0486,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0487&e1=1&assembly=complete
PP_2406,0.0572225120130047,PP_2406,putative quinate/shikimate dehydrogenase,Amino acid transport and metabolism,Op1559,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2406&e1=1&assembly=complete
PP_1864,-0.0743528882646296,PP_1864,conserved protein of unknown function,Function unknown,Op1178,"TurA,FleQ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1864&e1=1&assembly=complete
