locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,GlcC,MexS,link
PA3230,0.102732711,PA3230,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3230&e1=1&assembly=complete
PA2486,0.09482927000000001,PA2486,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2486&e1=1&assembly=complete
PA1743,0.09265822500000001,PA1743,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1743&e1=1&assembly=complete
PA1744,0.092233255,PA1744,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1744&e1=1&assembly=complete
PA4354,0.091699428,PA4354,,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4354&e1=1&assembly=complete
PA2497,0.062652343,PA2497,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2497&e1=1&assembly=complete
PA2496,0.056773215,PA2496,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2496&e1=1&assembly=complete
PA1332,0.051674096,PA1332,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1332&e1=1&assembly=complete
PA2565,-0.049496774,PA2565,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2565&e1=1&assembly=complete
PA2788,-0.050549531,PA2788,,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2788&e1=1&assembly=complete
PA3724,-0.050699841,lasB,,elastase LasB,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3724&e1=1&assembly=complete
PA3734,-0.05107412,PA3734,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3734&e1=1&assembly=complete
PA4205,-0.052857687,mexG,,hypothetical protein,Function unknown,SoxR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4205&e1=1&assembly=complete
PA2563,-0.052929449,PA2563,,sulfate transporter,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2563&e1=1&assembly=complete
PA4141,-0.057101311,PA4141,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4141&e1=1&assembly=complete
PA3479,-0.068068955,rhlA,,rhamnosyltransferase subunit A,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3479&e1=1&assembly=complete
PA0122,-0.078257927,PA0122,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0122&e1=1&assembly=complete
PA5355,-0.088458466,glcD,,glycolate oxidase subunit GlcD,Energy production and conversion,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5355&e1=1&assembly=complete
PA3361,-0.09550469,lecB,,fucose-binding lectin PA-IIL,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3361&e1=1&assembly=complete
PA5352,-0.09730234700000001,PA5352,,hypothetical protein,Function unknown,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5352&e1=1&assembly=complete
PA5354,-0.099532463,glcE,,glycolate oxidase FAD binding subunit,Energy production and conversion,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5354&e1=1&assembly=complete
PA5353,-0.101688284,glcF,,glycolate oxidase iron-sulfur subunit,Energy production and conversion,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5353&e1=1&assembly=complete
PA2570,-0.143127474,lecA,,PA-I galactophilic lectin,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2570&e1=1&assembly=complete
