locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Crp,link
b4089,0.0930166204,alsR,DNA-binding transcriptional repressor AlsR,Transcription,alsRBACE,"RpoD,AlsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7821
b0129,0.0923691496,yadI,putative PTS enzyme IIA component YadI,Carbohydrate transport and metabolism,yadI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12322
b3001,0.08805795970000001,gpr,L-glyceraldehyde 3-phosphate reductase,Energy production and conversion,gpr,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7558
b0791,0.0846130179,ybhQ,putative inner membrane protein,Function unknown,ybhQ,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6408
b3383,0.0836386768,yhfZ,putative DNA-binding transcriptional regulator YhfZ,Transcription,yhfZY,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7735
b0681,0.0812874296,chiP,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,chiPQ,"Crp,NagC,ChiX",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6370
b4139,0.0794499322,aspA,aspartate ammonia-lyase,Amino acid transport and metabolism,aspA-dcuA,"RpoD,Fnr,Crp,NarL,DcuR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10095
b1976,0.0786851236,mtfA,Mlc titration factor,Function unknown,mtfA,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7063
b2775,0.0784126854,yqcE,putative transport protein YqcE,Inorganic ion transport and metabolism,yqcE-ygcE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG13174
b2259,0.077270326,pmrD,signal transduction protein PmrD,Function unknown,pmrD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7172
b3087,0.07717773210000001,ygjR,putative oxidoreductase YgjR,Function unknown,ygjR,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7606
b1308,0.0763668187,pspE,thiosulfate sulfurtransferase PspE,Inorganic ion transport and metabolism,pspABCDE,"RpoN,IHF,PspF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10780
b1799,0.0757069521,dmlR,DNA-binding transcriptional regulator DmlR,Transcription,dmlR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6985
b1002,0.0748855138,agp,glucose-1-phosphatase,Function unknown,agp,"Crp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10033
b2426,0.0748789175,ucpA,putative oxidoreductase,Lipid transport and metabolism,ucpA,YbcM,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12133
b1138,0.0712971102,ymfE,e14 prophage%3B uncharacterized protein YmfE,No COG annotation,ymfED,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6583
b3418,0.0707431726,malT,DNA-binding transcriptional activator MalT,Transcription,malT,"RpoD,YidZ,Lrp,Mlc,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10562
b2597,0.0693799888,raiA,stationary phase translation inhibitor and ribosome stability factor,"Translation, ribosomal structure and biogenesis",raiA,"RpoH,Crp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b0306,0.06808530460000001,ykgE,putative lactate utilization oxidoreductase YkgE,Energy production and conversion,ykgEFG,"YieP,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6176
b3674,0.0672025778,yidF,uncharacterized protein YidF,Transcription,yidHGF,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11694
b1427,0.0667495443,rimL,ribosomal-protein-L12-serine acetyltransferase,"Translation, ribosomal structure and biogenesis",rimL,YfeD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10853
b4216,0.0654792326,ytfJ,protein YtfJ,Function unknown,ytfJ,"RpoE,Lrp,Nac,spf",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7871
b0380,0.0651600418,yaiZ,DUF2754 domain-containing protein YaiZ,Function unknown,yaiZ,"oxyS,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6229
b1440,0.0651516134,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b2146,0.06299451040000001,preT,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,Energy production and conversion,preTA,"RpoD,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7145
b2980,0.0608957381,glcC,DNA-binding transcriptional dual regulator GlcC,Transcription,glcC,"RpoD,Crp,Fis,Cra,GlcC,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7546
b1513,0.0600163982,lsrA,Autoinducer-2 ABC transporter ATP binding subunit,Carbohydrate transport and metabolism,lsrACDBFG-tam,"RpoS,Crp,LsrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6800
b0018,0.0597541101,mokC,regulatory protein MokC,Function unknown,mokC-hokC,sokC,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10373
b4525,0.058761719500000004,ymjC,putative uncharacterized protein YmjC,Carbohydrate transport and metabolism,,"RpoH,PgrR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10446
b3382,0.058527568,yhfY,conserved protein YhfY,Function unknown,yhfZY,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7734
b1770,0.057592085200000004,ydjF,putative DNA-binding transcriptional regulator YdjF,Transcription,ydjF,YdcR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6957
b1725,0.0574148248,yniA,putative kinase YniA,Carbohydrate transport and metabolism,yniA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6930
b1620,0.056460072800000004,malI,DNA-binding transcriptional repressor MalI,Transcription,malI,"RpoD,Crp,MalI,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10557
b3906,0.0560132953,rhaR,DNA-binding transcriptional activator RhaR,Transcription,rhaSR,"RpoD,RpoS,Crp,RhaR,RhaS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10842
b2398,0.0553680089,yfeC,putative DNA-binding transcriptional regulator YfeC,"Replication, recombination and repair",yfeCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11431
b2761,0.0547871323,cas3,CRISPR-associated endonuclease/helicase Cas3,"Replication, recombination and repair",cas3,"Crp,RpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12634
b3117,0.0545339293,tdcB,catabolic threonine dehydratase,Amino acid transport and metabolism,tdcABCDEFG,"Fnr,Crp,IHF,TdcA,TdcR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10990
b3723,0.0535362205,bglG,transcriptional antiterminator BglG,Transcription,bglGFB,"StpA,Crp,LeuO,RcsB-BglJ,Fis,H-NS,BglG",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10116
b0146,0.0534066505,sfsA,putative DNA-binding transcriptional regulator of maltose metabolism,Transcription,sfsA-dksA-gluQ,"RpoD,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10949
b4305,0.053103848700000005,sgcX,KpLE2 phage-like element%3B putative endoglucanase with Zn-dependent exopeptidase domain,Carbohydrate transport and metabolism,sgcXBCQAER,"Crp,SlyA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12557
b3128,0.052591013000000006,garD,galactarate dehydratase,Amino acid transport and metabolism,garD,"CdaR,Fnr",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12522
b0643,0.0525108135,ybeL,DUF1451 domain-containing protein YbeL,"Translation, ribosomal structure and biogenesis",ybeL,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12851
b1423,0.052440521500000004,ydcJ,DUF1338 domain-containing protein YdcJ,Function unknown,ydcJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6738
b2163,0.0522420517,yeiL,putative DNA-binding transcriptional regulator YeiL,Transcription,yeiL,"RpoS,YeiL,IHF,Lrp,Fnr,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12031
b2399,0.051194880500000005,yfeD,putative DNA-binding transcriptional regulator YfeD,"Replication, recombination and repair",yfeCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11432
b0651,0.0508368224,rihA,pyrimidine-specific ribonucleoside hydrolase RihA,Nucleotide transport and metabolism,rihA,Crp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6358
b2584,0.0508351633,patZ,peptidyl-lysine acetyltransferase,Energy production and conversion,yfiP-patZ,"RpoD,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7350
b2875,0.049813007400000005,yqeB,XdhC-CoxI family protein YqeB,"Post-translational modification, protein turnover,and chaperones",yqeB,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7494
b2150,0.0486134521,mglB,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,mglBAC,"RpoD,RpoS,FlhDC,GalR,GalS,Crp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10593
b1512,0.047755789900000005,lsrR,DNA-binding transcriptional repressor LsrR,Transcription,lsrRK,"RpoD,Crp,LsrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6799
b3032,0.0469957599,cpdA,cAMP phosphodiesterase,Function unknown,nudF-yqiB-cpdA-yqiA-parE,CreB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7579
b2248,0.046860819500000005,yfaX,putative DNA-binding transcriptional regulator YfaX,Transcription,yfaX-rhmD-yfaVU,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7161
b3127,0.0464967808,garP,galactarate/glucarate/glycerate transporter GarP,Inorganic ion transport and metabolism,garPLRK-rnpB,"RpoD,H-NS,CdaR,Fnr,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12760
b3665,0.046269195400000004,adeD,adenine deaminase,Nucleotide transport and metabolism,adeD,"RpoD,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11692
b2142,-0.0478777466,yohK,PF04712 family membrane protein YohK,Cell wall/membrane/envelope biogenesis,yohJK,YieP,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12024
b1421,-0.048526102700000004,trg,methyl-accepting chemotaxis protein Trg,Cell motility,trg,"FliA,Fis,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11018
b2141,-0.07117693950000001,yohJ,PF03788 family membrane protein YohJ,Function unknown,yohJK,YieP,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12023
b4246,-0.0720611356,pyrL,pyrBI operon leader peptide,Nucleotide transport and metabolism,pyrLBI,"ArgR,Nac,ppGpp,UTP",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11279
