locus,gene_weight,gene_name,gene_product,cog,regulator,gcvB,link
b0558,0.0596304887230123,ybcV,DLP12 prophage%3B protein YbcV,Amino acid transport and metabolism,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6313
b2108,0.0590359101155576,yehA,putative fimbrial adhesin YehA,Cell motility,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11987
b0603,0.0584399937735217,ybdO,putative LysR family DNA-binding transcriptional regulator YbdO,Transcription,"YeiE,YbdO",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6332
b3442,0.057977779101898,yhhZ,putative endonuclease YhhZ,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7759
b3817,0.0578186833416387,yigF,DUF2628 domain-containing protein YigF,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11464
b4048,0.0576610639941548,yjbM,uncharacterized protein YjbM,Function unknown,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11931
b4038,0.0576208559322025,yjbI,pentapeptide repeats-containing protein YjbI,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11927
b1196,0.05718570384366,ycgY,uncharacterized protein YcgY,No COG annotation,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6625
b1160,0.0567756651946633,iraM,anti-adaptor protein IraM%2C inhibitor of sigma(S) proteolysis,Transcription,"RpoD,Fnr,ArcA,PhoP",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6600
b1551,0.056427368269289,ynfN,Qin prophage%3B protein YnfN,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6824
b1161,0.0563297424184099,ycgX,uncharacterized protein YcgX,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6601
b4462,0.0555909766778001,ygaQ,putative uncharacterized protein YgaQ,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7389
b1730,0.055290277271579,ydjO,protein YdjO,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6935
b2848,0.0546567313758469,yqeJ,protein YqeJ,No COG annotation,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7468
b3488,0.0534331799298441,yhiJ,DUF4049 domain-containing protein YhiJ,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12225
b2626,0.0528491792055323,yfjJ,CP4-57 prophage%3B protein YfjJ,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7361
b4733,0.0515889110479945,ylcJ,protein YlcJ,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16728
b1471,0.0514864928753236,yddK,leucine-rich repeat domain-containing protein YddK,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6772
b3723,0.0509895987650122,bglG,transcriptional antiterminator BglG,Transcription,"StpA,Crp,LeuO,RcsB-BglJ,Fis,H-NS,BglG",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10116
b0544,0.0506753817170898,ybcK,DLP12 prophage%3B putative recombinase,"Replication, recombination and repair","YciT,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6300
b1347,0.0505599774493333,rcbA,Rac prophage%3B double-strand break reduction protein,"Translation, ribosomal structure and biogenesis",,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11901
b1352,0.0505509138738766,kilR,Rac prophage%3B inhibitor of FtsZ%2C killing protein,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12155
b4017,0.0502532949448648,arpA,regulator of acetyl CoA synthetase,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11208
b4223,0.0489928587979504,yzfA,putative YjfA,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11213
b4497,0.0489335272732391,yeeL,putative glycosyltransferase%2C N-terminal fragment,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7066
b1873,0.048861612372421,torY,cytochrome c quinol dehydrogenase TorY,Energy production and conversion,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7023
b1527,0.0480599816442354,yneK,protein YneK,No COG annotation,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6813
b1330,-0.0572795471661288,ynaI,small conductance mechanosensitive channel YnaI,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6666
b0682,-0.0627408205452104,chiQ,lipoprotein ChiQ,Cell wall/membrane/envelope biogenesis,"Crp,ppGpp,NagC,ChiX",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6371
b4535,-0.0717417573210022,yniD,uncharacterized protein YniD,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10453
