locus,gene_weight,gene_name,gene_product,cog,regulator,CzcR,Fur,link
PA2807,0.11150918530000001,PA2807,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2807&e1=1&assembly=complete
PA3690,0.11054836870000001,PA3690,metal-transporting P-type ATPase,Inorganic ion transport and metabolism,CadR-PbrR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3690&e1=1&assembly=complete
PA2524,0.10717942100000001,PA2524,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2524&e1=1&assembly=complete
PA4820,0.10304289350000001,PA4820,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4820&e1=1&assembly=complete
PA1797,0.1022122537,PA1797,hypothetical protein,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1797&e1=1&assembly=complete
PA4818,0.1021026403,PA4818,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4818&e1=1&assembly=complete
PA3411,0.1017207837,PA3411,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3411&e1=1&assembly=complete
PA2658,0.09753077760000001,PA2658,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2658&e1=1&assembly=complete
PA2358,0.0969851817,PA2358,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2358&e1=1&assembly=complete
PA1331,0.0958492926,PA1331,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1331&e1=1&assembly=complete
PA4378,0.0923636868,inaA,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4378&e1=1&assembly=complete
PA0327,0.0923227611,PA0327,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0327&e1=1&assembly=complete
PA2659,0.0903067786,PA2659,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2659&e1=1&assembly=complete
PA2657,0.0874619061,PA2657,two-component response regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2657&e1=1&assembly=complete
PA4379,0.0805243026,PA4379,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4379&e1=1&assembly=complete
PA2655,0.0792647499,PA2655,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2655&e1=1&assembly=complete
PA4517,0.0789440144,PA4517,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4517&e1=1&assembly=complete
PA2505,0.0773872855,opdT,tyrosine porin OpdT,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2505&e1=1&assembly=complete
PA3712,0.0770285304,PA3712,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3712&e1=1&assembly=complete
PA0103,0.0769998222,PA0103,sulfate transporter,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0103&e1=1&assembly=complete
PA4714,0.0716604046,PA4714,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4714&e1=1&assembly=complete
PA0187,0.0711119947,PA0187,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0187&e1=1&assembly=complete
PA5528,0.0698984594,PA5528,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5528&e1=1&assembly=complete
PA1027,0.06945316530000001,PA1027,aldehyde dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1027&e1=1&assembly=complete
PA3603,0.0689588126,dgkA,diacylglycerol kinase,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3603&e1=1&assembly=complete
PA5217,0.06616584140000001,PA5217,iron ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5217&e1=1&assembly=complete
PA2656,0.0658446357,PA2656,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2656&e1=1&assembly=complete
PA3885,0.0648366674,tpbA,protein tyrosine phosphatase TpbA,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3885&e1=1&assembly=complete
PA2830,0.0640365561,htpX,protease HtpX,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2830&e1=1&assembly=complete
PA2019,0.0617538351,PA2019,multidrug efflux lipoprotein,Cell wall/membrane/envelope biogenesis,MexZ,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2019&e1=1&assembly=complete
PA1026,0.0613767457,PA1026,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1026&e1=1&assembly=complete
PA0102,0.0595557314,PA0102,carbonic anhydrase,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0102&e1=1&assembly=complete
PA2018,0.0594683847,PA2018,multidrug efflux protein,"Intracellular trafficking, secretion, and vesicular transport",MexZ,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2018&e1=1&assembly=complete
PA0188,0.0559248711,PA0188,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0188&e1=1&assembly=complete
PA1028,0.0541836564,PA1028,oxidoreductase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1028&e1=1&assembly=complete
PA2345,0.0538477853,PA2345,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2345&e1=1&assembly=complete
PA4211,0.052273684200000003,phzB1,phenazine biosynthesis protein,Function unknown,"PqsR,RhlR,QscR",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4211&e1=1&assembly=complete
PA2020,0.0520799042,mexZ,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2020&e1=1&assembly=complete
PA2357,0.0516219377,msuE,FMN reductase MsuE,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2357&e1=1&assembly=complete
PA5429,0.0514697135,aspA,aspartate ammonia-lyase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5429&e1=1&assembly=complete
PA2604,0.0505070348,PA2604,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2604&e1=1&assembly=complete
PA1317,-0.0521517128,cyoA,cytochrome o ubiquinol oxidase subunit II,Energy production and conversion,Fur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1317&e1=1&assembly=complete
PA1180,-0.053346476100000005,phoQ,two-component sensor PhoQ,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1180&e1=1&assembly=complete
PA1179,-0.0555157308,phoP,two-component response regulator PhoP,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1179&e1=1&assembly=complete
PA0035,-0.0560332033,trpA,tryptophan synthase subunit alpha,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0035&e1=1&assembly=complete
PA1343,-0.0565333443,PA1343,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1343&e1=1&assembly=complete
PA1319,-0.0580497803,cyoC,cytochrome o ubiquinol oxidase subunit III,Energy production and conversion,Fur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1319&e1=1&assembly=complete
PA1318,-0.0595764551,cyoB,cytochrome o ubiquinol oxidase subunit I,Energy production and conversion,Fur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1318&e1=1&assembly=complete
PA2312a,-0.0617928099,PA2312a,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2312a&e1=1&assembly=complete
PA5383,-0.0625821384,PA5383,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5383&e1=1&assembly=complete
PA0036,-0.0670109053,trpB,tryptophan synthase subunit beta,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0036&e1=1&assembly=complete
PA1320,-0.0789703945,cyoD,cytochrome o ubiquinol oxidase subunit IV,Energy production and conversion,Fur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1320&e1=1&assembly=complete
PA1178,-0.0896334221,oprH,PhoP/Q and low Mg2+ inducible outer membrane protein H1,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1178&e1=1&assembly=complete
