locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ArcA,link
b0312,0.0743020071,betB,betaine aldehyde dehydrogenase,Energy production and conversion,betIBA,"RpoD,ArcA,Cra,BetI,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10110
b3819,0.0741905846,rarD,putative transporter RarD,Function unknown,rarD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11466
b3962,0.0739993365,sthA,soluble pyridine nucleotide transhydrogenase,Energy production and conversion,sthA,"Lrp,ArcA,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11428
b3453,0.0718272105,ugpB,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,ugpBAECQ,"RpoD,Crp,ppGpp,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11047
b3995,0.0717485318,rsd,regulator of sigma D,Transcription,rsd,"RpoD,RpoS,ArcA,ppGpp,McbR,RcdA,SlyA,SdiA,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11738
b1612,0.0715674251,fumA,fumarase A,Energy production and conversion,fumAC,"RpoD,ryhB,ArcA,Fnr,Crp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10356
b0458,0.0714449313,ylaC,putative inner membrane protein,Function unknown,ylaC,"YdcN,YdcR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6253
b1607,0.06976012990000001,ydgC,GlpM family protein,Function unknown,ydgC,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6863
b2310,0.0696924288,argT,lysine/arginine/ornithine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,argT-hisJQMP,"YcjW,RpoN,gcvB,NtrC,ppGpp,Lrp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10072
b1748,0.06892299710000001,astC,succinylornithine transaminase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6944
b1778,0.0670876633,msrB,methionine sulfoxide reductase B,"Post-translational modification, protein turnover,and chaperones",msrB,"RpoD,YfeC,ryhB,Fnr,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12394
b1332,0.0655309933,ynaJ,DUF2534 domain-containing protein YnaJ,Function unknown,ynaJ,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6668
b1777,0.06332097810000001,yeaC,conserved protein YeaC,Function unknown,yeaC,ryhB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6964
b1384,0.0613159188,feaR,DNA-binding transcriptional activator FeaR,Transcription,feaR,"QseB,RpoD,Crp,NsrR,Nac,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b2844,0.0596858659,yqeF,putative acyltransferase,Lipid transport and metabolism,yqeF,"YidZ,ppGpp,Crp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7464
b3351,0.0593386887,kefG,protein required for KefB activity,Function unknown,kefGB-yheV,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7717
b0720,0.0568249725,gltA,citrate synthase,Energy production and conversion,gltA,"RpoD,YdcI,Crp,IHF,ArcA,ppGpp,Nac,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10402
b1122,0.0556863352,ymfA,putative inner membrane protein,Function unknown,,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6579
b3846,0.0553787913,fadB,dodecenoyl-CoA delta-isomerase%2C enoyl-CoA hydratase%2C 3-hydroxybutyryl-CoA epimerase%2C 3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,fadBA,"RpoD,YidZ,Fis,FadR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10279
b4210,0.0552689364,ytfF,inner membrane protein YtfF,Amino acid transport and metabolism,ytfF,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7867
b2150,0.0549353095,mglB,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,mglBAC,"RpoD,RpoS,FlhDC,GalR,GalS,Crp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10593
b1423,0.0546576766,ydcJ,DUF1338 domain-containing protein YdcJ,Function unknown,ydcJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6738
b0733,-0.0641762214,cydA,cytochrome bd-I ubiquinol oxidase subunit I,Energy production and conversion,cydAB,"RpoD,ryhB,YidZ,Cra,ArcA,H-NS,HypT,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10173
b0904,-0.0659016781,focA,formate channel FocA,Inorganic ion transport and metabolism,focA-pflB,"RpoD,YqhC,Crp,ArcA,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11258
b3409,-0.077753525,feoB,Fe(2(+)) transporter FeoB,Inorganic ion transport and metabolism,feoABC,"RpoD,YcjW,Fnr,NagC,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12102
b3408,-0.09830690310000001,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
