locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Lrp,link
b4217,-0.0695955578,ytfK,DUF1107 domain-containing protein YtfK,Function unknown,ytfK,"PhoB,RpoS,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7872
b4129,-0.0703693512,lysU,lysine--tRNA ligase/Ap4A synthetase/Ap3A synthetase,"Translation, ribosomal structure and biogenesis",lysU,"RpoD,YeiE,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10553
b1605,-0.0723556876,ydgI,putative arginine:ornithine antiporter,Amino acid transport and metabolism,ydgI-folM,"ppGpp,ArgR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6861
b3616,-0.08715536460000001,tdh,threonine dehydrogenase,Amino acid transport and metabolism,kbl-tdh,"RpoD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10993
b3617,-0.0915190768,kbl,2-amino-3-ketobutyrate CoA ligase,Coenzyme transport and metabolism,kbl-tdh,"RpoD,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10512
b2797,-0.10737000170000001,sdaB,L-serine deaminase II,Amino acid transport and metabolism,sdaCB,"omrA,omrB,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11623
b1634,-0.10965974140000001,dtpA,dipeptide/tripeptide:H(+) symporter DtpA,"Intracellular trafficking, secretion, and vesicular transport",dtpA,"RpoD,YfeC,YdcI,GadX,OmpR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6877
b2796,-0.1132872721,sdaC,serine:H(+) symporter SdaC,Amino acid transport and metabolism,sdaCB,"omrA,omrB,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12142
b2845,-0.1189382095,yqeG,putative transporter YqeG,Amino acid transport and metabolism,yqeG,"ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7465
b1189,-0.1367234444,dadA,D-amino acid dehydrogenase,Amino acid transport and metabolism,dadAX,"RpoD,YddM,Crp,ppGpp,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11407
b2209,-0.14133940450000002,eco,serine protease inhibitor ecotin,Cell wall/membrane/envelope biogenesis,eco,Lrp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10255
b2670,-0.1448835923,alaE,L-alanine exporter,"Intracellular trafficking, secretion, and vesicular transport",alaE,"RpoD,Lrp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7399
b1190,-0.1451669102,dadX,alanine racemase 2,Amino acid transport and metabolism,dadAX,"RpoD,Crp,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11408
