locus,gene_weight,gene_name,gene_product,cog,regulator,TagR1,Sfa2,link
PA0077,0.1203697236,icmF1,type VI secretion protein IcmF,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0077&e1=1&assembly=complete
PA0079,0.1140579803,PA0079,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0079&e1=1&assembly=complete
PA0070,0.1095311535,PA0070,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0070&e1=1&assembly=complete
PA0080,0.10909655850000001,PA0080,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0080&e1=1&assembly=complete
PA0099,0.1052958296,PA0099,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0099&e1=1&assembly=complete
PA1845,0.1050926949,PA1845,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1845&e1=1&assembly=complete
PA0097,0.102191325,PA0097,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0097&e1=1&assembly=complete
PA3484,0.1007367843,PA3484,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3484&e1=1&assembly=complete
PA0075,0.10044767160000001,pppA,serine/threonine phosphatase,Signal transduction mechanisms,"TagR1,TagR1",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0075&e1=1&assembly=complete
PA0563,0.0993855336,PA0563,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0563&e1=1&assembly=complete
PA3661,0.0993192158,PA3661,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3661&e1=1&assembly=complete
PA0076,0.0978925918,PA0076,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0076&e1=1&assembly=complete
PA0082,0.0972265481,PA0082,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0082&e1=1&assembly=complete
PA0098,0.09530989100000001,PA0098,3-oxoacyl-ACP synthase,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0098&e1=1&assembly=complete
PA0096,0.0929264058,PA0096,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0096&e1=1&assembly=complete
PA0074,0.0929158156,ppkA,serine/threonine protein kinase PpkA,Transcription,"TagR1,TagR1",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0074&e1=1&assembly=complete
PA0093,0.09175983330000001,PA0093,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0093&e1=1&assembly=complete
PA3485,0.090302332,PA3485,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3485&e1=1&assembly=complete
PA2703,0.08889397040000001,PA2703,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2703&e1=1&assembly=complete
PA1844,0.0882498188,PA1844,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1844&e1=1&assembly=complete
PA0092,0.0878934712,PA0092,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0092&e1=1&assembly=complete
PA2684,0.08212583350000001,PA2684,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2684&e1=1&assembly=complete
PA0126,0.0797242532,PA0126,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0126&e1=1&assembly=complete
PA3727,0.0790571922,PA3727,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3727&e1=1&assembly=complete
PA0094,0.07880513700000001,PA0094,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0094&e1=1&assembly=complete
PA2539,0.0783322667,PA2539,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2539&e1=1&assembly=complete
PA0072,0.0778261766,PA0072,hypothetical protein,Defense mechanisms,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0072&e1=1&assembly=complete
PA0277,0.07737220980000001,PA0277,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0277&e1=1&assembly=complete
PA2685,0.077228117,PA2685,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2685&e1=1&assembly=complete
PA0045,0.0754475948,PA0045,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0045&e1=1&assembly=complete
PA2538,0.0753123861,PA2538,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2538&e1=1&assembly=complete
PA0095,0.07511608110000001,PA0095,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0095&e1=1&assembly=complete
PA0046,0.0749981192,PA0046,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0046&e1=1&assembly=complete
PA0047,0.07472121600000001,PA0047,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0047&e1=1&assembly=complete
PA2540,0.07441356510000001,PA2540,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2540&e1=1&assembly=complete
PA2774,0.0723211227,PA2774,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2774&e1=1&assembly=complete
PA2792,0.07141810600000001,PA2792,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2792&e1=1&assembly=complete
PA2773,0.0713058049,PA2773,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2773&e1=1&assembly=complete
PA3728,0.0693826231,PA3728,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3728&e1=1&assembly=complete
PA2702,0.0689328422,PA2702,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2702&e1=1&assembly=complete
PA5113,0.0688649491,PA5113,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5113&e1=1&assembly=complete
PA4490,0.06608421810000001,PA4490,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4490&e1=1&assembly=complete
PA3729,0.0656898739,PA3729,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3729&e1=1&assembly=complete
PA0101,0.065588615,PA0101,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0101&e1=1&assembly=complete
PA4489,0.0646135587,PA4489,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4489&e1=1&assembly=complete
PA0073,0.06340075740000001,PA0073,ABC transporter ATP-binding protein,Defense mechanisms,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0073&e1=1&assembly=complete
PA0100,0.0618563948,PA0100,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0100&e1=1&assembly=complete
PA4487,0.0617003724,PA4487,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4487&e1=1&assembly=complete
PA4491,0.0608058011,PA4491,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4491&e1=1&assembly=complete
PA4317,0.0605358077,PA4317,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4317&e1=1&assembly=complete
PA2791,0.0600002242,PA2791,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2791&e1=1&assembly=complete
PA3021,0.0592620424,PA3021,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3021&e1=1&assembly=complete
PA0855,0.0583597515,PA0855,hypothetical protein,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0855&e1=1&assembly=complete
PA1791,0.0574948356,PA1791,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1791&e1=1&assembly=complete
PA1396,0.057463231600000005,PA1396,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1396&e1=1&assembly=complete
PA0466,0.056221301300000005,PA0466,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0466&e1=1&assembly=complete
PA4321,0.0558370256,PA4321,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4321&e1=1&assembly=complete
PA0041,0.055818553400000005,PA0041,hemagglutinin,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0041&e1=1&assembly=complete
PA0989,0.0557474071,PA0989,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0989&e1=1&assembly=complete
PA4318,0.0555726483,PA4318,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4318&e1=1&assembly=complete
PA2536,0.0554424025,PA2536,phosphatidate cytidylyltransferase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2536&e1=1&assembly=complete
PA1659,0.0553318508,PA1659,hypothetical protein,Function unknown,Sfa2,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1659&e1=1&assembly=complete
PA3905,0.055309932400000004,PA3905,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3905&e1=1&assembly=complete
PA3908,0.0550838498,PA3908,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3908&e1=1&assembly=complete
PA2775,0.054615177300000005,PA2775,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2775&e1=1&assembly=complete
PA0081,0.0541194569,fha1,Fha domain-containing protein,Signal transduction mechanisms,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0081&e1=1&assembly=complete
PA1639,0.0531033656,PA1639,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1639&e1=1&assembly=complete
PA3906,0.0528759263,PA3906,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3906&e1=1&assembly=complete
PA1451,0.0525332478,PA1451,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1451&e1=1&assembly=complete
PA4488,0.0514261509,PA4488,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4488&e1=1&assembly=complete
PA5114,0.050666834200000004,PA5114,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5114&e1=1&assembly=complete
PA0261,0.050582672,PA0261,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0261&e1=1&assembly=complete
PA1395,0.050256052600000004,PA1395,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1395&e1=1&assembly=complete
PA4319,0.049860555,PA4319,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4319&e1=1&assembly=complete
PA4320,0.0495912978,PA4320,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4320&e1=1&assembly=complete
PA3907,0.0484021758,PA3907,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3907&e1=1&assembly=complete
PA4322,0.0481482861,PA4322,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4322&e1=1&assembly=complete
PA2537,0.0476367215,PA2537,acyltransferase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2537&e1=1&assembly=complete
PA1657,0.0469264303,PA1657,hypothetical protein,Function unknown,Sfa2,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1657&e1=1&assembly=complete
PA1658,0.0463639415,PA1658,hypothetical protein,Function unknown,Sfa2,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1658&e1=1&assembly=complete
PA3730,0.0457945659,PA3730,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3730&e1=1&assembly=complete
PA5033,0.044373002200000004,PA5033,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5033&e1=1&assembly=complete
PA5441,0.0436619118,PA5441,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5441&e1=1&assembly=complete
PA2464,0.042892599600000005,PA2464,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2464&e1=1&assembly=complete
PA2683,0.0426421518,PA2683,serine/threonine dehydratase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2683&e1=1&assembly=complete
PA2376,0.0418836704,PA2376,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2376&e1=1&assembly=complete
PA2726,0.041734507500000004,PA2726,radical activating enzyme,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2726&e1=1&assembly=complete
PA1069,0.0411586969,PA1069,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1069&e1=1&assembly=complete
PA4323,0.040738376,PA4323,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4323&e1=1&assembly=complete
PA0262,0.039678851200000004,PA0262,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0262&e1=1&assembly=complete
PA3850,0.0396129951,PA3850,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3850&e1=1&assembly=complete
PA5136,0.0392778123,PA5136,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5136&e1=1&assembly=complete
PA2725,0.038929552400000005,PA2725,chaperone,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2725&e1=1&assembly=complete
PA2581,0.0388462092,PA2581,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2581&e1=1&assembly=complete
PA3716,0.038184899200000004,PA3716,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3716&e1=1&assembly=complete
PA0071,0.0380419768,tagR2,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0071&e1=1&assembly=complete
PA1511,0.0375316973,PA1511,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1511&e1=1&assembly=complete
PA2503,0.0374440159,PA2503,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2503&e1=1&assembly=complete
