locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,yybP-ykoY,Zur,link
PA4064,0.125823783,PA4064,,ABC transporter ATP-binding protein,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4064&e1=1&assembly=complete
PA4066,0.11871614400000001,PA4066,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4066&e1=1&assembly=complete
PA2911,0.116336167,PA2911,,TonB-dependent receptor,Inorganic ion transport and metabolism,Cobalamin,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2911&e1=1&assembly=complete
PA2912,0.11478990700000001,PA2912,,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,Cobalamin,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2912&e1=1&assembly=complete
PA5537,0.10672192800000001,PA5537,,hypothetical protein,No COG annotation,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5537&e1=1&assembly=complete
PA2913,0.10134775300000001,PA2913,,hypothetical protein,Inorganic ion transport and metabolism,Cobalamin,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2913&e1=1&assembly=complete
PA4838,0.086657919,PA4838,,hypothetical protein,Function unknown,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4838&e1=1&assembly=complete
PA2914,0.085389401,PA2914,,ABC transporter permease,Inorganic ion transport and metabolism,Cobalamin,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2914&e1=1&assembly=complete
PA4170,0.074037024,PA4170,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4170&e1=1&assembly=complete
PA1920,0.061901023000000006,nrdD,,anaerobic ribonucleoside triphosphate reductase,Nucleotide transport and metabolism,NrdR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1920&e1=1&assembly=complete
PA2439,0.060457818,PA2439,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2439&e1=1&assembly=complete
PA2438,0.060294796000000005,PA2438,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2438&e1=1&assembly=complete
PA2437,0.059541556,PA2437,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2437&e1=1&assembly=complete
PA3598,0.053212225,PA3598,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3598&e1=1&assembly=complete
PA1919,0.048786628000000005,nrdG,,class III (anaerobic) ribonucleoside-triphosphate reductase activating protein NrdG,"Post-translational modification, protein turnover,and chaperones",NrdR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1919&e1=1&assembly=complete
PA1927,0.04529625,metE,,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,Amino acid transport and metabolism,MetR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1927&e1=1&assembly=complete
PA3597,0.045048272,PA3597,,amino acid permease,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3597&e1=1&assembly=complete
PA5500,0.042529781,znuC,,zinc transporter ZnuC,Inorganic ion transport and metabolism,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5500&e1=1&assembly=complete
PA4169,0.041075692000000004,PA4169,,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4169&e1=1&assembly=complete
PA5498,0.038833006,PA5498,,adhesin,Inorganic ion transport and metabolism,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5498&e1=1&assembly=complete
PA4062,0.038814443000000004,PA4062,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4062&e1=1&assembly=complete
PA4171,0.038188139,PA4171,,protease,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4171&e1=1&assembly=complete
PA5499,0.036778604,zur,,transcriptional regulator,Inorganic ion transport and metabolism,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5499&e1=1&assembly=complete
PA2434,0.035172806,PA2434,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2434&e1=1&assembly=complete
PA2910,0.034943113000000005,PA2910,,manganese efflux pump MntP,Inorganic ion transport and metabolism,yybP-ykoY,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2910&e1=1&assembly=complete
PA5501,0.034201668000000005,znuB,,zinc ABC transporter permease,Inorganic ion transport and metabolism,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5501&e1=1&assembly=complete
PA2435,0.031569783000000004,PA2435,,cation-transporting P-type ATPase,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2435&e1=1&assembly=complete
PA3602,0.031534421,PA3602,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3602&e1=1&assembly=complete
PA1517,0.029779138,PA1517,,hypothetical protein,Carbohydrate transport and metabolism,"RutR,PA1520",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1517&e1=1&assembly=complete
PA1926,0.029548642000000003,PA1926,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1926&e1=1&assembly=complete
PA1514,0.027576112000000003,PA1514,,ureidoglycolate hydrolase,Nucleotide transport and metabolism,"RutR,PA1520",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1514&e1=1&assembly=complete
PA1515,0.026697972,alc,,allantoicase,Nucleotide transport and metabolism,"RutR,PA1520",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1515&e1=1&assembly=complete
PA2038,0.025688653000000002,PA2038,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2038&e1=1&assembly=complete
PA3628,-0.025840306,PA3628,,esterase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3628&e1=1&assembly=complete
