locus,gene_weight,gene_name,gene_product,cog,regulator,FliA,link
b1883,0.1926011822423472,cheB,protein-glutamate methylesterase/protein glutamine deamidase,Cell motility,"Fnr,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10147
b1881,0.1864238777649957,cheZ,chemotaxis protein CheZ,"Translation, ribosomal structure and biogenesis","Fnr,FliA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10151
b1566,0.1654075323046007,flxA,Qin prophage%3B protein FlxA,No COG annotation,"Fis,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6833
b4110,0.152501698056703,yjcZ,uncharacterized protein YjcZ,Function unknown,"FliA,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7823
b1742,0.1468347404268274,ves,HutD family protein Ves,Function unknown,FliA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6938
b1924,0.1349184025285834,fliD,flagellar filament capping protein,Cell motility,"RpoD,FliA,FlhDC,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b3666,0.1218108987140376,uhpT,hexose-6-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,"RpoD,oxyS,YeiE,UvrY,UhpA,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11054
b1082,0.1120875944548198,flgK,flagellar hook-filament junction protein 1,Cell motility,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1925,0.1086858364424869,fliS,flagellar biosynthesis protein FliS,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11388
b1083,0.1062858137539865,flgL,flagellar hook-filament junction protein 2,Cell motility,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11545
b1926,0.0956761730835095,fliT,flagellar biosynthesis protein FliT,Transcription,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b1421,0.0926344909505956,trg,methyl-accepting chemotaxis protein Trg,Cell motility,"FliA,Fis,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11018
b1760,0.0828340694878065,ynjH,DUF1496 domain-containing protein YnjH,Function unknown,"FliA,Lrp,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6955
b1070,0.0821678453547309,flgN,flagellar biosynthesis protein FlgN,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6562
b1071,0.0776288545816576,flgM,anti-sigma factor for FliA (sigma(28)),Cell motility,"RpoD,FliA,FlhDC,CsgD,omrA,omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G369
b4109,0.0742675282597339,crfC,clamp-binding sister replication fork colocalization protein,Function unknown,"YciT,FliA,Lrp,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11210
b3072,0.0677529415821635,aer,aerotaxis sensor receptor%2C flavoprotein,Signal transduction mechanisms,"Fnr,FliA,Crp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7595
b0763,0.0453440733081976,modA,molybdate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,"RpoD,Crp,FliA,ModE,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12427
b3524,0.0431968491552607,yhjG,AsmA family protein YhjG,Cell wall/membrane/envelope biogenesis,RpoS,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12251
b0250,0.0425113221097188,ykfB,CP4-6 prophage%3B protein YkfB,No COG annotation,"omrA,FliA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6125
b0765,0.0421927828962804,modC,molybdate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,Crp,FliA,ModE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10152
b0764,0.0413345411731592,modB,molybdate ABC transporter membrane subunit,Inorganic ion transport and metabolism,"RpoD,Crp,FliA,ModE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10002
b1943,0.0398985355967987,fliK,flagellar hook-length control protein,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G379
b1921,0.0340981087733936,fliZ,DNA-binding transcriptional regulator FliZ,Transcription,"RpoD,YidZ,H-NS,FliA,IHF,NsrR,EcpR,SutR,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11356
b1112,-0.0384955702208137,bhsA,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,Cell wall/membrane/envelope biogenesis,"RpoD,RpoE,Crp,ComR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6570
