locus,gene_weight,gene_name,gene_product,cog,regulator,FlhDC,link
b1941,0.1140809980413751,fliI,flagellum-specific ATP synthase FliI,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G377
b1880,0.1137373879805535,flhB,flagellar biosynthesis protein FlhB,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7028
b1904,0.1113947991152337,yecR,lipoprotein YecR,Function unknown,"Fnr,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7035
b1942,0.1067617503423077,fliJ,flagellar biosynthesis protein FliJ,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G378
b1948,0.1017465281703361,fliP,flagellar biosynthesis protein FliP,Cell motility,"RpoD,FliA,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11975
b1082,0.0811821081504372,flgK,flagellar hook-filament junction protein 1,Cell motility,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1892,0.077305626216306,flhD,DNA-binding transcriptional dual regulator FlhD,Transcription,"OmpR,QseB,RpoD,RpoN,mcaS,Fur,IHF,AcrR,YjjQ,Crp,ppGpp,LrhA,RcsAB,EcpR,H-NS,HdfR,FliZ,arcZ,omrA,omrB,oxyS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10320
b1943,0.0765584318191225,fliK,flagellar hook-length control protein,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G379
b1949,0.0719906053221586,fliQ,flagellar biosynthesis protein FliQ,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b1891,0.0710560577035802,flhC,DNA-binding transcriptional dual regulator FlhC,Transcription,"OmpR,QseB,RpoD,RpoN,Fur,IHF,AcrR,YjjQ,Crp,ppGpp,LrhA,RcsAB,EcpR,H-NS,HdfR,FliZ,arcZ,mcaS,omrA,omrB,oxyS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10319
b1878,0.0709656799148097,flhE,flagellar protein,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7027
b1879,0.06310672618522,flhA,flagellar biosynthesis protein FlhA,Cell motility,"RpoD,YcjW,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G370
b1924,0.0619568861531695,fliD,flagellar filament capping protein,Cell motility,"RpoD,FliA,FlhDC,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b1070,0.055822356477953,flgN,flagellar biosynthesis protein FlgN,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6562
b1071,0.053668270042529,flgM,anti-sigma factor for FliA (sigma(28)),Cell motility,"RpoD,FliA,FlhDC,CsgD,omrA,omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G369
b1083,0.053145375654521,flgL,flagellar hook-filament junction protein 2,Cell motility,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11545
b1950,0.0502531411736424,fliR,flagellar biosynthesis protein FliR,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11977
b1925,0.0454339390396474,fliS,flagellar biosynthesis protein FliS,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11388
b1926,0.0383726307293836,fliT,flagellar biosynthesis protein FliT,Transcription,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b1886,0.0365427584839291,tar,methyl-accepting chemotaxis protein Tar,Cell motility,"Fnr,FliA,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10988
b4355,-0.0358633474689379,tsr,methyl-accepting chemotaxis protein Tsr,Cell motility,"RpoD,YbiH,YddM,FliA,CpxR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11034
b1742,-0.0389530307603937,ves,HutD family protein Ves,Function unknown,FliA,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6938
b1760,-0.0426657331537104,ynjH,DUF1496 domain-containing protein YnjH,Function unknown,"FliA,Lrp,Nac,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6955
