locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GbdR,link
PP_0323,0.1012770746856087,soxB,sarcosine oxidase subunit beta,Amino acid transport and metabolism,Op225,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0323&e1=1&assembly=complete
PP_4620,0.0985823467895398,hmgB,Fumarylacetoacetase,"Secondary metabolites biosynthesis, transport, and catabolism",Op3008,HmgR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4620&e1=1&assembly=complete
PP_0325,0.0975731936536184,soxA,sarcosine oxidase subunit alpha,Energy production and conversion,Op225,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0325&e1=1&assembly=complete
PP_1741,0.0949867333828716,betX,choline / betaine / carnitine ABC transporter - substrate binding protein BetX,Amino acid transport and metabolism,Op1089,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1741&e1=1&assembly=complete
PP_2183,0.0949340900623989,PP_2183,putative Formate dehydrogenase%2C gamma subunit,Energy production and conversion,Op1409,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2183&e1=1&assembly=complete
PP_0895,0.0921029718408075,PP_0895,conserved protein of unknown function,Transcription,Op575,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0895&e1=1&assembly=complete
PP_2909,0.0908347637661414,csiD,carbon starvation induced protein,Energy production and conversion,Op1881,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2909&e1=1&assembly=complete
PP_0297,0.0891454680790987,tdcG-I,L-serine dehydratase,Amino acid transport and metabolism,Op203,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0297&e1=1&assembly=complete
PP_0322,0.0864863456105674,glyA-I,serine hydroxymethyltransferase,Amino acid transport and metabolism,Op225,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0322&e1=1&assembly=complete
PP_0294,0.0818100406033279,cbcV,choline / betaine / carnitine ABC transporter - ATP binding subunit,Amino acid transport and metabolism,Op202,"GbdR,GlnG",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0294&e1=1&assembly=complete
PP_0326,0.0804288311183585,soxG,sarcosine oxidase subunit gamma,Amino acid transport and metabolism,Op225,GbdR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0326&e1=1&assembly=complete
PP_2185,0.0788181905955017,PP_2185,putative Formate dehydrogenase%2C alpha subunit,Energy production and conversion,Op1410,TurA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2185&e1=1&assembly=complete
PP_4756,0.0783935887644158,gabP-V,gamma-aminobutyrate permease,Amino acid transport and metabolism,Op3105,RoxR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4756&e1=1&assembly=complete
PP_0316,0.0775117721436933,gbcB,putative glycine-betaine dioxygenase subunit,Energy production and conversion,Op220,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0316&e1=1&assembly=complete
PP_0896,0.0765433738191052,PP_0896,Carbon-nitrogen hydrolase family protein,Function unknown,Op575,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0896&e1=1&assembly=complete
PP_0296,0.0761018640051728,cbcX,choline / betaine / carnitine ABC transporter - substrate binding protein,Amino acid transport and metabolism,Op202,"GbdR,GlnG",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0296&e1=1&assembly=complete
PP_0709,0.0741533469403474,PP_0709,Transporter%2C NCS1 nucleoside transporter family,Inorganic ion transport and metabolism,Op467,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0709&e1=1&assembly=complete
PP_0710,0.0728403443499116,PP_0710,conserved protein of unknown function,Function unknown,Op468,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0710&e1=1&assembly=complete
PP_4495,0.071231428774913,aroP-II,aromatic amino acid transport protein,Amino acid transport and metabolism,Op2910,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4495&e1=1&assembly=complete
PP_4523,0.0680765392656049,PP_4523,putative Agmatinase,Amino acid transport and metabolism,Op2934,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4523&e1=1&assembly=complete
PP_3657,0.0673466470613001,PP_3657,P-nitrobenzoate reductase NfnB,Energy production and conversion,Op2383,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3657&e1=1&assembly=complete
PP_0708,0.066620054172955,PP_0708,putative Betaine-aldehyde dehydrogenase,Energy production and conversion,Op467,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0708&e1=1&assembly=complete
PP_4665,0.0666056965015296,PP_4665,conserved protein of unknown function,Function unknown,Op3045,AlgR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4665&e1=1&assembly=complete
PP_0295,0.0659195325042973,cbcW,choline / betaine / carnitine ABC transporter - membrane subunit,Inorganic ion transport and metabolism,Op202,"GbdR,GlnG",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0295&e1=1&assembly=complete
PP_4946,-0.0672900517269076,putP,sodium/L-proline transporter,Amino acid transport and metabolism,Op3222,"AlgR,AmrZ,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4946&e1=1&assembly=complete
PP_4947,-0.075856613137519,putA,proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase,Energy production and conversion,Op3223,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4947&e1=1&assembly=complete
