,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_0006,ABUW_0006,6870,7427,-,DedA family protein,Function unknown,,,CP008706.1,AKA29806.1,ABUW_RS00030,NZ_CP008706.1,Op3
ABUW_0007,ABUW_0007,7678,9609,-,ABC transporter%2C ATP-binding protein,Function unknown,,,CP008706.1,AKA29807.1,ABUW_RS00035,NZ_CP008706.1,Op4
ABUW_0008,ABUW_0008,9866,10870,+,RND type efflux pump,Carbohydrate transport and metabolism,,,CP008706.1,AKA29808.1,ABUW_RS00040,NZ_CP008706.1,Op5
ABUW_0009,ABUW_0009,11126,12133,+,RND type efflux pump,Carbohydrate transport and metabolism,,,CP008706.1,AKA29809.1,ABUW_RS00045,NZ_CP008706.1,Op6
ABUW_0010,adeT,12476,13480,+,RND type efflux pump,Carbohydrate transport and metabolism,,,CP008706.1,AKA29810.1,ABUW_RS00050,NZ_CP008706.1,Op7
ABUW_0011,ABUW_0011,13605,13940,+,iron-sulfur cluster assembly accessory protein,Energy production and conversion,,,CP008706.1,AKA29811.1,ABUW_RS00055,NZ_CP008706.1,Op8
ABUW_0012,ABUW_0012,13998,14843,-,epoxide hydrolase,Lipid transport and metabolism,,,CP008706.1,AKA29812.1,ABUW_RS00060,NZ_CP008706.1,Op9
ABUW_0013,anmK,14971,16098,-,anhydro-N-acetylmuramic acid kinase,Nucleotide transport and metabolism,,,CP008706.1,AKA29813.1,ABUW_RS00065,NZ_CP008706.1,Op10
ABUW_0014,tyrS,16160,17392,+,tyrosyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA29814.1,ABUW_RS00070,NZ_CP008706.1,Op11
ABUW_0020,ABUW_0020,23706,24305,+,glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA29815.1,ABUW_RS00100,NZ_CP008706.1,Op12
ABUW_0021,ABUW_0021,24363,25055,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29816.1,ABUW_RS00105,NZ_CP008706.1,
ABUW_0022,ABUW_0022,25685,27163,+,sodium-and chloride-dependent transporter,Function unknown,,,CP008706.1,AKA29817.1,ABUW_RS00110,NZ_CP008706.1,Op14
ABUW_0023,ABUW_0023,27176,27319,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29818.1,ABUW_RS00115,NZ_CP008706.1,Op14
ABUW_0024,sun,27363,28667,-,ribosomal RNA small subunit methyltransferase B,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA29819.1,ABUW_RS00120,NZ_CP008706.1,Op15
ABUW_0025,fmt,28664,29626,-,methionyl-tRNA formyltransferase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA29820.1,ABUW_RS00125,NZ_CP008706.1,Op15
ABUW_0026,ilvD,29975,31804,+,dihydroxy-acid dehydratase,Amino acid transport and metabolism,,,CP008706.1,AKA29821.1,ABUW_RS00130,NZ_CP008706.1,Op16
ABUW_0027,ABUW_0027,32118,33407,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29822.1,ABUW_RS00135,NZ_CP008706.1,Op17
ABUW_0028,ABUW_0028,33507,34217,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29823.1,ABUW_RS00140,NZ_CP008706.1,Op18
ABUW_0029,ABUW_0029,34226,35116,-,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA29824.1,ABUW_RS00145,NZ_CP008706.1,Op19
ABUW_0030,ABUW_0030,35196,36491,-,uracil-xanthine permease,Nucleotide transport and metabolism,,RutR,CP008706.1,AKA29825.1,ABUW_RS00150,NZ_CP008706.1,Op20
ABUW_0031,ppc,36792,39476,-,phosphoenolpyruvate carboxylase,Coenzyme transport and metabolism,,,CP008706.1,AKA29826.1,ABUW_RS00155,NZ_CP008706.1,Op21
ABUW_0032,ABUW_0032,39518,39634,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA29827.1,,,
ABUW_0033,ABUW_0033,39647,40270,-,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA29828.1,ABUW_RS00160,NZ_CP008706.1,Op22
ABUW_0034,ABUW_0034,40420,41520,+,secretion protein HlyD,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29829.1,ABUW_RS00165,NZ_CP008706.1,Op23
ABUW_0035,ABUW_0035,41523,44648,+,RND efflux transporter,Defense mechanisms,,,CP008706.1,AKA29830.1,ABUW_RS00170,NZ_CP008706.1,Op23
ABUW_0036,ABUW_0036,44788,45165,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29831.1,ABUW_RS00175,NZ_CP008706.1,Op24
ABUW_0037,dnaJ,45270,46382,+,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA29832.1,ABUW_RS00180,NZ_CP008706.1,Op25
ABUW_0038,ABUW_0038,46497,46847,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA29833.1,ABUW_RS00185,NZ_CP008706.1,
ABUW_0039,dapB,47032,47853,+,dihydrodipicolinate reductase,Amino acid transport and metabolism,,,CP008706.1,AKA29834.1,ABUW_RS00190,NZ_CP008706.1,Op26
ABUW_0040,ABUW_0040,47905,48558,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29835.1,ABUW_RS00195,NZ_CP008706.1,Op27
ABUW_0041,ABUW_0041,48599,49789,-,major facilitator family transporter,Amino acid transport and metabolism,,,CP008706.1,AKA29836.1,ABUW_RS00200,NZ_CP008706.1,Op28
ABUW_0042,alrA,49794,50597,-,aldo/keto reductase,Function unknown,,,CP008706.1,AKA29837.1,ABUW_RS00205,NZ_CP008706.1,Op28
ABUW_0043,ABUW_0043,50718,51620,+,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA29838.1,ABUW_RS00210,NZ_CP008706.1,
ABUW_0044,ABUW_0044,51604,51978,-,hypothetical protein,No COG annotation,,ACIAD3613,CP008706.1,AKA29839.1,ABUW_RS00215,NZ_CP008706.1,Op29
ABUW_0045,ABUW_0045,52069,53493,+,transcriptional regulator%2C GntR family,Transcription,,,CP008706.1,AKA29840.1,ABUW_RS00220,NZ_CP008706.1,
ABUW_0046,ABUW_0046,53496,54524,-,hypothetical protein,Function unknown,,,CP008706.1,AKA29841.1,ABUW_RS00225,NZ_CP008706.1,Op30
ABUW_0047,tag,54563,55123,-,DNA-3-methyladenine glycosylase 1,"Replication, recombination and repair",,,CP008706.1,AKA29842.1,ABUW_RS00230,NZ_CP008706.1,Op30
ABUW_0048,ABUW_0048,55154,55399,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA29843.1,ABUW_RS00235,NZ_CP008706.1,Op30
ABUW_0049,ABUW_0049,55409,55945,-,peptidase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29844.1,ABUW_RS00240,NZ_CP008706.1,Op30
ABUW_0050,mutY,55993,57027,-,A/G-specific adenine glycosylase,"Replication, recombination and repair",,,CP008706.1,AKA29845.1,ABUW_RS00245,NZ_CP008706.1,Op31
ABUW_0051,ABUW_0051,57168,57530,-,histidine triad protein,Nucleotide transport and metabolism,,,CP008706.1,AKA29846.1,ABUW_RS00250,NZ_CP008706.1,Op32
ABUW_0052,ABUW_0052,57715,58452,-,dienelactone hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA29847.1,ABUW_RS00255,NZ_CP008706.1,Op33
ABUW_0053,ABUW_0053,58624,58782,-,UPF0391 membrane protein,Function unknown,,ABUW_1645,CP008706.1,AKA29848.1,ABUW_RS00260,NZ_CP008706.1,Op34
ABUW_0054,ABUW_0054,58977,59435,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29849.1,ABUW_RS00265,NZ_CP008706.1,Op35
ABUW_0055,ABUW_0055,59548,60717,+,glucose sorbosone dehydrogenase,Carbohydrate transport and metabolism,,,CP008706.1,AKA29850.1,ABUW_RS00270,NZ_CP008706.1,Op36
ABUW_0056,ABUW_0056,60823,62088,+,ATPase%2C AAA family,"Replication, recombination and repair",,,CP008706.1,AKA29851.1,ABUW_RS00275,NZ_CP008706.1,Op37
ABUW_0057,ABUW_0057,62104,62943,-,formate/nitrite transporter family,Inorganic ion transport and metabolism,,,CP008706.1,AKA29852.1,ABUW_RS00280,NZ_CP008706.1,Op38
ABUW_0058,ABUW_0058,63229,63432,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA29853.1,ABUW_RS00285,NZ_CP008706.1,Op39
ABUW_0059,purC,63622,64341,-,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,,,CP008706.1,AKA29854.1,ABUW_RS00290,NZ_CP008706.1,Op40
ABUW_0060,ABUW_0060,64378,64983,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29855.1,ABUW_RS00295,NZ_CP008706.1,Op40
ABUW_0061,dapA,64996,65889,-,dihydrodipicolinate synthase,Amino acid transport and metabolism,,,CP008706.1,AKA29856.1,ABUW_RS00300,NZ_CP008706.1,Op40
ABUW_0062,pncA,66219,66863,+,nicotinamidase,"Secondary metabolites biosynthesis, transport, and catabolism",,,CP008706.1,AKA29857.1,ABUW_RS00305,NZ_CP008706.1,Op41
ABUW_0063,ABUW_0063,66918,67856,+,bile acid:sodium symporter,Function unknown,,,CP008706.1,AKA29858.1,ABUW_RS00310,NZ_CP008706.1,Op42
ABUW_0064,ABUW_0064,68034,69377,+,MATE family drug transporter,Defense mechanisms,,,CP008706.1,AKA29859.1,ABUW_RS00315,NZ_CP008706.1,Op43
ABUW_0065,ABUW_0065,69387,69860,-,hypothetical protein,Function unknown,,,CP008706.1,AKA29860.1,ABUW_RS00320,NZ_CP008706.1,
ABUW_0066,hppD,70383,71438,+,4-hydroxyphenylpyruvate dioxygenase,Amino acid transport and metabolism,,ABUW_1645,CP008706.1,AKA29861.1,ABUW_RS00325,NZ_CP008706.1,
ABUW_0067,hmgR,71503,72282,-,transcriptional regulator%2C IclR family,Transcription,,,CP008706.1,AKA29862.1,ABUW_RS00330,NZ_CP008706.1,Op44
ABUW_0068,ABUW_0068,72582,73130,-,glyoxalase/bleomycin resistance protein/dioxygenase,Amino acid transport and metabolism,,ABUW_1645,CP008706.1,AKA29863.1,ABUW_RS00335,NZ_CP008706.1,Op45
ABUW_0069,maiA,73148,73780,-,maleylacetoacetate isomerase,Carbohydrate transport and metabolism,,,CP008706.1,AKA29864.1,ABUW_RS00340,NZ_CP008706.1,Op45
ABUW_0070,fahA,73767,75074,-,fumarylacetoacetase,"Secondary metabolites biosynthesis, transport, and catabolism",,ABUW_1645,CP008706.1,AKA29865.1,ABUW_RS00345,NZ_CP008706.1,Op45
ABUW_0071,aroP1,75433,76821,+,aromatic amino acid transport protein,Amino acid transport and metabolism,,,CP008706.1,AKA29866.1,ABUW_RS00350,NZ_CP008706.1,Op46
ABUW_0072,ABUW_0072,76984,77667,+,peptidase M15 family,Function unknown,,Zur,CP008706.1,AKA29867.1,ABUW_RS00355,NZ_CP008706.1,Op47
ABUW_0073,ABUW_0073,77810,79075,+,CobW/P47K family protein,Function unknown,,"Zur,Zur",CP008706.1,AKA29868.1,ABUW_RS00360,NZ_CP008706.1,Op48
ABUW_0074,ABUW_0074,79110,80222,-,acyltransferase 3,Lipid transport and metabolism,,,CP008706.1,AKA29869.1,ABUW_RS00365,NZ_CP008706.1,
ABUW_0075,hutC,80575,81327,+,histidine utilization repressor,Transcription,,HutC,CP008706.1,AKA29870.1,ABUW_RS00370,NZ_CP008706.1,Op49
ABUW_0076,ABUW_0076,81324,81899,+,hypothetical protein,Function unknown,,HutC,CP008706.1,AKA29871.1,ABUW_RS00375,NZ_CP008706.1,Op49
ABUW_0077,hutU,82151,83827,+,urocanate hydratase,Amino acid transport and metabolism,,HutC,CP008706.1,AKA29872.1,ABUW_RS00380,NZ_CP008706.1,Op50
ABUW_0078,hutH,83915,85453,+,histidine ammonia-lyase,Amino acid transport and metabolism,,HutC,CP008706.1,AKA29873.1,ABUW_RS00385,NZ_CP008706.1,Op50
ABUW_0079,ABUW_0079,85518,86930,+,proline-specific permease ProY,Amino acid transport and metabolism,,HutC,CP008706.1,AKA29874.1,ABUW_RS00390,NZ_CP008706.1,Op50
ABUW_0080,hutI,86982,88187,+,imidazolonepropionase,"Secondary metabolites biosynthesis, transport, and catabolism",,HutC,CP008706.1,AKA29875.1,ABUW_RS00395,NZ_CP008706.1,Op50
ABUW_0081,hutG,88165,89118,+,formimidoylglutamase,Amino acid transport and metabolism,,HutC,CP008706.1,AKA29876.1,ABUW_RS00400,NZ_CP008706.1,Op50
ABUW_0082,ABUW_0082,89373,91199,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29877.1,ABUW_RS00405,NZ_CP008706.1,Op51
ABUW_0083,ABUW_0083,91299,91937,+,haloacid dehydrogenase,Function unknown,,,CP008706.1,AKA29878.1,ABUW_RS00410,NZ_CP008706.1,Op52
ABUW_0084,murI1,91961,92761,+,glutamate racemase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29879.1,ABUW_RS00415,NZ_CP008706.1,Op52
ABUW_0085,ABUW_0085,93475,93759,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29880.1,,,Op53
ABUW_0086,ABUW_0086,94238,95305,+,DNA cytosine methyltransferase,"Replication, recombination and repair",,,CP008706.1,AKA29881.1,ABUW_RS00425,NZ_CP008706.1,Op54
ABUW_0087,ABUW_0087,95292,98285,+,histidine kinase,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA29882.1,ABUW_RS00430,NZ_CP008706.1,Op54
ABUW_0088,ABUW_0088,98290,99990,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29883.1,ABUW_RS00435,NZ_CP008706.1,Op54
ABUW_0089,glmS,100659,102497,-,glutamine-fructose-6-phosphate transaminase (isomerizing),Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29884.1,ABUW_RS00440,NZ_CP008706.1,Op55
ABUW_0090,glmU,102510,103874,-,UDP-N-acetylglucosamine diphosphorylase/glucosamine-1- phosphate N-acetyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29885.1,ABUW_RS00445,NZ_CP008706.1,Op55
ABUW_0091,pgpA,103891,104406,-,phosphatidylglycerophosphatase A,Lipid transport and metabolism,,,CP008706.1,AKA29886.1,ABUW_RS00450,NZ_CP008706.1,Op55
ABUW_0092,thiL,104384,105301,-,thiamine-monophosphate kinase,Coenzyme transport and metabolism,,,CP008706.1,AKA29887.1,ABUW_RS00455,NZ_CP008706.1,Op56
ABUW_0093,nusB,105317,105766,-,transcription antitermination factor NusB,Transcription,,,CP008706.1,AKA29888.1,ABUW_RS00460,NZ_CP008706.1,Op56
ABUW_0094,ribH,105770,106240,-,6%2C7-dimethyl-8-ribityllumazine synthase,Coenzyme transport and metabolism,,,CP008706.1,AKA29889.1,ABUW_RS00465,NZ_CP008706.1,Op56
ABUW_0095,ribB1,106252,107373,-,3%2C4-dihydroxy-2-butanone 4-phosphate synthase,Coenzyme transport and metabolism,,,CP008706.1,AKA29890.1,ABUW_RS00470,NZ_CP008706.1,Op56
ABUW_0096,ABUW_0096,107613,108902,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA29891.1,ABUW_RS00475,NZ_CP008706.1,Op57
ABUW_0097,serB,108980,110203,+,phosphoserine phosphatase,Amino acid transport and metabolism,,,CP008706.1,AKA29892.1,ABUW_RS00480,NZ_CP008706.1,Op58
ABUW_0098,ABUW_0098,110613,110948,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29893.1,ABUW_RS00485,NZ_CP008706.1,Op59
ABUW_0099,ABUW_0099,111202,111681,+,hypothetical protein,Lipid transport and metabolism,,,CP008706.1,AKA29894.1,ABUW_RS00490,NZ_CP008706.1,Op60
ABUW_0100,dtd,111721,112164,-,D-tyrosyl-tRNA(Tyr) deacylase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA29895.1,ABUW_RS00495,NZ_CP008706.1,
ABUW_0101,pncB,112333,113547,+,nicotinate phosphoribosyltransferase,Nucleotide transport and metabolism,,,CP008706.1,AKA29896.1,ABUW_RS00500,NZ_CP008706.1,Op61
ABUW_0102,ABUW_0102,113698,114546,+,hypothetical protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA29897.1,ABUW_RS00505,NZ_CP008706.1,Op62
ABUW_0103,psd,114543,115394,+,phosphatidylserine decarboxylase,Lipid transport and metabolism,,,CP008706.1,AKA29898.1,ABUW_RS00510,NZ_CP008706.1,Op62
ABUW_0104,ABUW_0104,115613,116809,+,hypothetical protein,Lipid transport and metabolism,,,CP008706.1,AKA29899.1,ABUW_RS00515,NZ_CP008706.1,Op63
ABUW_0105,phoR,116879,118237,-,phosphate regulon sensor kinase PhoR,Signal transduction mechanisms,,,CP008706.1,AKA29900.1,ABUW_RS00520,NZ_CP008706.1,Op64
ABUW_0106,phoB,118247,118957,-,phosphate regulon transcriptional regulatory protein PhoB,Transcription,,,CP008706.1,AKA29901.1,ABUW_RS00525,NZ_CP008706.1,Op64
ABUW_0107,ABUW_0107,119213,119884,-,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA29902.1,ABUW_RS00530,NZ_CP008706.1,Op65
ABUW_0108,ABUW_0108,120081,120914,+,short-chain dehydrogenase/reductase,Function unknown,,,CP008706.1,AKA29903.1,ABUW_RS00535,NZ_CP008706.1,
ABUW_0109,ABUW_0109,120971,122338,-,MATE efflux family protein,Defense mechanisms,,,CP008706.1,AKA29904.1,ABUW_RS00540,NZ_CP008706.1,Op66
ABUW_0110,ABUW_0110,122445,123599,-,putative aminotransferase,Amino acid transport and metabolism,,,CP008706.1,AKA29905.1,ABUW_RS00545,NZ_CP008706.1,Op67
ABUW_0111,ABUW_0111,123627,124937,-,hypothetical protein,Function unknown,,,CP008706.1,AKA29906.1,ABUW_RS00550,NZ_CP008706.1,Op67
ABUW_0112,ABUW_0112,124951,125514,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA29907.1,ABUW_RS00555,NZ_CP008706.1,Op67
ABUW_0113,ABUW_0113,125574,126113,-,hypothetical protein,Function unknown,,,CP008706.1,AKA29908.1,ABUW_RS00560,NZ_CP008706.1,Op68
ABUW_0114,gshA,126282,127859,+,glutamate--cysteine ligase,Coenzyme transport and metabolism,,,CP008706.1,AKA29909.1,ABUW_RS00565,NZ_CP008706.1,Op69
ABUW_0115,dsbB,127874,128389,+,disulfide bond formation protein,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA29910.1,ABUW_RS00570,NZ_CP008706.1,Op69
ABUW_0116,ABUW_0116,128555,131860,+,hypothetical protein,Function unknown,,ABUW_1645,CP008706.1,AKA29911.1,ABUW_RS00575,NZ_CP008706.1,Op70
ABUW_0117,ABUW_0117,131872,133620,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,,ABUW_1645,CP008706.1,AKA29912.1,ABUW_RS19650,NZ_CP008706.1,Op70
ABUW_0118,ABUW_0118,133642,134100,+,hypothetical protein,No COG annotation,,"AbaM,ABUW_1645",CP008706.1,AKA29913.1,ABUW_RS00585,NZ_CP008706.1,Op70
ABUW_0119,ABUW_0119,134102,134458,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29914.1,ABUW_RS00590,NZ_CP008706.1,Op70
ABUW_0120,ABUW_0120,134555,135292,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA29915.1,ABUW_RS00595,NZ_CP008706.1,Op71
ABUW_0121,ABUW_0121,135405,136130,+,hypothetical protein,No COG annotation,,ABUW_1645,CP008706.1,AKA29916.1,ABUW_RS00600,NZ_CP008706.1,Op72
ABUW_0122,ABUW_0122,136197,137540,-,PGAP1 family protein,Function unknown,,,CP008706.1,AKA29917.1,ABUW_RS00605,NZ_CP008706.1,
ABUW_0123,ABUW_0123,137752,138333,+,putative esterase,Function unknown,,,CP008706.1,AKA29918.1,ABUW_RS00610,NZ_CP008706.1,Op73
ABUW_0124,parE,138348,140231,+,DNA topoisomerase IV%2C B subunit,"Replication, recombination and repair",,,CP008706.1,AKA29919.1,ABUW_RS00615,NZ_CP008706.1,Op73
ABUW_0125,allA,140353,140856,-,ureidoglycolate hydrolase,Nucleotide transport and metabolism,,,CP008706.1,AKA29920.1,ABUW_RS00620,NZ_CP008706.1,Op74
ABUW_0126,allC,140853,141863,-,allantoicase,Nucleotide transport and metabolism,,,CP008706.1,AKA29921.1,ABUW_RS00625,NZ_CP008706.1,Op74
ABUW_0127,ABUW_0127,142063,143220,+,monooxygenase%2C FAD-binding,Energy production and conversion,,,CP008706.1,AKA29922.1,ABUW_RS00630,NZ_CP008706.1,
ABUW_0128,ABUW_0128,143273,143998,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29923.1,ABUW_RS00635,NZ_CP008706.1,Op75
ABUW_0129,ABUW_0129,144121,145488,-,uracil-xanthine permease,Nucleotide transport and metabolism,,,CP008706.1,AKA29924.1,ABUW_RS00640,NZ_CP008706.1,Op76
ABUW_0130,uraH1,145513,145836,-,transthyretin,Function unknown,,,CP008706.1,AKA29925.1,ABUW_RS00645,NZ_CP008706.1,Op76
ABUW_0131,ABUW_0131,145833,146336,-,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,Function unknown,,,CP008706.1,AKA29926.1,ABUW_RS00650,NZ_CP008706.1,Op76
ABUW_0132,ABUW_0132,146436,147401,-,polysaccharide deacetylase,Carbohydrate transport and metabolism,,,CP008706.1,AKA29927.1,ABUW_RS00655,NZ_CP008706.1,Op77
ABUW_0133,ABUW_0133,147654,148004,+,hypothetical protein,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA29928.1,ABUW_RS00660,NZ_CP008706.1,Op78
ABUW_0134,ABUW_0134,148157,148708,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29929.1,ABUW_RS00665,NZ_CP008706.1,Op79
ABUW_0135,ABUW_0135,148721,149488,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29930.1,ABUW_RS00670,NZ_CP008706.1,Op79
ABUW_0136,dsbD,149517,151331,+,thiol:disulfide interchange protein,Energy production and conversion,,,CP008706.1,AKA29931.1,ABUW_RS00675,NZ_CP008706.1,Op79
ABUW_0137,ABUW_0137,151323,152516,-,GGDEF family protein,Signal transduction mechanisms,,,CP008706.1,AKA29932.1,ABUW_RS00680,NZ_CP008706.1,Op80
ABUW_0138,est,152692,153603,-,esterase,Lipid transport and metabolism,,,CP008706.1,AKA29933.1,ABUW_RS00685,NZ_CP008706.1,Op81
ABUW_0139,ABUW_0139,153753,154190,+,hypothetical protein,Function unknown,,,CP008706.1,AKA29934.1,ABUW_RS00690,NZ_CP008706.1,
ABUW_0140,ABUW_0140,154228,154578,-,putative arsenate reductase,Inorganic ion transport and metabolism,,,CP008706.1,AKA29935.1,ABUW_RS00695,NZ_CP008706.1,Op82
ABUW_0141,xth,155034,155858,-,exodeoxyribonuclease III,"Replication, recombination and repair",,,CP008706.1,AKA29936.1,ABUW_RS00700,NZ_CP008706.1,Op83
ABUW_0142,pyrE,155897,156547,+,orotate phosphoribosyltransferase,Nucleotide transport and metabolism,,,CP008706.1,AKA29937.1,ABUW_RS00705,NZ_CP008706.1,
ABUW_0143,ABUW_0143,156598,158787,-,TonB-dependent receptor protein,Inorganic ion transport and metabolism,,"Fur,ABUW_1645",CP008706.1,AKA29938.1,ABUW_RS00710,NZ_CP008706.1,Op84
ABUW_0144,ABUW_0144,159016,159228,-,hypothetical protein,Function unknown,,,CP008706.1,AKA29939.1,ABUW_RS00715,NZ_CP008706.1,Op85
ABUW_0145,gshB,159390,160334,+,glutathione synthase,Coenzyme transport and metabolism,,,CP008706.1,AKA29940.1,ABUW_RS00720,NZ_CP008706.1,Op86
ABUW_0146,murG,160572,161669,+,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29941.1,ABUW_RS00725,NZ_CP008706.1,Op87
ABUW_0147,murC,161681,163129,+,UDP-N-acetylmuramate--alanine ligase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA29942.1,ABUW_RS00730,NZ_CP008706.1,Op87
