locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FlhDC,link
b1044,0.1114614865,ymdA,uncharacterized protein YmdA,No COG annotation,ymdAB-clsC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6549
b1879,0.1047903379,flhA,flagellar biosynthesis protein FlhA,Cell motility,flhBAE,"RpoD,YcjW,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G370
b1950,0.1029946654,fliR,flagellar biosynthesis protein FliR,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11977
b1043,0.0826282718,csgC,inhibitor of CsgA amyloid formation,Cell wall/membrane/envelope biogenesis,,"RpoD,RpoS,FliZ,CpxR,CsgD,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6548
b1082,0.0802789628,flgK,flagellar hook-filament junction protein 1,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1071,0.0760683315,flgM,anti-sigma factor for FliA (sigma(28)),Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD,omrA,omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G369
b4495,0.075331428,yedN,putative type III secreted effector%2C N-terminal fragment,Function unknown,,gcvB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7043
b1070,0.06882557,flgN,flagellar biosynthesis protein FlgN,Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6562
b1925,0.0682138992,fliS,flagellar biosynthesis protein FliS,Cell motility,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11388
b1924,0.0662888244,fliD,flagellar filament capping protein,Cell motility,fliDST,"RpoD,FliA,FlhDC,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b1083,0.0659898981,flgL,flagellar hook-filament junction protein 2,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11545
b1926,0.059643926300000004,fliT,flagellar biosynthesis protein FliT,Transcription,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b1951,0.0348814804,rcsA,DNA-binding transcriptional activator RcsA,Transcription,rcsA,"RpoD,H-NS,RcsAB,GadE,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10820
