,gene_name,start,end,strand,gene_product,cog,uniprot,regulator
PSPTO_0043,PSPTO_0043,58344,59906,+,cytidine deaminase,Nucleotide transport and metabolism,A0A0N0WTS9,
PSPTO_RS00240,PSPTO_RS00240,59945,60178,+,hypothetical protein,No COG annotation,A0A2S6J8T0,
PSPTO_RS29830,PSPTO_RS29830,60983,61423,-,type III effector AvrRps4,No COG annotation,,
PSPTO_RS00250,PSPTO_RS00250,61614,61780,-,transposase domain-containing protein,No COG annotation,,
PSPTO_0046,PSPTO_0046,62078,64063,+,AAA family ATPase,"Cell cycle control, cell division, chromosome partitioning",A0A0N1JH49,
PSPTO_0047,PSPTO_0047,64066,65970,+,ATP-dependent helicase,"Replication, recombination and repair",A0A0N0WV30,
PSPTO_RS00265,PSPTO_RS00265,66192,66592,+,hypothetical protein,No COG annotation,,
PSPTO_RS00270,PSPTO_RS00270,66650,66829,+,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,Signal transduction mechanisms,,
PSPTO_RS00275,PSPTO_RS00275,67041,67358,+,DUF2384 domain-containing protein,Function unknown,UPI00130EB4AA,
PSPTO_0048,tcmP,67445,68611,+,three-Cys-motif partner protein TcmP,Function unknown,A0A0N0FWG8,
PSPTO_0049,PSPTO_0049,68863,69606,+,phage Gp37/Gp68 family protein,"Replication, recombination and repair",A0A0X7K860,
PSPTO_0050,tcmP,69623,70954,+,three-Cys-motif partner protein TcmP,No COG annotation,A0A0N0FWH2,
PSPTO_0051,PSPTO_0051,71041,71484,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0N0FWI3,
PSPTO_0052,PSPTO_0052,71828,73480,+,hypothetical protein,No COG annotation,UPI00137916C2,
PSPTO_RS00305,PSPTO_RS00305,73641,74468,-,hypothetical protein,No COG annotation,UPI000698B986,
PSPTO_0054,PSPTO_0054,75073,76002,-,hypothetical protein,Function unknown,UPI00030EB4E3,
PSPTO_0055,PSPTO_0055,75949,76971,+,IS21-like element ISPsy4 family transposase,"Replication, recombination and repair",A0A099SYT7,
PSPTO_0056,PSPTO_0056,76968,77777,+,AAA family ATPase,"Replication, recombination and repair",A0A099SW04,
PSPTO_RS00325,PSPTO_RS00325,77803,78162,-,TniQ family protein,Function unknown,UPI0013305F63,
PSPTO_0057,PSPTO_0057,78120,79010,-,TniB family NTP-binding protein,Function unknown,A0A0P9LJ56,
PSPTO_0058,PSPTO_0058,79007,80935,-,DDE-type integrase/transposase/recombinase,"Replication, recombination and repair",A0A0Q0C3K6,
PSPTO_0059,PSPTO_0059,80922,81476,-,heteromeric transposase endonuclease subunit TnsA,No COG annotation,UPI0005C9BC6C,
PSPTO_RS00345,PSPTO_RS00345,81732,82382,+,ATP-binding protein,"Post-translational modification, protein turnover,and chaperones",,
PSPTO_0061,hopY1,82500,83363,+,type III effector,Function unknown,A0A0N0FWI1,
PSPTO_0062,PSPTO_0062,83552,84859,-,CitMHS family transporter,Energy production and conversion,A0A099SKS6,
PSPTO_0063,PSPTO_0063,85159,85557,+,GFA family protein,Function unknown,A0A3M6BSB3,
PSPTO_0064,PSPTO_0064,85784,87181,-,HDOD domain-containing protein,Signal transduction mechanisms,A0A0N0FM95,
PSPTO_0065,recG,87268,89343,-,ATP-dependent DNA helicase RecG,"Replication, recombination and repair",A0A0N8T7J8,
PSPTO_0066,PSPTO_0066,89355,90278,-,hydrogen peroxide-inducible genes activator,Transcription,A0A0N0WXM9,
PSPTO_0067,tonB-1,90371,91117,-,energy transducer TonB,Cell wall/membrane/envelope biogenesis,A0A099SNC4,
PSPTO_0068,exbD,91114,91539,-,TonB system transport protein ExbD,"Intracellular trafficking, secretion, and vesicular transport",A0A099SKT3,
PSPTO_0069,exbB,91543,92499,-,tonB-system energizer ExbB,"Intracellular trafficking, secretion, and vesicular transport",A0A099SNQ9,
PSPTO_0070,PSPTO_0070,92710,93558,+,SDR family oxidoreductase,Carbohydrate transport and metabolism,A0A0N1JI16,
PSPTO_0071,PSPTO_0071,93607,94344,-,lipoprotein,No COG annotation,A0A0K8M091,
PSPTO_0072,PSPTO_0072,94399,94779,-,RidA family protein,"Translation, ribosomal structure and biogenesis",A0A0Q0BPY9,
PSPTO_0073,spoT,94805,96910,-,bifunctional GTP diphosphokinase/guanosine-3'%2C5'-bis pyrophosphate 3'-pyrophosphohydrolase,Transcription,A0A0N0G206,
PSPTO_0074,rpoZ,96971,97234,-,DNA-directed RNA polymerase subunit omega,Transcription,A0A085VPZ0,
PSPTO_0075,gmk,97382,98026,-,guanylate kinase,Nucleotide transport and metabolism,A0A0K8LZM9,
PSPTO_0076,PSPTO_0076,98040,98903,-,YicC family protein,Function unknown,A0A0N0WDV7,
PSPTO_0077,rph,99223,99945,+,ribonuclease PH,"Translation, ribosomal structure and biogenesis",A0A0N0WDP5,
PSPTO_0078,PSPTO_0078,99965,100333,+,DUF4870 domain-containing protein,Function unknown,UPI0002098633,
PSPTO_0079,PSPTO_0079,100403,101182,-,exodeoxyribonuclease III,"Replication, recombination and repair",A0A099SNR8,
PSPTO_0080,pyrE,101265,101906,+,orotate phosphoribosyltransferase,Nucleotide transport and metabolism,A0A4P6QAI1,
PSPTO_0081,PSPTO_0081,101917,102549,+,hypothetical protein,Function unknown,A0A2V4Q9F8,
PSPTO_RS00455,PSPTO_RS00455,102653,102745,+,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_0082,argB,102801,103706,-,acetylglutamate kinase,Nucleotide transport and metabolism,A0A099SKR2,
PSPTO_RS00465,PSPTO_RS00465,103735,106320,-,phosphomannomutase/phosphoglucomutase,Carbohydrate transport and metabolism,A0A0Q0D8I2,AlgU
PSPTO_0084,dut,106375,106830,-,dUTP diphosphatase,Nucleotide transport and metabolism,A0A0N0X0F5,
PSPTO_0085,coaBC,106837,108045,-,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,Coenzyme transport and metabolism,UPI0003178D03,
PSPTO_0086,radC,108181,108855,+,DNA repair protein RadC,"Replication, recombination and repair",A0A099SLH5,
PSPTO_0087,PSPTO_0087,108910,110496,-,ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0Q0DH94,
PSPTO_0089,rpmB,110860,111093,+,50S ribosomal protein L28,"Translation, ribosomal structure and biogenesis",A0A099SNE7,
PSPTO_0090,rpmG,111105,111260,+,50S ribosomal protein L33,"Translation, ribosomal structure and biogenesis",A0A099SKV7,
PSPTO_0091,PSPTO_0091,111368,111733,-,cupin domain-containing protein,Function unknown,A0A099SNS7,
PSPTO_0092,aldA,111972,113465,+,aldehyde dehydrogenase,Energy production and conversion,A0A0Q0I8H0,
PSPTO_0093,PSPTO_0093,113528,113779,-,hypothetical protein,No COG annotation,A0A0N0X084,
PSPTO_0094,PSPTO_0094,113892,115040,+,MFS transporter,Amino acid transport and metabolism,A0A0N1JJ58,
PSPTO_0095,PSPTO_0095,115037,116617,-,phospholipase D family protein,Lipid transport and metabolism,A0A4P6QCX6,
PSPTO_0096,PSPTO_0096,116690,118111,-,PLP-dependent aminotransferase family protein,Transcription,A0A0N0G4L7,
PSPTO_0097,PSPTO_0097,118287,118538,+,DUF1127 domain-containing protein,Function unknown,F3IN82,PSPTO_0096
PSPTO_0098,PSPTO_0098,118544,119857,-,FAD-binding oxidoreductase,Amino acid transport and metabolism,A0A0Q0DH76,
PSPTO_0099,PSPTO_0099,119963,120316,+,YkgJ family cysteine cluster protein,Function unknown,A0A2V4PLD6,
PSPTO_0100,lrp,120331,120819,-,Lrp/AsnC ligand binding domain-containing protein,Transcription,A0A099SKT2,
PSPTO_0101,dadA,120976,122277,+,D-amino acid dehydrogenase,Energy production and conversion,A0A0P9LJJ9,AlgU
PSPTO_0102,PSPTO_0102,122249,122602,+,RidA family protein,"Translation, ribosomal structure and biogenesis",A0A099SKW9,
PSPTO_0103,alr,122682,123755,+,alanine racemase,Amino acid transport and metabolism,A0A0N8T7K2,
PSPTO_0105,PSPTO_0105,123882,124430,+,cupin domain-containing protein,Transcription,UPI0001E28063,
PSPTO_0106,cycB,124455,124778,+,cytochrome c5 family protein,Energy production and conversion,A0A099SLJ3,
PSPTO_0107,PSPTO_0107,124875,126806,+,acetyl-CoA hydrolase/transferase family protein,Energy production and conversion,A0A0Q0CU26,
PSPTO_0108,PSPTO_0108,126885,127703,-,sulfite exporter TauE/SafE family protein,Function unknown,A0A0Q0DH88,
PSPTO_0109,PSPTO_0109,127696,128949,-,NAD(P)/FAD-dependent oxidoreductase,Function unknown,A0A0Q0C3L6,
PSPTO_0110,PSPTO_0110,128977,129861,-,MBL fold metallo-hydrolase,Function unknown,A0A0N1JJ74,
PSPTO_0111,PSPTO_0111,130125,131444,+,sigma-54-dependent Fis family transcriptional regulator,Transcription,A0A0N0X091,
PSPTO_0112,xpt,131808,132377,-,xanthine phosphoribosyltransferase,Nucleotide transport and metabolism,A0A099SHP7,
PSPTO_0113,rep,132432,134441,-,DNA helicase Rep,"Replication, recombination and repair",A0A0Q0BQ22,
PSPTO_0114,PSPTO_0114,134647,136311,+,bifunctional diguanylate cyclase/phosphodiesterase,Signal transduction mechanisms,A0A099SHT4,
PSPTO_0115,PSPTO_0115,136326,137708,-,NorM family multidrug efflux MATE transporter,Defense mechanisms,A0A0Q0DH64,
PSPTO_0116,PSPTO_0116,137865,138785,+,LysR family transcriptional regulator,Transcription,A0A0N0G4L2,
PSPTO_0117,PSPTO_0117,138969,140945,+,methyl-accepting chemotaxis protein,Signal transduction mechanisms,A0A3M3YMK5,
PSPTO_RS00630,PSPTO_RS00630,140896,141075,-,DUF1534 domain-containing protein,No COG annotation,UPI0011EA6BC8,
PSPTO_0118,PSPTO_0118,141265,142917,+,Na/Pi cotransporter family protein,Inorganic ion transport and metabolism,A0A2K4VLS1,
PSPTO_0119,PSPTO_0119,142975,144354,+,insulinase family protein,Function unknown,A0A0Q0BQ27,
PSPTO_0120,PSPTO_0120,144451,145638,+,DUF2914 domain-containing protein,Function unknown,A0A0Q0D8J0,
PSPTO_0121,PSPTO_0121,145643,146884,-,spore maturation protein,Function unknown,A0A099SIK4,
PSPTO_RS00655,PSPTO_RS00655,147044,147508,+,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_RS00660,PSPTO_RS00660,147445,147904,+,IS3-like element ISPsy8 family transposase,"Replication, recombination and repair",UPI0011EA6171,
PSPTO_RS00665,PSPTO_RS00665,148840,148965,+,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_0125,argH,148983,150377,-,argininosuccinate lyase,Amino acid transport and metabolism,A0A0Q0EZ35,
PSPTO_0126,PSPTO_0126,150512,151594,+,sensor histidine kinase,Signal transduction mechanisms,A0A099SK77,
PSPTO_0127,algR,151591,152337,+,response regulator transcription factor,Transcription,A0A099SHU3,AlgU
PSPTO_0128,hemC,152560,153501,+,hydroxymethylbilane synthase,Coenzyme transport and metabolism,A0A0P9JNF4,
PSPTO_0129,hemD,153498,154274,+,uroporphyrinogen-III synthase,Coenzyme transport and metabolism,A0A0P9J7D9,
PSPTO_0130,PSPTO_0130,154325,155446,+,uroporphyrinogen-III C-methyltransferase,Coenzyme transport and metabolism,A0A0N8T680,
PSPTO_0131,PSPTO_0131,155443,156687,+,heme biosynthesis protein HemY,Coenzyme transport and metabolism,A0A0N0FY91,
PSPTO_0132,PSPTO_0132,156902,157429,+,disulfide bond formation protein B,Energy production and conversion,A0A099SHU8,
PSPTO_0134,algQ,157604,158077,+,Rsd/AlgQ family anti-sigma factor,Transcription,A0A0K8LTQ6,PsrA
PSPTO_0135,PSPTO_0135,158162,158836,-,FKBP-type peptidyl-prolyl cis-trans isomerase,Cell wall/membrane/envelope biogenesis,A0A0N0WRY2,
PSPTO_0136,PSPTO_0136,159053,160009,+,AlgP family protein,Function unknown,A0A0Q0BTJ0,
PSPTO_0137,PSPTO_0137,160006,160494,-,TIGR02444 family protein,Function unknown,A0A0N1JGF4,
PSPTO_0138,PSPTO_0138,160541,162451,+,ATP-binding cassette domain-containing protein,Function unknown,UPI000622991D,
PSPTO_0139,PSPTO_0139,162468,163061,+,mechanosensitive ion channel family protein,Cell wall/membrane/envelope biogenesis,A0A099SHV2,
PSPTO_0140,PSPTO_0140,163128,163760,+,LysE family transporter,Amino acid transport and metabolism,A0A0N1JD89,
PSPTO_0141,PSPTO_0141,163941,165839,+,cytochrome c/FTR1 family iron permease,Inorganic ion transport and metabolism,Q88B78,
PSPTO_0142,PSPTO_0142,166054,166284,+,hypothetical protein,No COG annotation,A0A0N0FY95,
PSPTO_0143,PSPTO_0143,166389,166676,-,YheV family putative metal-binding protein,Function unknown,A0A099SQL4,
PSPTO_0144,prlC,166673,168760,-,oligopeptidase A,Amino acid transport and metabolism,UPI0013792B23,
PSPTO_0145,PSPTO_0145,168837,169382,+,gamma carbonic anhydrase family protein,Function unknown,A0A3M2W636,
PSPTO_RS00770,PSPTO_RS00770,169385,169507,+,DUF1534 domain-containing protein,No COG annotation,UPI0011EA69BA,
PSPTO_0146,PSPTO_0146,169523,170578,-,aminopeptidase,Function unknown,A0A0Q0BH29,
PSPTO_0147,PSPTO_0147,170766,171197,+,DUF3592 domain-containing protein,Function unknown,A0A0N0WDL1,
PSPTO_0148,PSPTO_0148,171406,173142,+,OPT/YSL family transporter,Function unknown,A0A0Q0HVF4,
PSPTO_0149,PSPTO_0149,173465,174133,+,hypothetical protein,No COG annotation,UPI000209A0F4,
PSPTO_0150,PSPTO_0150,174242,174586,+,hypothetical protein,No COG annotation,A0A099STT6,
PSPTO_0151,PSPTO_0151,174587,174820,-,DUF1161 domain-containing protein,Function unknown,A0A099SRA8,
PSPTO_0152,osmC,174938,175369,-,OsmC family protein,"Post-translational modification, protein turnover,and chaperones",A0A099SQH5,AlgU
PSPTO_0153,PSPTO_0153,175580,176581,+,LLM class flavin-dependent oxidoreductase,Energy production and conversion,A0A099ST36,
PSPTO_0154,PSPTO_0154,176728,176952,-,DUF1161 domain-containing protein,Function unknown,A0A099SQM2,
PSPTO_0155,PSPTO_0155,177102,177317,-,dodecin domain-containing protein,Function unknown,A0A099STU2,AlgU
PSPTO_0156,PSPTO_0156,177485,177811,+,DUF883 domain-containing protein,Function unknown,A0A0Q0HVJ2,AlgU
PSPTO_0157,trpI,177812,178768,-,LysR family transcriptional regulator,Transcription,A0A0N0WDL5,
PSPTO_0158,trpB,178848,180077,+,tryptophan synthase subunit beta,Amino acid transport and metabolism,A0A099ST40,
PSPTO_0159,trpA,180074,180886,+,tryptophan synthase subunit alpha,Amino acid transport and metabolism,A0A0Q0D650,
PSPTO_0161,PSPTO_0161,181013,181528,+,RcnB family protein,Function unknown,A0A0N8T681,
PSPTO_RS00850,PSPTO_RS00850,181544,181679,-,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_0162,PSPTO_0162,181714,182538,-,alpha/beta fold hydrolase,Function unknown,A0A2V4P4K4,
PSPTO_0163,PSPTO_0163,182751,183083,-,DOPA 4%2C5-dioxygenase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0P9TAE0,
PSPTO_RS00865,PSPTO_RS00865,183525,183848,+,hypothetical protein,No COG annotation,UPI0009B94F8F,
PSPTO_0164,PSPTO_0164,183857,184807,-,LysR family transcriptional regulator,Transcription,A0A0Q0BJF9,
PSPTO_0165,betC,184922,186427,+,choline-sulfatase,Inorganic ion transport and metabolism,A0A0P9LET5,
PSPTO_0166,PSPTO_0166,186464,187390,+,choline ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0Q0HVA9,
PSPTO_0167,PSPTO_0167,187557,187874,+,hypothetical protein,No COG annotation,A0A0N0WDK5,
PSPTO_0168,PSPTO_0168,187946,189514,+,SulP family inorganic anion transporter,Inorganic ion transport and metabolism,A0A0N0WRZ7,
PSPTO_0169,aroE,189618,190442,-,shikimate dehydrogenase,Amino acid transport and metabolism,A0A0N0G109,
PSPTO_0170,hemF,190442,191356,-,oxygen-dependent coproporphyrinogen oxidase,Coenzyme transport and metabolism,A0A099STV4,
PSPTO_5630,PSPTO_5630,191660,192508,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",A7WK44,
PSPTO_0171,PSPTO_0171,192549,193526,+,IS5-like element ISPssy family transposase,"Replication, recombination and repair",A0A1I5INP0,
PSPTO_0172,PSPTO_0172,194087,194407,+,DUF3630 family protein,No COG annotation,A0A0Q0BUR8,
PSPTO_0173,qor,194503,195480,+,NADPH:quinone reductase,Energy production and conversion,A0A0Q0F029,
PSPTO_0174,PSPTO_0174,195488,196045,-,threonylcarbamoyl-AMP synthase,"Translation, ribosomal structure and biogenesis",Q88B46,
PSPTO_0175,dprA,196084,197199,-,DNA-protecting protein DprA,"Replication, recombination and repair",A0A0Q0D7J6,
PSPTO_0176,PSPTO_0176,197323,198348,-,LysM peptidoglycan-binding domain-containing protein,Function unknown,A0A0P9J2K5,
PSPTO_0177,def-1,198474,198980,+,peptide deformylase,"Translation, ribosomal structure and biogenesis",A0A099STV8,
PSPTO_0178,fmt,199041,199985,+,methionyl-tRNA formyltransferase,"Translation, ribosomal structure and biogenesis",A0A0N1JDA9,
PSPTO_0179,rsmB,199982,201328,+,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,"Translation, ribosomal structure and biogenesis",A0A0Q0F021,
PSPTO_0180,trkA,201325,202698,+,Trk system potassium transporter TrkA,Inorganic ion transport and metabolism,A0A099ST55,
PSPTO_0181,PSPTO_0181,202841,205195,+,FdhF/YdeP family oxidoreductase,Energy production and conversion,A0A0Q0CZL9,
PSPTO_0182,PSPTO_0182,205278,206165,-,lysophospholipid acyltransferase,Cell wall/membrane/envelope biogenesis,A0A099STV9,
PSPTO_0183,tag,206203,206754,-,DNA-3-methyladenine glycosylase I,"Replication, recombination and repair",A0A2K4T8U3,
PSPTO_0184,glyQ,206834,207781,+,glycine--tRNA ligase subunit alpha,"Translation, ribosomal structure and biogenesis",A0A0N0X7Q3,
PSPTO_0185,glyS,207778,209832,+,glycine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",A0A0N0FM73,
PSPTO_0186,gmhB,209846,210397,+,D-glycero-beta-D-manno-heptose 1%2C7-bisphosphate 7-phosphatase,Amino acid transport and metabolism,A0A0P9LB64,
PSPTO_0187,PSPTO_0187,210455,211225,+,1-acyl-sn-glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,A0A0N0WUJ7,
PSPTO_RS00995,PSPTO_RS00995,211395,212333,-,helix-turn-helix domain-containing protein,Transcription,,
PSPTO_0189,PSPTO_0189,212501,213511,+,carbon-nitrogen hydrolase family protein,Function unknown,A0A0N1JHC0,
PSPTO_RS01005,PSPTO_RS01005,213639,214963,+,phenylacetaldoxime dehydratase,Function unknown,,
PSPTO_RS01010,PSPTO_RS01010,215153,215332,-,hypothetical protein,No COG annotation,,
PSPTO_0192,PSPTO_0192,215807,217363,+,recombinase family protein,"Replication, recombination and repair",A0A1X0VQA6,
PSPTO_0193,PSPTO_0193,217450,218259,-,AAA family ATPase,"Replication, recombination and repair",A0A099SW04,
PSPTO_0194,PSPTO_0194,218256,219278,-,IS21-like element ISPsy4 family transposase,"Replication, recombination and repair",A0A099SYT7,
PSPTO_0196,PSPTO_0196,219554,221107,-,IS66-like element ISPsy5 family transposase,"Replication, recombination and repair",A0A2V4P180,
PSPTO_0197,tnpB,221125,221481,-,IS66 family insertion sequence element accessory protein TnpB,"Replication, recombination and repair",UPI0009ABB313,
PSPTO_RS01040,tnpB,221520,221852,-,IS66 family insertion sequence element accessory protein TnpB,"Replication, recombination and repair",UPI00132F77DC,
PSPTO_RS01045,PSPTO_RS01045,221938,222332,-,IS5 family transposase,"Replication, recombination and repair",,
PSPTO_0200,PSPTO_0200,222528,223745,-,ATP-grasp domain-containing protein,Function unknown,A0A2V4P3Z4,
PSPTO_RS01055,PSPTO_RS01055,223760,224494,-,GNAT family N-acetyltransferase,No COG annotation,UPI000AF3B9F2,
PSPTO_0201,PSPTO_0201,224484,225383,-,hypothetical protein,Coenzyme transport and metabolism,A0A0N0G329,
PSPTO_0202,PSPTO_0202,225386,226549,-,MFS transporter,Amino acid transport and metabolism,A0A0N0G355,
PSPTO_0203,PSPTO_0203,226554,227672,-,cysteine synthase family protein,Amino acid transport and metabolism,A0A0N0G338,
PSPTO_RS01075,PSPTO_RS01075,227964,228218,-,ParB N-terminal domain-containing protein,Transcription,UPI000A4A4392,
PSPTO_RS01080,PSPTO_RS01080,228890,229742,-,IS5 family transposase,"Replication, recombination and repair",,
PSPTO_RS01085,PSPTO_RS01085,230045,231076,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,UPI0002D3DE8A,
PSPTO_0205,PSPTO_0205,231080,232075,-,hypothetical protein,Function unknown,F3ILH5,
PSPTO_0206,PSPTO_0206,232469,232942,-,DUF2384 domain-containing protein,Function unknown,UPI0005163E3C,
PSPTO_RS01100,PSPTO_RS01100,233124,233403,-,SDR family NAD(P)-dependent oxidoreductase,Function unknown,,
PSPTO_0208,PSPTO_0208,233476,234099,-,hypothetical protein,No COG annotation,A0A0N0WE52,
PSPTO_0209,lysA,234287,235525,-,diaminopimelate decarboxylase,Amino acid transport and metabolism,A0A0N1JH69,
PSPTO_0210,PSPTO_0210,235527,236402,-,DMT family transporter,Amino acid transport and metabolism,A0A0N0FMC5,
PSPTO_0211,iucD,236402,237685,-,lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein,Energy production and conversion,A0A0N0WU35,
PSPTO_0212,lysR,237840,238775,+,LysR family transcriptional regulator,Transcription,A0A0N8QPA6,
PSPTO_0213,PSPTO_0213,239026,239304,+,type II toxin-antitoxin system RelE/ParE family toxin,Function unknown,A0A0N8RWV6,
PSPTO_0214,PSPTO_0214,239314,239619,+,HigA family addiction module antidote protein,Transcription,A0A099SNP3,
PSPTO_0215,PSPTO_0215,239653,239934,-,accessory factor UbiK family protein,Function unknown,A0A0N0G023,
PSPTO_0217,glnK,240354,240692,+,P-II family nitrogen regulator,Transcription,A0A010RSE3,NtrC
PSPTO_0218,amt-1,240728,242065,+,ammonium transporter,Inorganic ion transport and metabolism,A0A099SKM6,NtrC
PSPTO_0219,PSPTO_0219,242307,242732,+,YjbQ family protein,Function unknown,A0A0N0WDX2,AlgU
PSPTO_0220,PSPTO_0220,242831,243160,+,hypothetical protein,No COG annotation,A0A0Q0BH06,
PSPTO_0221,PSPTO_0221,243235,243927,-,HAD family hydrolase,Function unknown,A0A0N8T677,
