,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b0046,47245,47776,+,kefF,531,kefFC,Function unknown,regulator of KefC-mediated potassium transport and quinone oxidoreductase,,,,
b0047,47768,49631,+,kefC,1863,kefFC,Inorganic ion transport and metabolism,K<sup>+</sup> : H<sup>+</sup> antiporter KefC,,,,
b0048,49822,50302,+,folA,480,folA,Coenzyme transport and metabolism,dihydrofolate reductase,,,,"ihf,rpoD,tyrR"
b0049,50379,51222,-,apaH,843,lptD-surA-pdxA-rsmA-apaGH,Signal transduction mechanisms,diadenosine tetraphosphatase,,,,"fis,rpoE"
b0050,51228,51606,-,apaG,378,lptD-surA-pdxA-rsmA-apaGH,Inorganic ion transport and metabolism,hypothetical protein,,,,"fis,rpoE"
b0051,51608,52430,-,rsmA,822,lptD-surA-pdxA-rsmA-apaGH,"Translation, ribosomal structure and biogenesis","16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase",,,,"fis,rpoE"
b0052,52426,53416,-,pdxA,990,lptD-surA-pdxA-rsmA-apaGH,Coenzyme transport and metabolism,"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent",,,,"fis,rpoE"
b0053,53415,54702,-,surA,1287,lptD-surA-pdxA-rsmA-apaGH,"Posttranslational modification, protein turnover, chaperones",peptidyl-prolyl <i>cis-trans</i> isomerase (PPIase),,,,rpoE
b0054,54754,57109,-,lptD,2355,lptD-surA-pdxA-rsmA-apaGH,Cell wall/membrane/envelope biogenesis,outer membrane lipopolysaccharide transport and assembly complex - LptD subunit,,,,"rpoD,rpoE"
b0055,57363,58179,+,djlA,816,djlA,"Posttranslational modification, protein turnover, chaperones",chaperone with DnaK,,,,
b0058,59686,60346,-,rluA,660,rapA-rluA,"Translation, ribosomal structure and biogenesis",23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase,,,,rpoD
b0059,60357,63264,-,rapA,2907,rapA-rluA,"Replication, recombination and repair",RNA polymerase-binding ATPase and RNAP recycling factor,,,,"rpoD,rpoH"
b0060,63428,65780,-,polB,2352,polB,"Replication, recombination and repair",DNA polymerase II,,,,"lexA,rpoD"
b0061,65854,66550,-,araD,696,araBAD,Carbohydrate transport and metabolism,L-ribulose 5-phosphate 4-epimerase,,,,"araC,crp,rpoD"
b0062,66834,68337,-,araA,1503,araBAD,Carbohydrate transport and metabolism,L-arabinose isomerase,,,,"araC,crp,rpoD"
b0063,68347,70048,-,araB,1701,araBAD,Carbohydrate transport and metabolism,L-ribulokinase,,,,"araC,crp,rpoD"
b0064,70386,71265,+,araC,879,araC,Transcription,AraC DNA-binding transcriptional dual regulator,,,,"araC,crp,rpoD,xylR"
b0065,71350,72115,+,yabI,765,yabI,Function unknown,conserved inner membrane protein,,,,"rpoS,yeiE"
b0066,72228,72927,-,thiQ,699,sgrR-sroA-tbpA-thiPQ,Coenzyme transport and metabolism,thiamin ABC transporter - ATP binding subunit,,,,"TPP,rpoD,sgrR"
b0067,72910,74521,-,thiP,1611,sgrR-sroA-tbpA-thiPQ,Inorganic ion transport and metabolism,thiamin ABC transporter - membrane subunit,,,,"TPP,rpoD,sgrR"
b0068,74496,75480,-,thiB,984,sgrR-sroA-tbpA-thiPQ,Coenzyme transport and metabolism,thiamin ABC transporter - periplasmic binding protein,,,,"TPP,rpoD,sgrR"
b0069,75643,77299,-,sgrR,1656,sgrR-sroA-tbpA-thiPQ,Function unknown,SgrR DNA-binding transcriptional dual regulator,,,,"rpoD,sgrR"
b0070,77620,78799,+,setA,1179,sgrST-setA,Carbohydrate transport and metabolism,sugar / lactose exporter SetA,,,,"cra,rpoD,rpoS,sgrR"
b0071,78847,79453,-,leuD,606,leuLABCD,Amino acid transport and metabolism,LeuD,,,,"arcA,leu-tRNA,leuO,lrp,nac,rpoD"
b0072,79463,80864,-,leuC,1401,leuLABCD,Amino acid transport and metabolism,LeuC,,,,"arcA,leu-tRNA,leuO,lrp,nac,rpoD,yeiE"
b0073,80866,81958,-,leuB,1092,leuLABCD,Amino acid transport and metabolism,3-isopropylmalate dehydrogenase,,,,"arcA,leu-tRNA,leuO,lrp,nac,rpoD"
b0074,81957,83529,-,leuA,1572,leuLABCD,Amino acid transport and metabolism,2-isopropylmalate synthase,,,,"arcA,leu-tRNA,leuO,lrp,nac,rpoD"
b0076,84367,85312,+,leuO,945,leuO,Transcription,LeuO DNA-binding transcriptional dual regulator,,,,"h-NS,leuO,lrhA,rpoD,slyA,stpA"
b0077,85629,87354,+,ilvI,1725,ilvIH,Amino acid transport and metabolism,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",,,,"h-NS,lrp,rpoD,yeiE"
b0078,87356,87848,+,ilvH,492,ilvIH,Amino acid transport and metabolism,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",,,,"h-NS,lrp,rpoD"
b0080,88027,89032,+,cra,1005,cra,Transcription,Cra DNA-binding transcriptional dual regulator,,,,"phoB,rpoH"
b0081,89633,90092,+,mraZ,459,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Function unknown,MraZ DNA-binding transcriptional repressor,,,,"mraZ,pdhR,rpoD"
b0082,90093,91035,+,rsmH,942,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,16S rRNA m<sup>4</sup>C1402 methyltransferase,,,,"mraZ,pdhR,rpoD"
b0083,91031,91397,+,ftsL,366,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning",essential cell division protein FtsL,,,,"lexA,mraZ,pdhR,rpoD"
b0084,91412,93179,+,ftsI,1767,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,essential cell division protein FtsI, penicillin-binding protein 3,,,"lexA,mraZ,pdhR,rpoD,ybaQ"
b0085,93165,94653,+,murE,1488,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,"UDP-<i>N</i>-acetylmuramoylalanyl-D-glutamate 2,6-diaminopimelate ligase",,,,"lexA,mraZ,pdhR,rpoD"
b0086,94649,96008,+,murF,1359,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,D-alanyl-D-alanine-adding enzyme,,,,"lexA,mraZ,pdhR,rpoD"
b0087,96001,97084,+,mraY,1083,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,phospho-N-acetylmuramoyl-pentapeptide transferase,,,,"lexA,mraZ,pdhR,rpoD"
b0088,97086,98403,+,murD,1317,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase,,,,"lexA,mraZ,pdhR,rpoD"
b0089,98402,99647,+,ftsW,1245,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning",essential cell division protein FtsW, lipid II flippase,,,"lexA,mraZ,pdhR,rpoD"
b0090,99643,100711,+,murG,1068,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,N-acetylglucosaminyl transferase,,,,"lexA,mraZ,pdhR,rpoD"
b0091,100764,102240,+,murC,1476,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,UDP-<i>N</i>-acetylmuramate-alanine ligase,,,,"lexA,mraZ,pdhR,rpoD"
b0092,102232,103153,+,ddlB,921,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,D-alanine-D-alanine ligase B,,,,"lexA,mraZ,pdhR,rpoD"
b0093,103154,103985,+,ftsQ,831,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,essential cell division protein FtsQ,,,,"lexA,lrp,mraZ,pdhR,rpoD,rpoS,sdiA"
b0094,103981,105244,+,ftsA,1263,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning",essential cell division protein FtsA,,,,"lexA,lrp,mraZ,pdhR,rcsB,rpoD,rpoS,sdiA"
b0095,105304,106456,+,ftsZ,1152,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Cell cycle control, cell division, chromosome partitioning",essential cell division protein FtsZ,,,,"argR,lexA,lrp,mraZ,pdhR,rcsB,rpoD,rpoS,sdiA"
b0096,106556,107474,+,lpxC,918,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,Cell wall/membrane/envelope biogenesis,UDP-3-O-acyl-N-acetylglucosamine deacetylase,,,,"lexA,mraZ,pdhR,rpoD,soxR,soxS"
b0097,107704,108217,+,secM,513,secMA-mutT,Transcription,secretion monitor that regulates SecA translation (General Secretory Pathway),,,,
b0098,108278,110984,+,secA,2706,secMA-mutT,"Intracellular trafficking, secretion, and vesicular transport",protein translocation ATPase,,,,
b0099,111043,111433,+,mutT,390,secMA-mutT,"Replication, recombination and repair",8-oxo-dGTP diphosphatase,,,,
b0101,111648,111846,-,yacG,198,coaE-zapD-yacG,Function unknown,DNA gyrase inhibitor YacG,,,,
b0102,111855,112599,-,zapD,744,coaE-zapD-yacG,Function unknown,cell division factor ZapD,,,,
b0103,112598,113219,-,coaE,621,coaE-zapD-yacG,Coenzyme transport and metabolism,dephospho-CoA kinase,,,,
b0104,113443,114487,+,guaC,1044,guaC,Nucleotide transport and metabolism,GMP reductase,,,,oxyR
b0106,114521,115724,-,hofC,1203,ppdD-hofBC,"Intracellular trafficking, secretion, and vesicular transport",inner membrane protein HofC,,,,"crp,rpoD"
b0107,115713,117099,-,hofB,1386,ppdD-hofBC,"Intracellular trafficking, secretion, and vesicular transport",T2SSE family protein,,,,"crp,rpoD"
b0109,117751,118645,-,nadC,894,nadC,Coenzyme transport and metabolism,quinolinate phosphoribosyltransferase (decarboxylating),,,,crp
b0110,118732,119284,+,ampD,552,ampDE,Cell wall/membrane/envelope biogenesis,<i>N</i>-acetyl-anhydromuramyl-L-alanine amidase,,,,crp
b0111,119280,120135,+,ampE,855,ampDE,Defense mechanisms,inner membrane protein,,,,crp
b0112,120177,121551,-,aroP,1374,aroP,Amino acid transport and metabolism,aromatic amino acid:H<sup>+</sup> symporter AroP,,,,"argR,cra,fnr,rpoD,tyrR"
b0113,122091,122856,+,pdhR,765,pdhR-aceEF-lpd,Transcription,PdhR DNA-binding transcriptional dual regulator,,,,"cra,crp,fnr,pdhR,rpoD,rpoS"
b0114,123016,125680,+,aceE,2664,pdhR-aceEF-lpd,Energy production and conversion,subunit of E1p component of pyruvate dehydrogenase complex,,,,"arcA,cra,crp,fnr,nsrR,pdhR,rpoD,rpoS"
b0115,125694,127587,+,aceF,1893,pdhR-aceEF-lpd,Energy production and conversion,"pyruvate dehydrogenase, E2 subunit",,,,"arcA,cra,crp,fnr,nsrR,pdhR,rpoD,rpoS"
b0116,127911,129336,+,lpd,1425,pdhR-aceEF-lpd,Energy production and conversion,lipoamide dehydrogenase,,,,"arcA,cra,crp,fis,fnr,fur,pdhR,rpoD,rpoS"
b0117,129406,131260,-,yacH,1854,yacH,Function unknown,putative membrane protein,,,,arcA
b0118,131614,134212,+,acnB,2598,acnB,Energy production and conversion,bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase,,,,"arcA,cra,crp,fis,rpoD"
b0119,134387,134750,+,yacL,363,yacL,Function unknown,conserved protein,,,,
b0120,134787,135582,-,speD,795,yacC-speED,Amino acid transport and metabolism,"adenosylmethionine decarboxylase, proenzyme",,,,rpoD
b0121,135597,136464,-,speE,867,yacC-speED,Amino acid transport and metabolism,spermidine synthase,,,,rpoD
b0122,136569,136917,-,yacC,348,yacC-speED,Function unknown,putative protein,,,,rpoD
b0123,137082,138633,+,cueO,1551,cueO,"Secondary metabolites biosynthesis, transport and catabolism",cuprous oxidase / multicopper oxidase with role in copper homeostasis,,,,cueR
b0124,138834,141225,-,gcd,2391,gcd,Carbohydrate transport and metabolism,quinoprotein glucose dehydrogenase,,,,"crp,ihf,rpoD"
b0125,141430,141967,+,hpt,537,hpt,Nucleotide transport and metabolism,hypoxanthine-guanine phosphoribosyltransferase,,,,"crp,ihf,rpoD"
b0126,142007,142670,-,can,663,can,Inorganic ion transport and metabolism,carbonic anhydrase 2,,,,"rpoD,rpoH"
b0127,142778,143705,+,yadG,927,yadGH,Defense mechanisms,"putative transport protein, ABC superfamily - ATP-binding component",,,,crp
b0128,143701,144472,+,yadH,771,yadGH,Defense mechanisms,"putative transport protein, ABC superfamily - membrane component",,,,crp
b0129,144576,145017,+,yadI,441,yadI,Carbohydrate transport and metabolism,predicted PTS enzyme IIA,,,,crp
b0130,145080,146310,+,yadE,1230,yadE,Carbohydrate transport and metabolism,predicted polysaccharide deacetylase lipoprotein,,,,yieP
b0131,146313,146694,-,panD,381,panD,Coenzyme transport and metabolism,"PanD proenzyme, &pi; protein",,,,rpoD
b0132,146967,147870,+,yadD,903,rpnC,Function unknown,predicted transposase,,,,
b0133,147943,148795,-,panC,852,panBC,Coenzyme transport and metabolism,pantothenate synthetase,,,,rpoD
b0134,148806,149601,-,panB,795,panBC,Coenzyme transport and metabolism,3-methyl-2-oxobutanoate hydroxymethyltransferase,,,,rpoD
b0135,149714,150953,-,yadC,1239,yadMLKC,"Intracellular trafficking, secretion, and vesicular transport",predicted fimbrial-like adhesin protein,,,,
b0137,151625,152231,-,yadL,606,yadMLKC,Function unknown,hypothetical protein,,,,yddM
b0139,152828,155426,-,htrE,2598,yadV-htrE,Cell wall/membrane/envelope biogenesis,putative outer membrane usher protein,,,,"lrp,rpoD,rpoS"
b0142,157252,157732,-,folK,480,pcnB-folK,Coenzyme transport and metabolism,"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase",,,,"rpoD,rpoS"
b0143,157728,159126,-,pcnB,1398,pcnB-folK,"Translation, ribosomal structure and biogenesis",poly(A) polymerase I,,,,"rpoD,rpoS"
b0144,159185,160112,-,gluQ,927,sfsA-dksA-gluQ,"Translation, ribosomal structure and biogenesis",glutamyl-Q tRNA<sup>Asp</sup> synthetase,,,,rpoD
b0145,160148,160604,-,dksA,456,sfsA-dksA-gluQ,Signal transduction mechanisms,RNA polymerase-binding transcription factor DksA,,,,"crp,rpoD"
b0146,160781,161486,-,sfsA,705,sfsA-dksA-gluQ,Function unknown,predicted DNA-binding transcriptional regulator of maltose metabolism,,,,"crp,rpoD"
b0147,161500,162031,-,ligT,531,thpR,"Translation, ribosomal structure and biogenesis","RNA 2',3'-cyclic phosphodiesterase",,,,
b0148,162104,164534,+,hrpB,2430,hrpB,"Replication, recombination and repair",putative ATP-dependent RNA helicase HrpB,,,,
b0149,164729,167264,+,mrcB,2535,mrcB,Cell wall/membrane/envelope biogenesis,"peptidoglycan glycosyltransferase / peptidoglycan D,D-transpeptidase - MrcB",,,,
b0150,167483,169727,+,fhuA,2244,fhuACDB,Inorganic ion transport and metabolism,ferrichrome / phage / antibiotic outer membrane porin FhuA,,,,"fur,rpoD"
b0151,169777,170575,+,fhuC,798,fhuACDB,Inorganic ion transport and metabolism,iron(III) hydroxamate ABC transporter - ATP binding subunit,,,,"fur,rpoD,trpR"
b0152,170574,171465,+,fhuD,891,fhuACDB,Inorganic ion transport and metabolism,iron(III) hydroxamate ABC transporter - periplasmic binding protein,,,,"fur,rpoD,trpR"
b0153,171461,173444,+,fhuB,1983,fhuACDB,Inorganic ion transport and metabolism,iron(III) hydroxamate ABC transporter - membrane subunit,,,,"fur,rpoD,trpR"
b0154,173601,174882,-,hemL,1281,hemL,Coenzyme transport and metabolism,glutamate-1-semialdehyde aminotransferase,,,,"fliA,nac,pdhR,phoP"
b0155,175106,176528,+,clcA,1422,clcA,Inorganic ion transport and metabolism,chloride:H<sup>+</sup> antiporter ClcA,,,,yieP
b0156,176609,176954,+,erpA,345,erpA,Function unknown,essential respiratory protein A,,,,iscR
b0157,177000,177624,-,yadS,624,mtn-btuF-yadS,Function unknown,conserved inner membrane protein,,,,"rpoD,rpoS"
b0158,177661,178462,-,btuF,801,mtn-btuF-yadS,Inorganic ion transport and metabolism,vitamin B<sub>12</sub> ABC transporter - periplasmic binding protein,,,,"rpoD,rpoS"
b0159,178454,179153,-,mtn,699,mtn-btuF-yadS,Nucleotide transport and metabolism,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,,,"rpoD,rpoS"
b0160,179236,180754,+,dgt,1518,dgt,Nucleotide transport and metabolism,dGTP triphosphohydrolase,,,,
b0161,180883,182308,+,degP,1425,degP,"Posttranslational modification, protein turnover, chaperones",serine protease Do,,,,"cpxR,h-NS,rpoE"
b0162,182462,183620,+,cdaR,1158,cdaR,Transcription,CdaR DNA-binding transcriptional activator,,,,"cdaR,nac"
b0163,183708,184095,-,yaeH,387,yaeH,Function unknown,conserved protein,,,,
b0164,184256,185069,-,yaeI,813,yaeI,Function unknown,phosphodiesterase,,,,nac
b0166,185122,185947,-,dapD,825,map-glnD-dapD,Amino acid transport and metabolism,tetrahydrodipicolinate succinylase,,,,"argP,nac,rpoD"
b0167,185977,188650,-,glnD,2673,map-glnD-dapD,"Posttranslational modification, protein turnover, chaperones",PII uridylyltransferase / uridylyl removing enzyme,,,,"fnr,fur,nac"
b0168,188711,189506,-,map,795,map-glnD-dapD,"Translation, ribosomal structure and biogenesis",methionine aminopeptidase,,,,"fur,nac"
b0169,189873,190599,+,rpsB,726,tff-rpsB-tsf,"Translation, ribosomal structure and biogenesis",30S ribosomal subunit protein S2,,,,"nac,rpoD"
b0170,190856,191708,+,tsf,852,tff-rpsB-tsf,"Translation, ribosomal structure and biogenesis",protein chain elongation factor EF-Ts,,,,"nac,rpoD"
b0171,191854,192580,+,pyrH,726,pyrH,Nucleotide transport and metabolism,UMP kinase,,,,rpoD
b0172,192871,193429,+,frr,558,frr,"Translation, ribosomal structure and biogenesis",ribosome recycling factor,,,,rpoD
b0173,193520,194717,+,dxr,1197,dxr,Lipid transport and metabolism,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,,
b0174,194902,195664,+,ispU,762,ispU,Lipid transport and metabolism,undecaprenyl diphosphate synthase,,,,
b0175,195676,196534,+,cdsA,858,cdsA,Lipid transport and metabolism,CDP-diglyceride synthetase,,,,
b0176,196545,197898,+,rseP,1353,rseP,Cell wall/membrane/envelope biogenesis,"intramembrane zinc metalloprotease, signal peptide peptidase",,,,rpoE
b0177,197927,200360,+,bamA,2433,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis,Outer Membrane Protein Assembly Complex - BamA subunit,,,,"rpoE,ybiH"
b0178,200481,200967,+,skp,486,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis,periplasmic chaperone,,,,"cpxR,gadE,rpoE"
b0179,200970,201996,+,lpxD,1026,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis,UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine <i>N</i>-acyltransferase,,,,"cpxR,gadE,rpoE"
b0180,202100,202556,+,fabZ,456,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Lipid transport and metabolism,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,,,,"cpxR,gadE,rpoE"
b0181,202559,203348,+,lpxA,789,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis,UDP-N-acetylglucosamine acyltransferase,,,,"cpxR,gadE,rpoE"
b0182,203347,204496,+,lpxB,1149,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,Cell wall/membrane/envelope biogenesis,lipid A disaccharide synthase,,,,rpoE
b0183,204492,205089,+,rnhB,597,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,"Replication, recombination and repair","RNAse HII,  degrades RNA of DNA-RNA hybrids",,,,rpoE
b0184,205125,208608,+,dnaE,3483,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,"Replication, recombination and repair","DNA polymerase III, &alpha; subunit",,,,rpoE
b0185,208620,209580,+,accA,960,accA,Lipid transport and metabolism,"acetyl-CoA carboxyltransferase, &alpha; subunit",,,,"fadR,rpoD"
b0186,209678,211820,+,ldcC,2142,ldcC,Amino acid transport and metabolism,lysine decarboxylase 2,,,,rpoS
b0187,211876,212266,+,yaeR,390,yaeR,Amino acid transport and metabolism,predicted lyase,,,,
b0188,212330,213629,+,tilS,1299,tilS,"Cell cycle control, cell division, chromosome partitioning",tRNA<sup>Ile</sup>-lysidine synthetase,,,,
b0189,213677,213932,-,rof,255,yaeP-rof,Transcription,modulator of Rho-dependent transcription termination,,,,crp
b0190,214290,214836,+,yaeQ,546,yaeQ-arfB-nlpE,Function unknown,conserved protein,,,,crp
