locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PvdS,link
PP_2900,0.1245074727133953,PP_2900,conserved protein of unknown function,Inorganic ion transport and metabolism,Op1874,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2900&e1=1&assembly=complete
PP_3801,0.1229627615660016,PP_3801,putative Cation ABC transporter%2C periplasmic cation-binding protein,Inorganic ion transport and metabolism,Op2488,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3801&e1=1&assembly=complete
PP_0946,0.1226302789395724,sodA,superoxide dismutase (Mn),Energy production and conversion,Op605,"AmrZ,Fur",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0946&e1=1&assembly=complete
PP_0944,0.1215023722583763,fumC-I,fumarate hydratase (class 2),Energy production and conversion,Op605,Fur,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0944&e1=1&assembly=complete
PP_3800,0.1199744718038558,PP_3800,conserved protein of unknown function,No COG annotation,Op2488,TurA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3800&e1=1&assembly=complete
PP_4218,0.1184452131750671,PP_4218,Lipase/esterase family protein,Lipid transport and metabolism,Op2734,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4218&e1=1&assembly=complete
PP_3803,0.1126703436359911,PP_3803,putative Cation ABC transporter%2C permease protein,Inorganic ion transport and metabolism,Op2488,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3803&e1=1&assembly=complete
PP_3798,0.1125647041356455,PP_3798,conserved protein of unknown function,Function unknown,Op2488,"TurA,TurB",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3798&e1=1&assembly=complete
PP_4212,0.1117644888939037,pvdP,pyoverdine biosynthesis related protein,Function unknown,Op2731,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4212&e1=1&assembly=complete
PP_3797,0.1109657460606662,PP_3797,conserved membrane protein of unknown function,Function unknown,Op2488,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3797&e1=1&assembly=complete
PP_3802,0.1109278324993691,PP_3802,putative Cation ABC transporter%2C ATP-binding protein,Inorganic ion transport and metabolism,Op2488,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3802&e1=1&assembly=complete
PP_4244,0.1101050096115545,pvdS,alternative sigma factor,Transcription,Op2749,Fur,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4244&e1=1&assembly=complete
PP_2901,0.1092226169184505,pvdQ,Acyl-homoserine lactone acylase,Function unknown,Op1875,Fur,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2901&e1=1&assembly=complete
PP_3804,0.1077893288116661,PP_3804,conserved exported protein of unknown function,Inorganic ion transport and metabolism,Op2488,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3804&e1=1&assembly=complete
PP_4209,0.1065501347582412,pvdR,ABC export system%2C membrane fusion protein,Cell wall/membrane/envelope biogenesis,Op2730,"AlgR,PvdS",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4209&e1=1&assembly=complete
PP_0945,0.1024194821165497,PP_0945,conserved protein of unknown function,Function unknown,Op605,Fur,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0945&e1=1&assembly=complete
PP_4211,0.1018915927257768,ompQ,outer membrane pyoverdine efflux protein,Cell wall/membrane/envelope biogenesis,Op2730,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4211&e1=1&assembly=complete
PP_4210,0.0969446011523063,pvdT,pyoverdine efflux carrier and ATP binding protein,Defense mechanisms,Op2730,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4210&e1=1&assembly=complete
PP_4245,0.0940624438323509,pvdY,hydroxyproline acetylase,"Translation, ribosomal structure and biogenesis",Op2750,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4245&e1=1&assembly=complete
PP_0943,0.0914116135644625,PP_0943,conserved protein of unknown function,Function unknown,Op605,"AlgR,Fur",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0943&e1=1&assembly=complete
PP_0754,0.0905037055856851,PP_0754,conserved protein of unknown function,No COG annotation,Op490,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0754&e1=1&assembly=complete
