locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FliA,link
PP_5324,0.098316337113636,PP_5324,Response regulator,Signal transduction mechanisms,Op3486,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5324&e1=1&assembly=complete
PP_4375,0.0953702700076639,fliS,flagellar chaperone%2C inhibits premature FliC assembly,Cell motility,Op2820,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4375&e1=1&assembly=complete
PP_4406,0.0951041582391158,PP_4406,conserved protein of unknown function,No COG annotation,Op2836,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4406&e1=1&assembly=complete
PP_0768,0.093778107141269,PP_0768,Response regulator/TPR domain protein,Signal transduction mechanisms,Op501,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0768&e1=1&assembly=complete
PP_1512,0.0934625116494625,PP_1512,conserved protein of unknown function,No COG annotation,Op952,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1512&e1=1&assembly=complete
PP_0802,0.0915637494355232,PP_0802,putative chemotaxis protein,Signal transduction mechanisms,Op526,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0802&e1=1&assembly=complete
PP_0779,0.0901267586263566,PP_0779,Methyl-accepting chemotaxis transducer/sensory box protein,Cell motility,Op508,FliA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0779&e1=1&assembly=complete
PP_1087,0.0870840756825236,PP_1087,Outer membrane protein%2C OmpA family,Cell wall/membrane/envelope biogenesis,Op680,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1087&e1=1&assembly=complete
PP_4336,0.0848026847354616,PP_4336,flagellar motor rotation protein,Cell motility,Op2806,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4336&e1=1&assembly=complete
PP_0769,0.081601304585497,PP_0769,Sensor histidine kinase,Signal transduction mechanisms,Op501,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0769&e1=1&assembly=complete
PP_4374,0.0809051207886711,fliT,flagellar protein,Cell motility,Op2820,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4374&e1=1&assembly=complete
PP_4395,0.0786795995686149,flgM,Negative regulator of flagellin synthesis FlgM,Cell motility,Op2829,"FliA,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4395&e1=1&assembly=complete
PP_0369,0.0776369849615753,PP_0369,putative diguanylate cyclase,Signal transduction mechanisms,Op253,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0369&e1=1&assembly=complete
PP_0173,0.0764678743388112,PP_0173,putative transcriptional factor-related protein,Transcription,Op122,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0173&e1=1&assembly=complete
PP_4391,0.0763928657664653,flgB,flagellar basal-body rod protein FlgB,Cell motility,Op2825,"FleQ,CbrB",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4391&e1=1&assembly=complete
PP_4905,0.0742213965385258,motA,Flagellar motor rotation protein,Cell motility,Op3196,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4905&e1=1&assembly=complete
PP_4381,0.0735482895823078,flgK,Flagellar hook-associated protein FlgK,Cell motility,Op2823,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4381&e1=1&assembly=complete
PP_4376,0.0728448440314877,fliD,flagellar filament capping protein,Cell motility,Op2820,"FleR,FleQ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4376&e1=1&assembly=complete
