locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TfoX,link
PN96_RS00850,0.0387812860434842,PN96_RS00850,type IV pilus twitching motility protein PilT,Cell motility,Op174,,False,
PN96_RS03755,0.0387357948647334,nrfD,polysulfide reductase NrfD,Inorganic ion transport and metabolism,Op950,,False,
PN96_RS01335,0.0386011375089808,pilC,type II secretion system F family protein,"Intracellular trafficking, secretion, and vesicular transport",Op277,TfoX,True,
PN96_RS12330,0.0384290697521362,tviB,Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB,Cell wall/membrane/envelope biogenesis,Op2721,,False,
PN96_RS12325,0.0381668990894158,PN96_RS12325,four helix bundle protein,"Translation, ribosomal structure and biogenesis",Op2720,,False,
PN96_RS11725,0.0381046101194484,lcfH,long-chain fatty acid--CoA ligase,Lipid transport and metabolism,Op2653,FabR,False,
PN96_RS09315,-0.0381430104538379,purU,formyltetrahydrofolate deformylase,Nucleotide transport and metabolism,Op2355,,False,
PN96_RS13470,-0.039974735723102,PN96_RS13470,valine--pyruvate transaminase,Amino acid transport and metabolism,Op2851,,False,
PN96_RS14960,-0.0403094166071087,PN96_RS14960,malate dehydrogenase,Energy production and conversion,Op3024,,False,
PN96_RS08710,-0.0428279613032086,udp,uridine phosphorylase,Nucleotide transport and metabolism,Op2255,"Crp,FNR",False,
PN96_RS17355,-0.0436716010593662,PN96_RS17355,OmpA family protein,Cell wall/membrane/envelope biogenesis,Op570,,False,
PN96_RS21100,-0.0445252679966477,PN96_RS21100,methyl-accepting chemotaxis protein,Cell motility,Op1587,,False,
PN96_RS15585,-0.0462953729675729,PN96_RS15585,hypothetical protein,No COG annotation,Op86,,False,
