locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,RpoH,link
PA4387,0.151014376,PA4387,,phage exclusion suppressor FxsA,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4387&e1=1&assembly=complete
PA4385,0.149271985,groEL,,molecular chaperone GroEL,"Post-translational modification, protein turnover,and chaperones",RpoH,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4385&e1=1&assembly=complete
PA4759,0.139185326,dapB,,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4759&e1=1&assembly=complete
PA1597,0.132006713,PA1597,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1597&e1=1&assembly=complete
PA3952,0.12206541200000001,PA3952,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3952&e1=1&assembly=complete
PA4870,0.09688495300000001,PA4870,,hypothetical protein,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4870&e1=1&assembly=complete
PA5055,0.09592276,PA5055,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5055&e1=1&assembly=complete
PA4061,0.092772935,PA4061,,thioredoxin,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4061&e1=1&assembly=complete
PA0905,0.090446281,rsmA,,carbon storage regulator,"Translation, ribosomal structure and biogenesis",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0905&e1=1&assembly=complete
PA4475,0.075287755,PA4475,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4475&e1=1&assembly=complete
PA4752,0.06827738600000001,ftsJ,,cell division protein FtsJ,"Translation, ribosomal structure and biogenesis",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4752&e1=1&assembly=complete
PA1803,0.06718623,lon,,Lon protease,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1803&e1=1&assembly=complete
PA4474,0.065830804,PA4474,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4474&e1=1&assembly=complete
PA4944,0.065429702,hfq,,RNA-binding protein Hfq,"Translation, ribosomal structure and biogenesis",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4944&e1=1&assembly=complete
PA3272,0.06448435,PA3272,,ATP-dependent DNA helicase,"Replication, recombination and repair",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3272&e1=1&assembly=complete
PA2830,0.062161046000000005,htpX,,protease HtpX,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2830&e1=1&assembly=complete
PA0778,0.054703813000000004,icp,,inhibitor of cysteine peptidase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0778&e1=1&assembly=complete
PA4943,0.053900259000000006,PA4943,,GTP-binding protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4943&e1=1&assembly=complete
