locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fnr,link
b2208,0.1208836244,napF,ferredoxin-type protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b1541,0.1207263726,ydfZ,putative selenoprotein YdfZ,Function unknown,ydfZ,Fnr,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6815
b3211,0.1146476812,yhcC,radical SAM family oxidoreductase YhcC,Function unknown,yhcC,"YihW,YahB,YjhI,YhjC,YiaU,YedW,ArgR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7669
b1751,0.1142110481,ydjY,4Fe-4S ferredoxin-type domain-containing protein YdjY,No COG annotation,ydjXYZ-ynjABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6946
b1587,0.11420339500000001,ynfE,putative selenate reductase YnfE,Energy production and conversion,ynfEFGH-dmsD,"RpoD,RpoS,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6845
b0904,0.1132947116,focA,formate channel FocA,Inorganic ion transport and metabolism,focA-pflB,"RpoD,YqhC,Crp,ArcA,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11258
b3159,0.1087709027,yhbV,putative peptidase YhbV,"Post-translational modification, protein turnover,and chaperones",yhbUV,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7653
b0894,0.1032560695,dmsA,dimethyl sulfoxide reductase subunit A,Energy production and conversion,dmsABC,"RpoD,YciT,Fis,ModE,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10232
b4380,0.0997795341,yjjI,DUF3029 domain-containing protein YjjI,Nucleotide transport and metabolism,yjjI,YciT,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12171
b1906,0.09842927200000001,yecH,DUF2492 domain-containing protein YecH,Function unknown,yecH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7036
b2207,0.0933457062,napD,NapA signal peptide-binding chaperone NapD,Inorganic ion transport and metabolism,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12143
b1785,0.0919172942,cdgI,putative c-di-GMP binding protein CdgI,Signal transduction mechanisms,cdgI,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6971
b4582_1,0.0916198055,yoeA_1,,No COG Annotation,yoeA_1,,False,
b1474,0.09151448990000001,fdnG,formate dehydrogenase N subunit alpha,Energy production and conversion,fdnGHI,"RpoD,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11227
b4238,0.0877960143,nrdD,anaerobic ribonucleoside-triphosphate reductase,Nucleotide transport and metabolism,nrdDG,"RpoD,NrdR,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11417
b1757,0.0853985815,ynjE,molybdopterin synthase sulfurtransferase,Cell wall/membrane/envelope biogenesis,ynjE,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6952
b1224,0.0790628631,narG,nitrate reductase A subunit alpha,Energy production and conversion,narGHJI,"RpoD,YcjW,RstA,Fis,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10638
b2727,0.0772091106,hypB,hydrogenase isoenzymes nickel incorporation protein HypB,Transcription,hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10484
b3477,0.0684329001,nikB,Ni(2(+)) ABC transporter membrane subunit NikB,Inorganic ion transport and metabolism,nikABCDER,"RpoN,NarL,NikR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12076
b0919,0.0678446375,ycbJ,putative phosphotransferase YcbJ,Function unknown,ycbJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6473
b3409,0.0669117686,feoB,Fe(2(+)) transporter FeoB,Inorganic ion transport and metabolism,feoABC,"RpoD,YcjW,Fnr,NagC,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12102
b2997,0.0652994744,hybO,hydrogenase 2 small subunit,Energy production and conversion,hybOABCDEFG,"RpoD,ryhB,ArcA,NarL",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7554
b4139,0.0637131902,aspA,aspartate ammonia-lyase,Amino acid transport and metabolism,aspA-dcuA,"RpoD,Fnr,Crp,NarL,DcuR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10095
b4154,0.0636586147,frdA,fumarate reductase flavoprotein subunit,Energy production and conversion,frdABCD,"RpoD,ryhB,RpoS,Fnr,NarL,DcuR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10330
b0715,0.0618519947,abrB,putative regulator,Function unknown,abrB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6384
b0621,0.0597749559,dcuC,anaerobic C4-dicarboxylate transporter DcuC,Inorganic ion transport and metabolism,dcuC,"YeiE,Fnr,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6347
b3366,0.0589507352,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b2298,0.0566817904,yfcC,putative transporter YfcC,Function unknown,yfcC,"YeiE,ppGpp,ArgR,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7190
b2531,-0.0940968102,iscR,DNA-binding transcriptional dual regulator IscR,Transcription,iscRSUA,"RpoD,ryhB,YidZ,IscR,fnrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7326
