locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,FoxR,link
PA0801,0.11726377,PA0801,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0801&e1=1&assembly=complete
PA4896,0.109247914,PA4896,,RNA polymerase sigma factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4896&e1=1&assembly=complete
PA4371,0.10667597000000001,PA4371,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4371&e1=1&assembly=complete
PA4370,0.102099277,icmP,,insulin-cleaving metalloproteinase outer membrane protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4370&e1=1&assembly=complete
PA2426,0.10170673300000001,pvdS,,extracytoplasmic-function sigma-70 factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2426&e1=1&assembly=complete
PA0800,0.098594417,PA0800,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0800&e1=1&assembly=complete
PA4358,0.09755656,PA4358,,ferrous iron transporter B,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4358&e1=1&assembly=complete
PA4513,0.09100983,PA4513,,oxidoreductase,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4513&e1=1&assembly=complete
PA4359,0.08962555,PA4359,,ferrous iron transporter A,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4359&e1=1&assembly=complete
PA2687,0.08855618600000001,pfeS,,two-component sensor histidine kinase PfeS,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2687&e1=1&assembly=complete
PA0802,0.088247192,PA0802,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0802&e1=1&assembly=complete
PA3899,0.087133824,PA3899,,RNA polymerase sigma factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3899&e1=1&assembly=complete
PA3410,0.080076135,PA3410,,ECF subfamily sigma-70 factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3410&e1=1&assembly=complete
PA4357,0.077127322,PA4357,,hypothetical protein,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4357&e1=1&assembly=complete
PA3900,0.07704688800000001,PA3900,,transmembrane sensor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3900&e1=1&assembly=complete
PA1363,0.072857974,PA1363,,ECF subfamily sigma-70 factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1363&e1=1&assembly=complete
PA4687,0.07284185800000001,hitA,,ferric iron-binding periplasmic protein HitA,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4687&e1=1&assembly=complete
PA3768,0.069913318,PA3768,,metallo-oxidoreductase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3768&e1=1&assembly=complete
PA2387,0.067750325,fpvI,,RNA polymerase sigma factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2387&e1=1&assembly=complete
PA4709,0.06747552300000001,PA4709,,hemin degrading factor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4709&e1=1&assembly=complete
PA4227,0.066782401,pchR,,transcriptional regulator PchR,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4227&e1=1&assembly=complete
PA4688,0.06277223500000001,hitB,,iron (III)-transporter permease HitB,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4688&e1=1&assembly=complete
PA4895,0.062589111,PA4895,,transmembrane sensor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4895&e1=1&assembly=complete
PA0149,0.0613666,PA0149,,ECF subfamily sigma-70 factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0149&e1=1&assembly=complete
PA4372,0.060355252000000005,PA4372,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4372&e1=1&assembly=complete
PA2466,0.059402074000000006,foxA,,ferrioxamine receptor FoxA,Inorganic ion transport and metabolism,"FoxR,Fur",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2466&e1=1&assembly=complete
PA4090,0.056219396000000005,PA4090,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4090&e1=1&assembly=complete
PA4373,0.056161523000000005,PA4373,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4373&e1=1&assembly=complete
PA1364,0.054539651,PA1364,,transmembrane sensor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1364&e1=1&assembly=complete
PA2398,0.053288376000000005,fpvA,,ferripyoverdine receptor,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2398&e1=1&assembly=complete
PA5216,0.052193554,PA5216,,iron ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5216&e1=1&assembly=complete
PA1912,0.049293203,femI,,ECF sigma factor FemI,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1912&e1=1&assembly=complete
PA1911,0.047572841000000005,femR,,sigma factor regulator FemR,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1911&e1=1&assembly=complete
PA1365,0.046735530000000004,PA1365,,siderophore receptor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1365&e1=1&assembly=complete
PA2020,-0.055978427000000004,mexZ,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2020&e1=1&assembly=complete
PA3532,-0.065722396,PA3532,,hypothetical protein,Carbohydrate transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3532&e1=1&assembly=complete
PA3531,-0.151352643,bfrB,,bacterioferritin,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3531&e1=1&assembly=complete
