locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Fur,CzcR,link
PA1797,0.111568385,PA1797,,hypothetical protein,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1797&e1=1&assembly=complete
PA4818,0.107121828,PA4818,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4818&e1=1&assembly=complete
PA3690,0.105424794,PA3690,,metal-transporting P-type ATPase,Inorganic ion transport and metabolism,CadR-PbrR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3690&e1=1&assembly=complete
PA2358,0.10541918500000001,PA2358,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2358&e1=1&assembly=complete
PA4820,0.104157236,PA4820,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4820&e1=1&assembly=complete
PA2807,0.103222226,PA2807,,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2807&e1=1&assembly=complete
PA1331,0.09996207400000001,PA1331,,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1331&e1=1&assembly=complete
PA4378,0.09032211700000001,inaA,,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4378&e1=1&assembly=complete
PA4517,0.083562776,PA4517,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4517&e1=1&assembly=complete
PA5528,0.079778657,PA5528,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5528&e1=1&assembly=complete
PA4379,0.078425533,PA4379,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4379&e1=1&assembly=complete
PA2658,0.077921735,PA2658,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2658&e1=1&assembly=complete
PA3411,0.07725656,PA3411,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3411&e1=1&assembly=complete
PA2505,0.077122732,opdT,,tyrosine porin OpdT,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2505&e1=1&assembly=complete
PA0327,0.07638181200000001,PA0327,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0327&e1=1&assembly=complete
PA3712,0.075859718,PA3712,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3712&e1=1&assembly=complete
PA0187,0.07527119800000001,PA0187,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0187&e1=1&assembly=complete
PA4714,0.073338763,PA4714,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4714&e1=1&assembly=complete
PA2657,0.073174589,PA2657,,two-component response regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2657&e1=1&assembly=complete
PA2655,0.072746316,PA2655,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2655&e1=1&assembly=complete
PA5217,0.07121332,PA5217,,iron ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5217&e1=1&assembly=complete
PA3885,0.070527167,tpbA,,protein tyrosine phosphatase TpbA,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3885&e1=1&assembly=complete
PA0103,0.069849478,PA0103,,sulfate transporter,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0103&e1=1&assembly=complete
PA2830,0.069318433,htpX,,protease HtpX,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2830&e1=1&assembly=complete
PA2019,0.067030988,PA2019,,multidrug efflux lipoprotein,Cell wall/membrane/envelope biogenesis,MexZ,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2019&e1=1&assembly=complete
PA2659,0.066201811,PA2659,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2659&e1=1&assembly=complete
PA3603,0.065023356,dgkA,,diacylglycerol kinase,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3603&e1=1&assembly=complete
PA2018,0.06448714500000001,PA2018,,multidrug efflux protein,"Intracellular trafficking, secretion, and vesicular transport",MexZ,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2018&e1=1&assembly=complete
PA0188,0.06050165800000001,PA0188,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0188&e1=1&assembly=complete
PA1027,0.059570892,PA1027,,aldehyde dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1027&e1=1&assembly=complete
PA2656,0.058666845,PA2656,,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2656&e1=1&assembly=complete
PA2020,0.05716596,mexZ,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2020&e1=1&assembly=complete
PA0102,0.054918415000000005,PA0102,,carbonic anhydrase,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0102&e1=1&assembly=complete
PA1026,0.053281913,PA1026,,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1026&e1=1&assembly=complete
PA2345,0.052540246000000006,PA2345,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2345&e1=1&assembly=complete
PA0397,0.050825803,PA0397,,cation efflux system protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0397&e1=1&assembly=complete
PA2604,0.050318787000000004,PA2604,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2604&e1=1&assembly=complete
PA4382,0.049628247,PA4382,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4382&e1=1&assembly=complete
PA1435,0.048795013000000005,PA1435,,resistance-nodulation-cell division (RND) efflux membrane fusion protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1435&e1=1&assembly=complete
PA4211,0.048583555,phzB1,,phenazine biosynthesis protein,Function unknown,"PqsR,RhlR,QscR",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4211&e1=1&assembly=complete
PA1317,-0.049188477,cyoA,,cytochrome o ubiquinol oxidase subunit II,Energy production and conversion,Fur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1317&e1=1&assembly=complete
PA1319,-0.05621956400000001,cyoC,,cytochrome o ubiquinol oxidase subunit III,Energy production and conversion,Fur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1319&e1=1&assembly=complete
PA1321,-0.058204585,cyoE,,protoheme IX farnesyltransferase,"Post-translational modification, protein turnover,and chaperones",Fur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1321&e1=1&assembly=complete
PA1180,-0.059265572,phoQ,,two-component sensor PhoQ,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1180&e1=1&assembly=complete
PA2312a,-0.060249149,PA2312a,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2312a&e1=1&assembly=complete
PA1318,-0.060583031,cyoB,,cytochrome o ubiquinol oxidase subunit I,Energy production and conversion,Fur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1318&e1=1&assembly=complete
PA0036,-0.061213404000000006,trpB,,tryptophan synthase subunit beta,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0036&e1=1&assembly=complete
PA1179,-0.062835798,phoP,,two-component response regulator PhoP,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1179&e1=1&assembly=complete
PA1343,-0.06582265200000001,PA1343,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1343&e1=1&assembly=complete
PA1320,-0.07858002800000001,cyoD,,cytochrome o ubiquinol oxidase subunit IV,Energy production and conversion,Fur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1320&e1=1&assembly=complete
PA1178,-0.09735009300000001,oprH,,PhoP/Q and low Mg2+ inducible outer membrane protein H1,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1178&e1=1&assembly=complete
