locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Fnr,link
b3410,0.0838186816,feoC,ferrous iron transport protein FeoC,Transcription,feoABC,"RpoD,Fnr,NagC,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12933
b1257,0.08070174840000001,yciE,DUF892 domain-containing protein YciE,Function unknown,yciGFE,"RpoD,RpoS,McbR,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11125
b4154,0.0767380121,frdA,fumarate reductase flavoprotein subunit,Energy production and conversion,frdABCD,"RpoD,ryhB,RpoS,Fnr,NarL,DcuR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10330
b1751,0.0763097677,ydjY,4Fe-4S ferredoxin-type domain-containing protein YdjY,No COG annotation,ydjXYZ-ynjABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6946
b1753,0.0755838788,ynjA,AhpD-like domain-containing protein YnjA,Function unknown,ydjXYZ-ynjABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6948
b1754,0.0753849501,ynjB,putative ABC transporter periplasmic binding protein YnjB,Function unknown,ydjXYZ-ynjABCD,"YdcN,YidZ,YcaN",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6949
b4122,0.07470153310000001,fumB,fumarase B,Energy production and conversion,dcuB-fumB,"RpoD,Fis,Crp,ArcA,Fur,Fnr,NarL,DcuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10357
b0903,0.0742140904,pflB,pyruvate formate-lyase,Energy production and conversion,focA-pflB,"RpoD,YeiE,Fis,Crp,ArcA,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10701
b4238,0.0731698025,nrdD,anaerobic ribonucleoside-triphosphate reductase,Nucleotide transport and metabolism,nrdDG,"RpoD,NrdR,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11417
b4334,0.0728730191,yjiL,putative ATPase%2C activator of (R)-hydroxyglutaryl-CoA dehdratase,Lipid transport and metabolism,yjiML,"YidZ,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7931
b3479,0.071691873,nikD,Ni(2(+)) ABC transporter ATP binding subunit NikD,Inorganic ion transport and metabolism,nikABCDER,"RpoN,NarL,NikR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12078
b2727,0.0678143258,hypB,hydrogenase isoenzymes nickel incorporation protein HypB,Transcription,hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10484
b1258,0.0663636584,yciF,DUF892 domain-containing protein YciF,Function unknown,yciGFE,"RpoS,McbR,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11126
b1256,0.0658388559,ompW,outer membrane protein W,Cell wall/membrane/envelope biogenesis,ompW,"rybB,Crp,ArcA,NarL,Fnr,SoxS,Fur,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
b1127,0.06504776870000001,pepT,peptidase T,Amino acid transport and metabolism,pepT,"Fnr,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11549
b3367,0.0586056739,nirC,nitrite transporter NirC,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10654
b4715,0.0581543173,ytiA,uncharacterized protein YtiA,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16640
b1797,-0.061661008100000005,yeaR,DUF1971 domain-containing protein YeaR,Inorganic ion transport and metabolism,yeaR-yoaG,"RpoD,NarP,NsrR,NarL,Fis",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6983
b3408,-0.08913049540000001,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b3476,-0.1091699295,nikA,Ni(2(+)) ABC transporter periplasmic binding protein,Amino acid transport and metabolism,nikABCDER,"RpoN,NarL,NikR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12075
