locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,XisF4,CueR,link
PA0336,0.05740761900000001,ygdP,,RNA pyrophosphohydrolase,"Replication, recombination and repair",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0336&e1=1&assembly=complete
PA3413,0.057219324,PA3413,,hypothetical protein,Function unknown,"LexA,LexA",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3413&e1=1&assembly=complete
PA1677,0.057207813,PA1677,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1677&e1=1&assembly=complete
PA5276,0.056855056,lppL,,lipopeptide LppL,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5276&e1=1&assembly=complete
PA3385,0.056736699,amrZ,,alginate and motility regulator Z,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3385&e1=1&assembly=complete
PA4452,0.05538395300000001,PA4452,,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4452&e1=1&assembly=complete
PA0665,0.055310284,PA0665,,iron-sulfur cluster insertion protein ErpA,Energy production and conversion,IscR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0665&e1=1&assembly=complete
PA4542,0.055222047,clpB,,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4542&e1=1&assembly=complete
PA2974,0.0548467,PA2974,,hydrolase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2974&e1=1&assembly=complete
PA4421,0.054006509,PA4421,,cell division protein MraZ,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4421&e1=1&assembly=complete
PA4944,0.054003429000000006,hfq,,RNA-binding protein Hfq,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4944&e1=1&assembly=complete
PA2637,0.053314106,nuoA,,NADH-quinone oxidoreductase subunit A,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2637&e1=1&assembly=complete
PA1777,0.053305898000000004,oprF,,outer membrane porin F,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1777&e1=1&assembly=complete
PA5044,0.053118067000000005,pilM,,type 4 fimbrial biogenesis protein PilM,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5044&e1=1&assembly=complete
PA4258,0.052659315000000005,rplV,,50S ribosomal protein L22,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4258&e1=1&assembly=complete
PA4922,0.052556911000000005,azu,,azurin,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4922&e1=1&assembly=complete
PA2743,0.052319822,infC,,translation initiation factor IF-3,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2743&e1=1&assembly=complete
PA1095,0.052001553000000006,PA1095,,B-type flagellar protein FliS,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1095&e1=1&assembly=complete
PA0905,0.051850794000000006,rsmA,,carbon storage regulator,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0905&e1=1&assembly=complete
PA2562,0.051381003,PA2562,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2562&e1=1&assembly=complete
PA5446,0.051109258000000005,PA5446,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5446&e1=1&assembly=complete
PA3732,0.051105884000000004,PA3732,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3732&e1=1&assembly=complete
PA4945,0.049533176000000005,miaA,,tRNA delta(2)-isopentenylpyrophosphate transferase,Nucleotide transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4945&e1=1&assembly=complete
PA2623,0.047804543000000005,icd,,isocitrate dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2623&e1=1&assembly=complete
PA5531,0.047557908,tonB1,,transporter TonB,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5531&e1=1&assembly=complete
PA5243,0.047498515000000005,hemB,,delta-aminolevulinic acid dehydratase,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5243&e1=1&assembly=complete
PA3349,0.046981851000000005,PA3349,,chemotaxis protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3349&e1=1&assembly=complete
PA3141,0.046694416,wbpM,,nucleotide sugar epimerase/dehydratase WbpM,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3141&e1=1&assembly=complete
PA3662,0.046567771,PA3662,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3662&e1=1&assembly=complete
PA3031,0.046536869,PA3031,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3031&e1=1&assembly=complete
PA2620,0.046530825000000005,clpA,,ATP-binding protease component ClpA,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2620&e1=1&assembly=complete
PA3352,0.045708757,PA3352,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3352&e1=1&assembly=complete
PA5042,0.045234073,pilO,,type 4 fimbrial biogenesis protein PilO,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5042&e1=1&assembly=complete
PA5275,0.044643923,PA5275,,frataxin-like protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5275&e1=1&assembly=complete
PA4568,0.044333948000000005,rplU,,50S ribosomal protein L21,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4568&e1=1&assembly=complete
PA2248,0.043497093,bkdA2,,2-oxoisovalerate dehydrogenase subunit beta,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2248&e1=1&assembly=complete
PA2631,0.043273123000000004,PA2631,,acetyltransferase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2631&e1=1&assembly=complete
PA4386,0.042808265000000005,groES,,co-chaperonin GroES,"Post-translational modification, protein turnover,and chaperones",RpoH,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4386&e1=1&assembly=complete
PA1802,0.042623661,clpX,,ATP-dependent protease ATP-binding subunit ClpX,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1802&e1=1&assembly=complete
PA1832,0.042480603000000006,PA1832,,protease,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1832&e1=1&assembly=complete
PA1283,0.042429442000000005,PA1283,,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1283&e1=1&assembly=complete
PA1000,0.042268267000000005,pqsE,,thioesterase PqsE,Function unknown,MvfR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1000&e1=1&assembly=complete
PA1746,0.041914765,PA1746,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1746&e1=1&assembly=complete
PA0724,-0.055098159,PA0724,,phage coat protein A,No COG annotation,XisF4,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0724&e1=1&assembly=complete
PA0726,-0.058466646000000004,PA0726,,hypothetical protein,Function unknown,XisF4,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0726&e1=1&assembly=complete
PA0723,-0.060131852000000006,coaB,,phage coat protein B,No COG annotation,XisF4,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0723&e1=1&assembly=complete
PA0725,-0.068169271,PA0725,,hypothetical protein,Function unknown,XisF4,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0725&e1=1&assembly=complete
