,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b0020,nhaR,,18715,19620,+,DNA-binding transcriptional activator NhaR,Transcription,P0A9G2,"RpoD,RpoS,H-NS,NhaR,CsrA,YdeO",nhaAR,906.0
b0021,insB-1,,19811,20314,-,IS1 protein InsB,"Replication, recombination and repair",A0A385XJL4,,insAB-1A-1B-1,504.0
b0022,insA-1,,20233,20508,-,IS1 protein InsA,"Replication, recombination and repair",A0A385XJ53,ppGpp,insAB-1A-1B-1,276.0
b0023,rpsT,,20815,21078,-,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis",P0A7U7,"ppGpp,DksA",rpsT,264.0
b0024,yaaY,,21181,21399,+,DUF2575 domain-containing protein YaaY,Function unknown,P75620,,,
b0025,ribF,,21407,22348,+,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,P0AG40,RpoD,ribF-ileS-lspA-fkpB-ispH,942.0
b0026,ileS,,22391,25207,+,isoleucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P00956,"RpoD,RpoH",ribF-ileS-lspA-fkpB-ispH,2817.0
b0027,lspA,,25207,25701,+,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,P00804,"RpoD,RpoH",ribF-ileS-lspA-fkpB-ispH,495.0
b0028,fkpB,,25826,26275,+,peptidyl-prolyl cis-trans isomerase FkpB,"Post-translational modification, protein turnover,and chaperones",P0AEM0,"RpoD,RpoH",ribF-ileS-lspA-fkpB-ispH,450.0
b0029,ispH,,26277,27227,+,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,Lipid transport and metabolism,P62623,"RpoD,RpoH",ribF-ileS-lspA-fkpB-ispH,951.0
b0030,rihC,,27293,28207,+,ribonucleoside hydrolase RihC,Nucleotide transport and metabolism,P22564,,rihC,915.0
b0031,dapB,,28374,29195,+,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,P04036,"RpoD,ArgP,Nac",dapB,822.0
b0032,carA,,29651,30799,+,carbamoyl phosphate synthetase subunit alpha,Nucleotide transport and metabolism,P0A6F1,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",carAB,1149.0
b0033,carB,,30817,34038,+,carbamoyl phosphate synthetase subunit beta,Nucleotide transport and metabolism,P00968,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",carAB,3222.0
b0034,caiF,,34300,34695,+,DNA-binding transcriptional activator CaiF,Transcription,P0AE58,"RpoD,YdcN,Crp,H-NS,Fnr,NarL,Nac",caiF,396.0
b0035,caiE,,34781,35371,-,putative transferase CaiE,Function unknown,P39206,"RpoD,Crp,H-NS,Fnr,ArcA,CaiF",,
b0036,caiD,,35377,36162,-,crotonobetainyl-CoA hydratase,Lipid transport and metabolism,P31551,"RpoD,Crp,H-NS,Fnr,ArcA,CaiF",caiTABCDE,786.0
b0037,caiC,,36271,37824,-,carnitine-CoA ligase,Lipid transport and metabolism,P31552,"RpoD,YbiH,Crp,H-NS,Fnr,ArcA,CaiF",caiTABCDE,1554.0
b0038,caiB,,37898,39115,-,gamma-butyrobetainyl-CoA:carnitine CoA transferase,Energy production and conversion,P31572,"RpoD,Crp,H-NS,Fnr,ArcA,CaiF",caiTABCDE,1218.0
b0039,caiA,,39244,40386,-,crotonobetainyl-CoA reductase,Lipid transport and metabolism,P60584,"RpoD,YfeC,Crp,H-NS,Fnr,ArcA,CaiF,spf",caiTABCDE,1143.0
b0040,caiT,,40417,41931,-,L-carnitine:gamma-butyrobetaine antiporter,Cell wall/membrane/envelope biogenesis,P31553,"RpoD,Crp,H-NS,Fnr,ArcA,CaiF",caiTABCDE,1515.0
b0041,fixA,,42403,43173,+,putative electron transfer flavoprotein FixA,Energy production and conversion,P60566,"RpoD,Fnr,Crp,CaiF",fixABCX,771.0
b0042,fixB,,43188,44129,+,putative electron transfer flavoprotein FixB,Energy production and conversion,P31574,"RpoD,YbaQ,Fnr,Crp,CaiF",fixABCX,942.0
b0043,fixC,,44180,45466,+,putative oxidoreductase FixC,Energy production and conversion,P68644,"RpoD,Fnr,Crp,CaiF",fixABCX,1287.0
b0045,yaaU,,45807,47138,+,putative transporter YaaU,Inorganic ion transport and metabolism,P31679,"RpoN,ArgR",yaaU,1332.0
b0046,kefF,,47246,47776,+,regulator of KefC-mediated potassium transport and quinone oxidoreductase,Energy production and conversion,P0A754,,kefFC,531.0
b0047,kefC,,47769,49631,+,K(+) : H(+) antiporter KefC,Inorganic ion transport and metabolism,P03819,YfeD,kefFC,1863.0
b0048,folA,,49823,50302,+,dihydrofolate reductase,Coenzyme transport and metabolism,P0ABQ4,"RpoD,IHF,TyrR,ppGpp",folA,480.0
b0049,apaH,,50380,51222,-,diadenosine tetraphosphatase,Signal transduction mechanisms,P05637,"RpoE,Fis",lptD-surA-pdxA-rsmA-apaGH,843.0
b0050,apaG,,51229,51606,-,DUF525 domain-containing protein ApaG,Inorganic ion transport and metabolism,P62672,"RpoE,Fis",lptD-surA-pdxA-rsmA-apaGH,378.0
b0051,rsmA,,51609,52430,-,16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase,"Translation, ribosomal structure and biogenesis",P06992,"RpoE,Fis",lptD-surA-pdxA-rsmA-apaGH,822.0
b0052,pdxA,,52427,53416,-,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,P19624,"RpoE,Fis,GlaR",lptD-surA-pdxA-rsmA-apaGH,990.0
b0053,surA,,53416,54702,-,peptidyl-prolyl cis-trans isomerase SurA,"Post-translational modification, protein turnover,and chaperones",P0ABZ6,RpoE,lptD-surA-pdxA-rsmA-apaGH,1287.0
b0054,lptD,,54755,57109,-,lipopolysaccharide assembly protein LptD,Cell wall/membrane/envelope biogenesis,P31554,"RpoD,YcjW,RpoE",lptD-surA-pdxA-rsmA-apaGH,2355.0
b0055,djlA,,57364,58179,+,co-chaperone protein DjlA,"Post-translational modification, protein turnover,and chaperones",P31680,,djlA,816.0
b0056,yabP,,58474,59124,+,putative uncharacterized protein YabP,Function unknown,UPI000013A00F,,,
b0057,yabQ,,59121,59279,+,protein YabQ,No COG annotation,UPI000013A010,Lrp,,
b0058,rluA,,59687,60346,-,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,"Translation, ribosomal structure and biogenesis",P0AA37,"RpoD,ppGpp",rapA-rluA,660.0
b0059,rapA,,60358,63264,-,RNA polymerase-binding ATPase and RNAP recycling factor,Transcription,P60240,"RpoD,RpoH,ppGpp",rapA-rluA,2907.0
b0060,polB,,63429,65780,-,DNA polymerase II,"Replication, recombination and repair",P21189,"RpoD,LexA",polB,2352.0
b0061,araD,,65855,66550,-,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,P08203,"RpoD,Crp,AraC",araBAD,696.0
b0062,araA,,66835,68337,-,L-arabinose isomerase,Carbohydrate transport and metabolism,P08202,"RpoD,Crp,AraC",araBAD,1503.0
b0063,araB,,68348,70048,-,ribulokinase,Nucleotide transport and metabolism,P08204,"RpoD,Crp,AraC",araBAD,1701.0
b0064,araC,,70387,71265,+,DNA-binding transcriptional dual regulator AraC,Transcription,P0A9E0,"RpoD,XylR,Crp,AraC",araC,879.0
b0065,yabI,,71351,72115,+,DedA family protein YabI,Function unknown,P30149,"YeiE,RpoS,ppGpp",yabI,765.0
b0066,thiQ,,72229,72927,-,thiamine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P31548,"RpoD,ppGpp,SgrR,DksA",sgrR-sroA-tbpA-thiPQ,699.0
b0067,thiP,,72911,74521,-,thiamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P31549,"RpoD,YcjW,ppGpp,SgrR,DksA",sgrR-sroA-tbpA-thiPQ,1611.0
b0068,thiB,,74497,75480,-,thiamine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P31550,"RpoD,SgrR,ppGpp,DksA",sgrR-sroA-tbpA-thiPQ,984.0
b0069,sgrR,,75644,77299,-,DNA-binding transcriptional dual regulator SgrR,Transcription,P33595,"RpoD,SgrR,ppGpp,DksA",sgrR-sroA-tbpA-thiPQ,1656.0
b4662,sgrT,,77388,77519,+,putative inhibitor of the PtsG glucose transporter,Energy production and conversion,C1P5Z7,"RpoD,RpoS,Cra,SgrR,ppGpp,DksA",sgrST-setA,132.0
b0070,setA,,77621,78799,+,sugar exporter SetA,Inorganic ion transport and metabolism,P31675,"RpoD,RpoS,Cra,SgrR,ppGpp,DksA",sgrST-setA,1179.0
b0071,leuD,,78848,79453,-,3-isopropylmalate dehydratase subunit LeuD,Amino acid transport and metabolism,P30126,"RpoD,LeuO,Leu-tRNA,ppGpp",leuLABCD,606.0
b0072,leuC,,79464,80864,-,3-isopropylmalate dehydratase subunit LeuC,Amino acid transport and metabolism,P0A6A6,"RpoD,YeiE,LeuO,Leu-tRNA,ppGpp",leuLABCD,1401.0
b0073,leuB,,80867,81958,-,3-isopropylmalate dehydrogenase,Energy production and conversion,P30125,"RpoD,LeuO,Leu-tRNA,ppGpp",leuLABCD,1092.0
b0074,leuA,,81958,83529,-,2-isopropylmalate synthase,Amino acid transport and metabolism,P09151,"RpoD,LeuO,Leu-tRNA,Lrp,ppGpp",leuLABCD,1572.0
b0076,leuO,,84368,85312,+,DNA-binding transcriptional dual regulator LeuO,Transcription,P10151,"RpoD,StpA,LeuO,LrhA,RcsB-BglJ,SlyA,H-NS,Lrp,Nac,ppGpp",leuO,945.0
b0077,ilvI,,85630,87354,+,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,P00893,"RpoD,YeiE,dsrA,H-NS,ppGpp,Lrp",ilvIH,1725.0
b0078,ilvH,,87357,87848,+,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,P00894,"RpoD,H-NS,ppGpp,Lrp",ilvIH,492.0
b0080,cra,,88028,89032,+,DNA-binding transcriptional dual regulator Cra,Transcription,P0ACP1,"PhoB,RpoH",cra,1005.0
b0081,mraZ,,89634,90092,+,DNA-binding transcriptional repressor MraZ,Transcription,P22186,"RpoD,YdcN,YqhC,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,459.0
b0082,rsmH,,90094,91035,+,16S rRNA m(4)C1402 methyltransferase,"Translation, ribosomal structure and biogenesis",P60390,"RpoD,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,942.0
b0083,ftsL,,91032,91397,+,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",P0AEN4,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,366.0
b0084,ftsI,,91413,93179,+,peptidoglycan DD-transpeptidase FtsI,Cell wall/membrane/envelope biogenesis,P0AD68,"RpoD,YbaQ,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1767.0
b0085,murE,,93166,94653,+,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,Cell wall/membrane/envelope biogenesis,P22188,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1488.0
b0086,murF,,94650,96008,+,D-alanyl-D-alanine-adding enzyme,Cell wall/membrane/envelope biogenesis,P11880,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1359.0
b0087,mraY,,96002,97084,+,phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,P0A6W3,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1083.0
b0088,murD,,97087,98403,+,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Cell wall/membrane/envelope biogenesis,P14900,"RpoD,YidZ,LexA,MraZ,PdhR,GlaR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1317.0
b0089,ftsW,,98403,99647,+,putative lipid II flippase FtsW,"Cell cycle control, cell division, chromosome partitioning",P0ABG4,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1245.0
b0090,murG,,99644,100711,+,N-acetylglucosaminyl transferase,Cell wall/membrane/envelope biogenesis,P17443,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1068.0
b0091,murC,,100765,102240,+,UDP-N-acetylmuramate--L-alanine ligase,Cell wall/membrane/envelope biogenesis,P17952,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1476.0
b0092,ddlB,,102233,103153,+,D-alanine--D-alanine ligase B,Nucleotide transport and metabolism,P07862,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,921.0
b0093,ftsQ,,103155,103985,+,cell division protein FtsQ,"Cell cycle control, cell division, chromosome partitioning",P06136,"RpoD,RpoS,LexA,MraZ,PdhR,SdiA,Lrp,ppGpp",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,831.0
b0094,ftsA,,103982,105244,+,cell division protein FtsA,"Cell cycle control, cell division, chromosome partitioning",P0ABH0,"RpoD,RpoS,LexA,MraZ,PdhR,RcsB,SdiA,ppGpp",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1263.0
b0095,ftsZ,,105305,106456,+,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning",P0A9A6,"RpoD,dicF,RpoS,LexA,MraZ,PdhR,RcsB,SdiA,ArgR,ppGpp",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1152.0
b0096,lpxC,,106557,107474,+,UDP-3-O-acyl-N-acetylglucosamine deacetylase,Cell wall/membrane/envelope biogenesis,P0A725,"RpoD,LexA,MraZ,PdhR",mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,918.0
b0097,secM,,107705,108217,+,SecA translation regulator,Function unknown,P62395,,secMA-mutT,513.0
b0098,secA,,108279,110984,+,protein translocation ATPase,"Intracellular trafficking, secretion, and vesicular transport",P10408,,secMA-mutT,2706.0
b0099,mutT,,111044,111433,+,8-oxo-dGTP diphosphatase,"Replication, recombination and repair",P08337,,secMA-mutT,390.0
b0101,yacG,,111649,111846,-,DNA gyrase inhibitor YacG,Function unknown,P0A8H8,,coaE-zapD-yacG,198.0
b0102,zapD,,111856,112599,-,cell division factor ZapD,"Cell cycle control, cell division, chromosome partitioning",P36680,,coaE-zapD-yacG,744.0
b0103,coaE,,112599,113219,-,dephospho-CoA kinase,Nucleotide transport and metabolism,P0A6I9,"YqhC,YneJ",coaE-zapD-yacG,621.0
b0104,guaC,,113444,114487,+,GMP reductase,Nucleotide transport and metabolism,P60560,YiaU,guaC,1044.0
b0106,hofC,,114522,115724,-,inner membrane protein HofC,"Intracellular trafficking, secretion, and vesicular transport",P36646,"RpoD,Crp,Nac",ppdD-hofBC,1203.0
b0107,hofB,,115714,117099,-,T2SSE family protein,Cell motility,P36645,"RpoD,YdcN,Crp",ppdD-hofBC,1386.0
b0108,ppdD,,117109,117549,-,prepilin peptidase-dependent protein,Cell motility,P36647,"RpoD,Crp",,
b0109,nadC,,117752,118645,-,quinolinate phosphoribosyltransferase (decarboxylating),Nucleotide transport and metabolism,P30011,"Crp,Nac",nadC,894.0
b0110,ampD,,118733,119284,+,1%2C6-anhydro-N-acetylmuramoyl-L-alanine amidase,Defense mechanisms,P13016,"YfeD,Crp,ppGpp,Nac",ampDE,552.0
b0111,ampE,,119281,120135,+,protein AmpE,Defense mechanisms,P0AE14,Crp,ampDE,855.0
b0112,aroP,,120178,121551,-,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",P15993,"RpoD,Cra,TyrR,ArgR,Fnr,GlaR",aroP,1374.0
b0113,pdhR,,122092,122856,+,DNA-binding transcriptional dual regulator PdhR,Transcription,P0ACL9,"RpoD,RpoS,Fnr,Cra,Crp,PdhR,GlaR,OmpR,BtsR",pdhR-aceEF-lpd,765.0
b0114,aceE,,123017,125680,+,pyruvate dehydrogenase E1 component,Nucleotide transport and metabolism,P0AFG8,"RpoD,RpoS,Fnr,NsrR,ArcA,Cra,Crp,PdhR,BtsR",pdhR-aceEF-lpd,2664.0
b0115,aceF,,125695,127587,+,pyruvate dehydrogenase%2C E2 subunit,Nucleotide transport and metabolism,P06959,"RpoD,RpoS,Fnr,NsrR,ArcA,Cra,Crp,PdhR,BtsR",pdhR-aceEF-lpd,1893.0
b0116,lpd,,127912,129336,+,lipoamide dehydrogenase,Nucleotide transport and metabolism,P0A9P0,"RpoD,RpoS,Fur,Crp,Fnr,Cra,ArcA,PdhR,Fis,BtsR",pdhR-aceEF-lpd,1425.0
b0117,yacH,,129407,131260,-,DUF3300 domain-containing protein YacH,Cell wall/membrane/envelope biogenesis,P36682,,yacH,1854.0
b0118,acnB,,131615,134212,+,hypothetical protein,Energy production and conversion,P36683,"RpoD,ryhB,Fis,ArcA,Cra,Crp,AcnB",acnB,2598.0
b0119,yacL,,134388,134750,+,UPF0231 family protein YacL,Function unknown,P0A8E5,"Lrp,cyaR",yacL,363.0
b0120,speD,,134788,135582,-,S-adenosylmethionine decarboxylase proenzyme,Nucleotide transport and metabolism,P0A7F6,RpoD,yacC-speED,795.0
b0121,speE,,135598,136464,-,spermidine synthase,Amino acid transport and metabolism,P09158,RpoD,yacC-speED,867.0
b0122,yacC,,136570,136917,-,putative lipoprotein YacC,Function unknown,P0AA95,RpoD,yacC-speED,348.0
b0123,cueO,,137083,138633,+,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism",P36649,"ryhB,CueR",cueO,1551.0
b0124,gcd,,138835,141225,-,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,P15877,"RpoD,Crp,IHF",gcd,2391.0
b0125,hpt,,141431,141967,+,hypoxanthine phosphoribosyltransferase,Nucleotide transport and metabolism,P0A9M2,"RpoD,Crp,IHF",hpt,537.0
b0126,can,,142008,142670,-,carbonic anhydrase 2,Inorganic ion transport and metabolism,P61517,"RpoD,RpoH,Lrp",can,663.0
b0127,yadG,,142779,143705,+,putative ABC transporter ATP-binding protein YadG,Defense mechanisms,P36879,,yadGH,927.0
b0128,yadH,,143702,144472,+,putative ABC transporter membrane subunit YadH,Defense mechanisms,P0AFN6,,yadGH,771.0
b0129,yadI,,144577,145017,+,putative PTS enzyme IIA component YadI,Carbohydrate transport and metabolism,P36881,,yadI,441.0
b0130,yadE,,145081,146310,+,putative polysaccharide deacetylase lipoprotein,Carbohydrate transport and metabolism,P31666,,yadE,1230.0
b0131,panD,,146314,146694,-,aspartate 1-decarboxylase proenzyme,Coenzyme transport and metabolism,P0A790,"RpoD,YfeC,gcvB",panD,381.0
b0132,rpnC,,146968,147870,+,recombination-promoting nuclease RpnC,"Replication, recombination and repair",P31665,,rpnC,903.0
b0133,panC,,147944,148795,-,pantothenate synthetase,Coenzyme transport and metabolism,P31663,RpoD,panBC,852.0
b0134,panB,,148807,149601,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,P31057,"RpoD,YidZ",panBC,795.0
b0135,yadC,,149715,150953,-,fimbrial tip-adhesin YadC,Cell motility,P31058,Nac,yadMLKC,1239.0
b0136,yadK,,151003,151599,-,putative fimbrial protein YadK,Cell motility,P37016,ppGpp,,
b0137,yadL,,151626,152231,-,putative fimbrial protein YadL,Cell motility,P37017,YddM,yadMLKC,606.0
b0138,yadM,,152243,152812,-,putative fimbrial protein YadM,Cell motility,P37018,Nac,,
b0139,htrE,,152829,155426,-,putative fimbrial usher protein HtrE,Cell wall/membrane/envelope biogenesis,P33129,"RpoD,RpoS,IHF,Lrp,Nac,GlaR",yadV-htrE,2598.0
b0140,yadV,,155461,156201,-,putative fimbrial chaperone YadV,Cell wall/membrane/envelope biogenesis,P33128,"RpoD,RpoS,IHF,ppGpp",,
b0141,yadN,,156299,156883,-,putative fimbrial protein YadN,Cell motility,P37050,GlaR,,
b0142,folK,,157253,157732,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,P26281,"RpoD,RpoS,DksA,ppGpp",pcnB-folK,480.0
b0143,pcnB,,157729,159126,-,poly(A) polymerase I,Nucleotide transport and metabolism,P0ABF1,"RpoD,RpoS,ppGpp,DksA",pcnB-folK,1398.0
b0144,gluQ,,159186,160112,-,glutamyl-Q tRNA(Asp) synthetase,"Translation, ribosomal structure and biogenesis",P27305,"RpoD,ppGpp,DksA",sfsA-dksA-gluQ,927.0
b0145,dksA,,160149,160604,-,RNA polymerase-binding transcription factor DksA,Signal transduction mechanisms,P0ABS1,"RpoD,Crp,DksA,ppGpp",sfsA-dksA-gluQ,456.0
b0146,sfsA,,160782,161486,-,putative DNA-binding transcriptional regulator of maltose metabolism,Transcription,P0A823,"RpoD,Crp",sfsA-dksA-gluQ,705.0
b0147,thpR,,161501,162031,-,RNA 2'%2C3'-cyclic phosphodiesterase,"Translation, ribosomal structure and biogenesis",P37025,,thpR,531.0
b0148,hrpB,,162105,164534,+,putative ATP-dependent RNA helicase HrpB,"Replication, recombination and repair",P37024,,hrpB,2430.0
b0149,mrcB,,164730,167264,+,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,Cell wall/membrane/envelope biogenesis,P02919,,mrcB,2535.0
b0150,fhuA,,167484,169727,+,ferrichrome outer membrane transporter/phage receptor,Inorganic ion transport and metabolism,P06971,"RpoD,Fur",fhuACDB,2244.0
b0151,fhuC,,169778,170575,+,iron(III) hydroxamate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P07821,"RpoD,Fur",fhuACDB,798.0
b0152,fhuD,,170575,171465,+,iron(III) hydroxamate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P07822,"RpoD,Fur",fhuACDB,891.0
b0153,fhuB,,171462,173444,+,iron(III) hydroxamate ABC transporter membrane subunit,Inorganic ion transport and metabolism,P06972,"RpoD,Fur",fhuACDB,1983.0
b0154,hemL,,173602,174882,-,glutamate-1-semialdehyde aminotransferase,Coenzyme transport and metabolism,P23893,"PdhR,FliA,PhoP",hemL,1281.0
b0155,clcA,,175107,176528,+,chloride:H(+) antiporter ClcA,Inorganic ion transport and metabolism,P37019,,clcA,1422.0
b0156,erpA,,176610,176954,+,iron-sulfur cluster insertion protein ErpA,Energy production and conversion,P0ACC3,"IscR,ryhB",erpA,345.0
b0157,yadS,,177001,177624,-,conserved inner membrane protein YadS,Function unknown,P0AFP0,"RpoD,RpoS,ppGpp",mtn-btuF-yadS,624.0
b0158,btuF,,177662,178462,-,vitamin B12 ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P37028,"RpoD,RpoS",mtn-btuF-yadS,801.0
b0159,mtn,,178455,179153,-,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Nucleotide transport and metabolism,P0AF12,"RpoD,RpoS",mtn-btuF-yadS,699.0
b0160,dgt,,179237,180754,+,dGTP triphosphohydrolase,Nucleotide transport and metabolism,P15723,ppGpp,dgt,1518.0
b0161,degP,,180884,182308,+,periplasmic serine endoprotease DegP,"Post-translational modification, protein turnover,and chaperones",P0C0V0,"RpoE,H-NS,CpxR",degP,1425.0
b0162,cdaR,,182463,183620,+,DNA-binding transcriptional activator CdaR,Transcription,P37047,"CdaR,Nac",cdaR,1158.0
b0163,yaeH,,183709,184095,-,DUF3461 domain-containing protein YaeH,Function unknown,P62768,ppGpp,yaeH,387.0
b0164,yaeI,,184257,185069,-,phosphodiesterase YaeI,Function unknown,P37049,ppGpp,yaeI,813.0
b0166,dapD,,185123,185947,-,tetrahydrodipicolinate succinylase,Amino acid transport and metabolism,P0A9D8,"RpoD,ArgP,MarA,Rob,SoxS",map-glnD-dapD,825.0
b0167,glnD,,185978,188650,-,PII uridylyltransferase/uridylyl removing enzyme,"Post-translational modification, protein turnover,and chaperones",P27249,"Fur,Fnr,MarA,Rob,SoxS",map-glnD-dapD,2673.0
b0168,map,,188712,189506,-,methionine aminopeptidase,Amino acid transport and metabolism,P0AE18,"MarA,Nac,Rob,SoxS",map-glnD-dapD,795.0
b0169,rpsB,,189874,190599,+,30S ribosomal subunit protein S2,"Translation, ribosomal structure and biogenesis",P0A7V0,"RpoD,RpsB,ppGpp",tff-rpsB-tsf,726.0
