locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CysB,link
b1287,0.1483631122,yciW,putative oxidoreductase,Function unknown,yciW,"RpoD,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6640
b2414,0.1329098912,cysK,O-acetylserine sulfhydrylase A,Amino acid transport and metabolism,cysK,"RpoD,ppGpp,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10192
b2421,0.10417821020000001,cysM,cysteine synthase B,Amino acid transport and metabolism,cysPUWAM,"RpoD,H-NS,CysB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10193
b2749,0.10343099480000001,ygbE,conserved inner membrane protein YgbE,Function unknown,ygbE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12707
b3917,0.10242993710000001,sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,sbp,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b1987,0.09428032430000001,cbl,DNA-binding transcriptional activator Cbl,Transcription,cbl,"RpoD,YdcR,NtrC,CysB,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b1920,0.09207231,tcyJ,cystine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,fliAZ-tcyJ,"RpoD,omrA,omrB,H-NS,FliA,CysB,IHF,NsrR,EcpR,SutR,CsgD,FlhDC,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7039
b0828,0.0854817724,iaaA,isoaspartyl dipeptidase proenzyme,Amino acid transport and metabolism,iaaA-gsiABCD,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12407
b4720,0.0826325368,ytiC,protein YtiC,No COG annotation,,"RpoD,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16686
b4721,0.08041968420000001,ytiD,protein YtiD,No COG annotation,,"RpoD,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16687
b0829,0.07860113810000001,gsiA,glutathione ABC transporter ATP binding subunit GsiA,Inorganic ion transport and metabolism,iaaA-gsiABCD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6429
b3661,0.0621657355,nlpA,lipoprotein-28,Cell wall/membrane/envelope biogenesis,nlpA,"ppGpp,CsgD,GlaR,gcvB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10657
b1917,0.0552956872,tcyN,cystine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,dcyD-tcyLN,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12347
b1919,0.054771789800000005,dcyD,D-cysteine desulfhydrase,Amino acid transport and metabolism,dcyD-tcyLN,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7038
b1918,0.0541500475,tcyL,cystine ABC transporter membrane subunit,Inorganic ion transport and metabolism,dcyD-tcyLN,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7037
b0830,0.0509667373,gsiB,glutathione ABC transporter periplasmic binding protein,Amino acid transport and metabolism,iaaA-gsiABCD,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6430
b4326,0.0457127015,iraD,anti-adaptor protein IraD%2C inhibitor of sigma(S) proteolysis,Function unknown,ytiCD-idlP-iraD,"RpoD,RpoS,Fnr,CsrA,Lrp,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7923
b2157,-0.048681969500000005,yeiE,putative LysR-type transcriptional regulator YeiE,Transcription,yeiE,"YeiE,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12105
