locus,gene_weight,gene_name,gene_product,cog,regulator,AlgU,link
PSPTO_1237,0.0592299687,algX,alginate biosynthesis protein AlgX,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_1739,0.0586666911,PSPTO_1739,GGDEF domain-containing protein,Signal transduction mechanisms,AlgU,True,
PSPTO_1202,0.0585584819,PSPTO_1202,DUF3509 domain-containing protein,Function unknown,,False,
PSPTO_RS19170,0.0583864881,PSPTO_RS19170,hypothetical protein,No COG annotation,,False,
PSPTO_1870,0.0580011088,PSPTO_1870,PAS domain-containing hybrid sensor histidine kinase/response regulator,Signal transduction mechanisms,,False,
PSPTO_RS01965,0.057952281200000004,PSPTO_RS01965,type IV secretion protein Rhs,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_5502,0.0578556515,PSPTO_5502,hypothetical protein,Function unknown,AlgU,True,
PSPTO_2659,0.0578553346,PSPTO_2659,flavin reductase family protein,Function unknown,AlgU,True,
PSPTO_2716,0.057850388600000004,PSPTO_2716,response regulator,Signal transduction mechanisms,,False,
PSPTO_0743,0.0577471577,PSPTO_0743,3-oxoacyl-ACP reductase,Lipid transport and metabolism,,False,
PSPTO_1507,0.057671551700000004,PSPTO_1507,DUF4398 domain-containing protein,Function unknown,,False,
PSPTO_2071,0.057318179500000004,PSPTO_2071,hypothetical protein,No COG annotation,,False,
PSPTO_4020,0.0572293419,PSPTO_4020,GNAT family N-acetyltransferase,Transcription,,False,
PSPTO_3165,0.056313293,PSPTO_3165,lipoprotein,Function unknown,,False,
PSPTO_4381,0.0561459383,PSPTO_4381,DUF481 domain-containing protein,Cell wall/membrane/envelope biogenesis,AlgU,True,
PSPTO_3503,0.0553115522,clsB,cardiolipin synthase ClsB,Lipid transport and metabolism,,False,
PSPTO_0676,0.054616264500000004,PSPTO_0676,mechanosensitive ion channel,Cell wall/membrane/envelope biogenesis,AlgU,True,
PSPTO_1632,0.0536443478,ngg,N-acetylglutaminylglutamine synthetase,Coenzyme transport and metabolism,,False,
PSPTO_2467,0.0534015097,PSPTO_2467,MFS transporter,Amino acid transport and metabolism,,False,
PSPTO_3016,0.053117705700000004,PSPTO_3016,MmcQ/YjbR family DNA-binding protein,Function unknown,,False,
PSPTO_4546,0.052953447,PSPTO_4546,PLDc N-terminal domain-containing protein,Function unknown,AlgU,True,
PSPTO_0333,0.0525232953,PSPTO_0333,BON domain-containing protein,Function unknown,AlgU,True,
PSPTO_4772,0.0524893097,PSPTO_4772,DUF4062 domain-containing protein,Transcription,AlgU,True,
PSPTO_2649,0.0520438385,PSPTO_2649,CAP domain-containing protein,Function unknown,,False,
PSPTO_0742,0.0516298743,PSPTO_0742,acyl dehydratase,Lipid transport and metabolism,,False,
PSPTO_0154,0.0507115571,PSPTO_0154,DUF1161 domain-containing protein,Function unknown,,False,
PSPTO_1506,0.050706289200000004,PSPTO_1506,OmpA family protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_1410,0.0504857681,PSPTO_1410,ethanolamine utilization protein,No COG annotation,,False,
PSPTO_3114,0.0503256929,PSPTO_3114,lipoprotein,No COG annotation,AlgU,True,
PSPTO_2256,0.0497110726,PSPTO_2256,transglycosylase SLT domain-containing protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_4673,0.0496332444,PSPTO_4673,hypothetical protein,No COG annotation,,False,
PSPTO_0281,0.0493558121,PSPTO_0281,DNA binding protein,No COG annotation,,False,
PSPTO_4103,0.0492640588,PSPTO_4103,hypothetical protein,Function unknown,AlgU,True,
PSPTO_2622,0.048964049200000005,PSPTO_2622,NAD-dependent protein deacetylase,Transcription,,False,
PSPTO_2952,0.048704477100000004,treS,maltose alpha-D-glucosyltransferase,Carbohydrate transport and metabolism,,False,
PSPTO_3316,0.048680853,gspF,type II secretion system inner membrane protein GspF,Cell motility,,False,
PSPTO_1196,0.048093580600000005,wecB,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),Cell wall/membrane/envelope biogenesis,AlgU,True,
PSPTO_3545,0.048032814800000004,PSPTO_3545,type 1 glutamine amidotransferase domain-containing protein,Function unknown,,False,
PSPTO_3546,0.047965964900000005,PSPTO_3546,hypothetical protein,No COG annotation,,False,
PSPTO_3882,0.0477606179,PSPTO_3882,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,PSPTO_3877,False,
PSPTO_RS18670,0.0476896655,PSPTO_RS18670,hypothetical protein,No COG annotation,,False,
PSPTO_2492,0.0476668375,PSPTO_2492,SDR family oxidoreductase,Lipid transport and metabolism,,False,
PSPTO_3700,0.0475957209,PSPTO_3700,aldo/keto reductase,Function unknown,AlgU,True,
PSPTO_1588,0.0470540237,PSPTO_1588,hypothetical protein,No COG annotation,,False,
PSPTO_1164,0.0468229144,PSPTO_1164,OmpA family protein,Cell wall/membrane/envelope biogenesis,AlgU,True,
PSPTO_1185,0.0465654538,PSPTO_1185,hypothetical protein,No COG annotation,,False,
PSPTO_4974,0.046446299,PSPTO_4974,DUF3298 domain-containing protein,Cell wall/membrane/envelope biogenesis,AlgU,True,
PSPTO_2042,0.046298696300000004,PSPTO_2042,alpha/beta fold hydrolase,Function unknown,,False,
PSPTO_3378,0.0461226813,PSPTO_3378,AI-2E family transporter,Function unknown,,False,
PSPTO_RS13850,0.0457881558,PSPTO_RS13850,hypothetical protein,No COG annotation,,False,
PSPTO_5390,0.045767958500000004,PSPTO_5390,hypothetical protein,Function unknown,,False,
PSPTO_1512,0.0456305502,PSPTO_1512,DUF72 domain-containing protein,Function unknown,,False,
PSPTO_1847,0.0455073675,PSPTO_1847,Arc family DNA-binding protein,Function unknown,AlgU,True,
PSPTO_1232,0.045336546400000004,algA,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_4843,0.044117357,PSPTO_4843,alpha/beta hydrolase,Lipid transport and metabolism,AlgU,True,
PSPTO_4356,0.0440996231,PSPTO_4356,helix-turn-helix transcriptional regulator,Transcription,,False,
PSPTO_0744,0.0440860271,PSPTO_0744,acetyl-CoA C-acetyltransferase,Lipid transport and metabolism,,False,
PSPTO_1236,0.043862812,algL,mannuronate-specific alginate lyase,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_3115,0.0438196525,PSPTO_3115,hypothetical protein,No COG annotation,,False,
PSPTO_1491,0.0436192705,PSPTO_1491,tellurite resistance TerB family protein,Function unknown,AlgU,True,
PSPTO_1234,0.043428098400000004,algJ,alginate O-acetylase,Function unknown,,False,
PSPTO_1363,0.0432847886,PSPTO_1363,sugar porter family MFS transporter,Amino acid transport and metabolism,AlgU,True,
PSPTO_0464,0.0430876107,PSPTO_0464,choline ABC transporter substrate-binding protein,Amino acid transport and metabolism,,False,
PSPTO_RS10655,0.0429446834,PSPTO_RS10655,hypothetical protein,No COG annotation,,False,
PSPTO_2470,0.0428029113,PSPTO_2470,SMP-30/gluconolactonase/LRE family protein,Carbohydrate transport and metabolism,,False,
PSPTO_1490,0.0421807071,PSPTO_1490,response regulator,Signal transduction mechanisms,,False,
PSPTO_3315,0.0421508258,gspG,type II secretion system major pseudopilin GspG,"Intracellular trafficking, secretion, and vesicular transport",,False,
PSPTO_0675,0.0420938805,PSPTO_0675,alpha/beta hydrolase,Lipid transport and metabolism,AlgU,True,
PSPTO_3314,0.041998322000000005,gspH,prepilin-type N-terminal cleavage/methylation domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",,False,
PSPTO_3125,0.0418121803,glgA,glycogen synthase GlgA,Nucleotide transport and metabolism,,False,
PSPTO_1607,0.0417272589,PSPTO_1607,hypothetical protein,No COG annotation,AlgU,True,
PSPTO_5492,0.041681506,PSPTO_5492,GlsB/YeaQ/YmgE family stress response membrane protein,Function unknown,,False,
PSPTO_2247,0.0415666356,PSPTO_2247,lipoprotein,No COG annotation,AlgU,True,
PSPTO_RS01215,0.041287117400000004,PSPTO_RS01215,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_2510,0.0411236695,poxB,ubiquinone-dependent pyruvate dehydrogenase,Energy production and conversion,,False,
PSPTO_4134,0.041037244,PSPTO_4134,ligase-associated DNA damage response exonuclease,"Translation, ribosomal structure and biogenesis",,False,
PSPTO_1625,0.041010531,PSPTO_1625,DUF3309 domain-containing protein,Function unknown,AlgU,True,
PSPTO_1511,0.0409953447,PSPTO_1511,hypothetical protein,No COG annotation,AlgU,True,
PSPTO_1233,0.040699544000000004,algF,alginate biosynthesis protein AlgF,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_0152,0.040445779,osmC,OsmC family protein,"Post-translational modification, protein turnover,and chaperones",AlgU,True,
PSPTO_3311,0.0404068347,PSPTO_3311,general secretion pathway protein GspK,"Intracellular trafficking, secretion, and vesicular transport",,False,
PSPTO_1235,0.0403369363,algI,MBOAT family protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_5529,0.0402400713,PSPTO_5529,DUF3617 domain-containing protein,Function unknown,,False,
PSPTO_3502,0.040211747400000004,PSPTO_3502,UPF0104 family protein,Function unknown,,False,
PSPTO_2684,0.0401180973,PSPTO_2684,hypothetical protein,No COG annotation,AlgU,True,
PSPTO_3655,0.0400367166,PSPTO_3655,putative zinc-binding peptidase,Function unknown,,False,
PSPTO_1619,0.0399693584,PSPTO_1619,hypothetical protein,No COG annotation,,False,
PSPTO_5165,0.0398037824,glgP,glycogen/starch/alpha-glucan phosphorylase,Carbohydrate transport and metabolism,AlgU,True,
PSPTO_RS11670,0.0396709367,PSPTO_RS11670,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_2350,0.0395171169,PSPTO_2350,YgdI/YgdR family lipoprotein,Function unknown,AlgU,True,
PSPTO_3708,0.039345387100000004,PSPTO_3708,NAD(P)H-dependent oxidoreductase,Function unknown,AlgU,True,
PSPTOA0012,0.0387174873,PSPTOA0012,hypothetical protein,Function unknown,,False,
PSPTO_3704,0.03867641,PSPTO_3704,MFS transporter,Amino acid transport and metabolism,,False,
PSPTO_3857,0.0382748838,PSPTO_3857,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,
PSPTO_1707,0.0378293217,PSPTO_1707,sorbosone dehydrogenase family protein,Carbohydrate transport and metabolism,,False,
PSPTO_1594,0.0378089392,PSPTO_1594,DUF2177 family protein,Function unknown,,False,
PSPTO_0764,0.0376118324,PSPTO_0764,calcium:proton antiporter,Inorganic ion transport and metabolism,,False,
PSPTO_0388,0.037504951,PSPTO_0388,lipoprotein,No COG annotation,,False,
PSPTO_3478,0.0373564367,PSPTO_3478,DUF2789 domain-containing protein,Amino acid transport and metabolism,,False,
PSPTO_4349,0.037322782400000004,PSPTO_4349,phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase family protein,Lipid transport and metabolism,,False,
PSPTO_1489,0.037316531300000004,PSPTO_1489,NADH:flavin oxidoreductase/NADH oxidase,Energy production and conversion,,False,
PSPTO_3309,0.037278651,PSPTO_3309,general secretion pathway protein GspM,"Intracellular trafficking, secretion, and vesicular transport",,False,
PSPTO_4350,0.0369544733,PSPTO_4350,YceI family protein,Function unknown,,False,
PSPTO_4578,0.0365404649,PSPTO_4578,ABC transporter permease,Inorganic ion transport and metabolism,,False,
PSPTO_0219,0.0365355703,PSPTO_0219,YjbQ family protein,Function unknown,AlgU,True,
PSPTO_0463,0.0363772915,choW,choline ABC transporter permease subunit,Inorganic ion transport and metabolism,,False,
PSPTO_4084,0.0363530353,PSPTO_4084,right-handed parallel beta-helix repeat-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,
PSPTO_3317,0.0362486398,gspE,type II secretion system ATPase GspE,Cell motility,,False,
PSPTO_3890,0.036176458,PSPTO_3890,FKBP-type peptidyl-prolyl cis-trans isomerase,Cell wall/membrane/envelope biogenesis,AlgU,True,
PSPTO_3264,0.0359392974,PSPTO_3264,alpha/beta hydrolase,Lipid transport and metabolism,,False,
PSPTO_RS03535,0.035933052,PSPTO_RS03535,hypothetical protein,No COG annotation,,False,
PSPTO_2650,0.035766980500000004,PSPTO_2650,membrane protein,Signal transduction mechanisms,,False,
PSPTO_3527,0.0353204424,yegS,lipid kinase YegS,Nucleotide transport and metabolism,,False,
PSPTO_1731,0.0352741403,fumC-1,class II fumarate hydratase,Energy production and conversion,,False,
PSPTO_3580,0.034833998500000005,PSPTO_3580,methyl-accepting chemotaxis protein,Cell motility,,False,
PSPTO_4135,0.034773802,PSPTO_4135,ATP-dependent DNA ligase,"Replication, recombination and repair",,False,
PSPTO_RS29995,0.0345726743,PSPTO_RS29995,hypothetical protein,No COG annotation,,False,
PSPTO_RS25355,0.0344551241,PSPTO_RS25355,hypothetical protein,No COG annotation,,False,
PSPTO_4555,0.0344174472,PSPTO_4555,SIMPL domain-containing protein,Function unknown,,False,
PSPTO_3127,0.034386166100000004,malQ,4-alpha-glucanotransferase,Carbohydrate transport and metabolism,,False,
PSPTO_2023,0.0343739389,PSPTO_2023,3'-5' exoribonuclease,"Replication, recombination and repair",,False,
PSPTO_1513,0.0342935544,PSPTO_1513,extensin family protein,Function unknown,,False,
PSPTO_0155,0.0342066216,PSPTO_0155,dodecin domain-containing protein,Function unknown,AlgU,True,
PSPTO_4577,0.0340878541,PSPTO_4577,glycine betaine ABC transporter substrate-binding protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_2500,0.0340780823,PSPTO_2500,MFS transporter,Amino acid transport and metabolism,,False,
PSPTO_0127,0.0338883116,algR,response regulator transcription factor,Transcription,AlgU,True,
PSPTO_RS00465,0.033608474900000004,PSPTO_RS00465,phosphomannomutase/phosphoglucomutase,Carbohydrate transport and metabolism,AlgU,True,
PSPTO_3701,0.033412378300000004,PSPTO_3701,transporter,Inorganic ion transport and metabolism,,False,
PSPTO_3626,0.0333536652,PSPTO_3626,lipoprotein,No COG annotation,,False,
PSPTO_5408,0.0332462939,PSPTO_5408,hypothetical protein,Function unknown,AlgU,True,
PSPTO_4780,0.033148167400000005,PSPTO_4780,thioredoxin domain-containing protein,"Post-translational modification, protein turnover,and chaperones",,False,
PSPTO_3768,0.033087748300000004,PSPTO_3768,lactonase family protein,Carbohydrate transport and metabolism,,False,
PSPTO_3308,0.0328701422,PSPTO_3308,general secretion pathway protein GspN,No COG annotation,,False,
PSPTO_1391,0.0325760411,hrpV,negative regulator of hrp expression HrpV,Function unknown,,False,
PSPTO_1631,0.0325255044,PSPTO_1631,osmoprotectant NAGGN system M42 family peptidase,Carbohydrate transport and metabolism,,False,
PSPTO_3465,0.0324002458,PSPTO_3465,Ku protein,"Replication, recombination and repair",,False,
PSPTO_0469,0.032018183900000004,PSPTO_0469,cell division protein ZapA,"Cell cycle control, cell division, chromosome partitioning",,False,
PSPTO_4357,0.031875616100000004,PSPTO_4357,MFS transporter,Amino acid transport and metabolism,,False,
PSPTO_4222,0.0317963209,mucB,MucB/RseB C-terminal domain-containing protein,Signal transduction mechanisms,,False,
PSPTO_0468,0.0317898877,PSPTO_0468,hypothetical protein,No COG annotation,,False,
PSPTO_2471,0.0317759881,PSPTO_2471,DUF1206 domain-containing protein,Function unknown,,False,
PSPTO_1379,0.0316315296,hrpR,sigma-54-dependent Fis family transcriptional regulator,Transcription,AlgU,True,
PSPTO_0119,0.031516021400000004,PSPTO_0119,insulinase family protein,Function unknown,,False,
PSPTO_RS29525,0.0314663961,PSPTO_RS29525,hypothetical protein,No COG annotation,,False,
PSPTO_0380,0.0313902323,PSPTO_0380,MAPEG family protein,Function unknown,,False,
PSPTO_2807,0.031128433100000002,PSPTO_2807,GGDEF domain-containing protein,Signal transduction mechanisms,,False,
PSPTO_2896,0.031089865600000002,PSPTO_2896,PAS domain-containing protein,Nucleotide transport and metabolism,,False,
PSPTOA0002,0.0310837999,PSPTOA0002,ultraviolet light resistance protein A,Transcription,LexA,False,
PSPTO_0389,0.030951280600000002,PSPTO_0389,MliC family protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_1608,0.030941009800000002,PSPTO_1608,PQQ-dependent sugar dehydrogenase,Carbohydrate transport and metabolism,,False,
PSPTO_0220,0.0308403665,PSPTO_0220,hypothetical protein,No COG annotation,,False,
PSPTO_1195,0.0308224174,PSPTO_1195,cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB,Function unknown,,False,
PSPTO_2605,0.0307981768,PSPTO_2605,TonB-dependent receptor,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_5226,0.030665095000000003,PSPTO_5226,cell division protein ZapA,"Cell cycle control, cell division, chromosome partitioning",AlgU,True,
PSPTO_3313,0.0304809639,PSPTO_3313,type II secretion system protein,Cell motility,,False,
PSPTO_2895,0.0302729147,PSPTO_2895,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",,False,
PSPTO_2029,0.0302347104,PSPTO_2029,NADP-dependent oxidoreductase,Function unknown,,False,
PSPTO_3130,0.030117535,glgX,glycogen debranching protein GlgX,Carbohydrate transport and metabolism,,False,
PSPTO_3312,0.030098441000000004,PSPTO_3312,prepilin-type N-terminal cleavage/methylation domain-containing protein,Cell motility,,False,
PSPTO_4223,0.030036118,mucA,sigma factor AlgU negative regulatory protein,Signal transduction mechanisms,,False,
PSPTO_4840,0.030010221200000003,PSPTO_4840,NUDIX hydrolase,Lipid transport and metabolism,,False,
PSPTO_2016,0.029823042600000002,acnA,aconitate hydratase AcnA,Energy production and conversion,,False,
PSPTO_RS29505,0.029646624400000002,PSPTO_RS29505,hypothetical protein,"Replication, recombination and repair",,False,
PSPTO_1730,0.0294129861,PSPTO_1730,NAD(P)H-dependent oxidoreductase,Function unknown,,False,
PSPTO_RS12775,0.0294044855,PSPTO_RS12775,DUF4198 domain-containing protein,Inorganic ion transport and metabolism,,False,
PSPTO_3126,0.0291656032,treZ,malto-oligosyltrehalose trehalohydrolase,Carbohydrate transport and metabolism,,False,
PSPTOA0003,0.0291209781,PSPTOA0003,hypothetical protein,"Replication, recombination and repair",,False,
PSPTO_4652,0.028980356500000002,PSPTO_4652,(2Fe-2S)-binding protein,Energy production and conversion,,False,
PSPTO_3883,0.0289502445,PSPTO_3883,HAD-IB family hydrolase,Amino acid transport and metabolism,PSPTO_3877,False,
PSPTO_2054,0.0288857195,PSPTO_2054,PLDc N-terminal domain-containing protein,Function unknown,,False,
PSPTO_3296,0.0288195301,PSPTO_3296,transporter,Inorganic ion transport and metabolism,,False,
PSPTO_2760,0.0287413267,PSPTO_2760,alpha-1%2C4-glucan--maltose-1-phosphate maltosyltransferase,Carbohydrate transport and metabolism,,False,
PSPTO_3343,0.028710895,PSPTO_3343,glutathione S-transferase family protein,"Post-translational modification, protein turnover,and chaperones",,False,
PSPTOA0061,-0.0290114892,PSPTOA0061,hypothetical protein,No COG annotation,,False,
PSPTOA0057,-0.029351457,PSPTOA0057,type II toxin-antitoxin system RelE/ParE family toxin,Function unknown,,False,
PSPTO_3748,-0.029504298,PSPTO_3748,HlyD family efflux transporter periplasmic adaptor subunit,Defense mechanisms,,False,
PSPTOA0064,-0.030570313600000003,PSPTOA0064,DotA/TraY family protein,No COG annotation,,False,
PSPTO_RS19045,-0.0306969957,PSPTO_RS19045,metallophosphoesterase,Function unknown,,False,
PSPTO_4484,-0.030797821200000002,PSPTO_4484,BON domain-containing protein,Function unknown,,False,
PSPTO_4282,-0.030936960200000002,PSPTO_4282,hypothetical protein,Transcription,,False,
PSPTO_1949,-0.0311995547,fliC,flagellin,Cell motility,,False,
PSPTO_RS10440,-0.0315767772,PSPTO_RS10440,hypothetical protein,Cell motility,,False,
PSPTO_RS25995,-0.0319719396,PSPTO_RS25995,immunity protein Imm5,No COG annotation,,False,
PSPTO_RS23455,-0.0321447978,PSPTO_RS23455,hypothetical protein,No COG annotation,,False,
PSPTO_0749,-0.0321477639,cueR,Cu(I)-responsive transcriptional regulator,Transcription,CueR,False,
PSPTO_3123,-0.0321686241,PSPTO_3123,hypothetical protein,No COG annotation,AlgU,True,
PSPTO_0752,-0.0324544516,copZ,heavy-metal-associated domain-containing protein,Energy production and conversion,CueR,False,
PSPTOA0019,-0.0335192693,PSPTOA0019,hypothetical protein,No COG annotation,,False,
PSPTOA0037,-0.0336579965,PSPTOA0037,MHS family MFS transporter,Amino acid transport and metabolism,PSPTOA0035,False,
PSPTO_0750,-0.0337903758,PSPTO_0750,copper-translocating P-type ATPase,Inorganic ion transport and metabolism,CueR,False,
PSPTO_RS24375,-0.0338449378,PSPTO_RS24375,IS5/IS1182 family transposase,"Replication, recombination and repair",,False,
PSPTO_1824,-0.035771765500000004,PSPTO_1824,DUF2790 domain-containing protein,Function unknown,,False,
PSPTOA0015,-0.036531657700000005,PSPTOA0015,chromosome partitioning protein ParB,Function unknown,,False,
PSPTOA0035,-0.0367954467,PSPTOA0035,FadR family transcriptional regulator,Transcription,PSPTOA0035,False,
PSPTO_5340,-0.0370256438,PSPTO_5340,OFA family MFS transporter,Inorganic ion transport and metabolism,,False,
PSPTOA0017,-0.0370733129,PSPTOA0017,CesT family type III secretion system chaperone,Function unknown,,False,
PSPTO_5407,-0.038620199800000005,PSPTO_5407,FdhF/YdeP family oxidoreductase,Energy production and conversion,,False,
PSPTOA0036,-0.038663448600000004,lhgO,L-2-hydroxyglutarate oxidase,Function unknown,PSPTOA0035,False,
PSPTOA0014,-0.0404761301,PSPTOA0014,AAA family ATPase,"Cell cycle control, cell division, chromosome partitioning",,False,
PSPTO_3230,-0.0421875449,PSPTO_3230,ShlB/FhaC/HecB family hemolysin secretion/activation protein,"Intracellular trafficking, secretion, and vesicular transport",AlgU,True,
PSPTOA0039,-0.0426287089,PSPTOA0039,helix-turn-helix transcriptional regulator,Transcription,,False,
PSPTO_1207,-0.0439752615,PSPTO_1207,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,,False,
PSPTOA0027,-0.0448519594,PSPTOA0027,mobilization protein,No COG annotation,,False,
PSPTOA0018,-0.045094205000000005,PSPTOA0018,type III effector,Function unknown,,False,
PSPTOA0031,-0.0457563642,PSPTOA0031,glycoside hydrolase family 10 protein,Function unknown,,False,
PSPTOA0032,-0.0483619453,PSPTOA0032,glycoside hydrolase family 68 protein,Carbohydrate transport and metabolism,,False,
PSPTOA0030,-0.049756175400000005,PSPTOA0030,glycoside hydrolase family 25 protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTOA0065,-0.051416238,excA,plasmid IncI1-type surface exclusion protein ExcA,No COG annotation,,False,
PSPTO_RS29625,-0.053233900800000004,PSPTO_RS29625,Com family DNA-binding transcriptional regulator,Function unknown,,False,
PSPTOA0058,-0.06270182640000001,PSPTOA0058,hypothetical protein,No COG annotation,,False,
