locus,gene_weight,gene_name,gene_product,COG,operon,regulator,SigD,link
new_3034935_3035530,0.081138515,S1133,5'UTR of rpsD,No COG category,,"SigA,stringent response",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3034935_3035530
BSU16270,0.080577371,fliK,flagellar hook-length control,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16270
BSU10380,0.080408212,hemAT,haem-based aerotactic transducer,Cell motility,hemAT,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU10380
BSU16250,0.079839306,fliJ,flagellar protein required for formation of basal body,Cell motility,flgB->swrB,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16250
new_3989098_3989183,0.079717312,S1492,5'UTR of yxkC,No COG category,,"SigD,TnrA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3989098_3989183
BSU16280,0.07966630200000001,flgD,flagellar hook cap,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16280
BSU16260,0.078578923,ylxF,unknown,Function unknown,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16260
BSU16300,0.077690188,fliL,"flagellar protein required for flagellar formation , membrane protein",Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16300
BSU11570,0.077636387,cwlQ,bifunctional enzyme with muramidase and,Cell wall/membrane/envelope biogenesis,"cwlQ, yjbK->cwlQ",SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11570
BSU11950,0.07702871,yjcQ,unknown,Function unknown,yjcP->yjcQ,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11950
new_3631609_3631729_c,0.076586858,S1350,5'UTR of yvyD,No COG category,yvyC->hpf,"SigD,SigB,PhoP,SigH",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3631609_3631729_c
BSU16290,0.076511327,flgE,flagellar hook protein,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16290
BSU16340,0.076375108,fliZ,part of the flagellar type III export apparatus,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16340
BSU36390,0.075854335,flhP,flagellar hook-basal body rod protein,No COG category,flhO->flhP,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36390
BSU35780,0.075836726,lytD,peptidoglycan N-acetylglucosaminidase,No COG category,lytD,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35780
new_490527_490638_c,0.075274993,S144,independent transcript,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_490527_490638_c
BSU16299,0.075001107,swrD,swarming protein,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16299
BSU11940,0.07476914400000001,yjcP,unknown,No COG category,yjcP->yjcQ,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11940
new_1235709_1235911_c,0.07418286,S418,intergenic region,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1235709_1235911_c
BSU16220,0.07402257200000001,fliG,flagellar C ring protein,Cell motility,flgB->swrB,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16220
BSU16230,0.07371232,fliH,flagellar assembly protein,Cell motility,flgB->swrB,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16230
new_1691049_1691202,0.073371447,S584,5'UTR of flgB,No COG category,,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1691049_1691202
BSU16310,0.073294825,fliM,flagellar motor switch protein,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16310
new_3634793_3634897_c,0.073106717,S1351,5'UTR of yvyC,No COG category,,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3634793_3634897_c
BSU21330,0.072842369,yomK,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21330
BSU16240,0.07233456099999999,fliI,flagellar-specific ATPase,Cell motility,flgB->swrB,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16240
BSU16330,0.07203001099999999,cheY,two-component response regulator,Signal transduction,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16330
BSU36400,0.071335487,flhO,flagellar basal-body rod protein,No COG category,flhO->flhP,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36400
BSU21530,0.071191721,yolB,unknown,No COG category,yolA->yolB,AbrB,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21530
BSU35620,0.071114981,lytC,N-acetylmuramoyl-L-alanine amidase,No COG category,lytA->lytC,"SigA,SinR,SigD,YvrHb,SlrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35620
BSU16350,0.07089688799999999,fliP,part of the flagellar type III export apparatus,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16350
new_1695136_1695253,0.070760121,S585,intergenic region,No COG category,,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1695136_1695253
BSU16320,0.070619265,fliY,flagellar C ring protein,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16320
BSU21540,0.070562826,yolA,unknown,Function unknown,yolA->yolB,AbrB,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21540
new_3747092_3747171_c,0.070347924,S1404,5'UTR of flhO,No COG category,,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3747092_3747171_c
BSU16400,0.06947845700000001,flhF,signal recognition particle-like GTPase,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16400
BSU18610,0.06944829,yoaH,membrane-bound chemotaxis receptor,Cell motility,yoaH,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18610
BSU16200,0.06943010200000001,fliE,flagellar hook-basal body protein,Cell motility,flgB->swrB,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16200
BSU16210,0.069091152,fliF,flagellar basal-body M-ring protein,Cell motility,flgB->swrB,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16210
BSU16430,0.069065212,cheA,two-component sensor kinase,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16430
BSU02050,0.068917265,ybdO,unknown,Function unknown,ybdO,"SigD,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02050
new_2031115_2031202_c,0.068829843,S694,5'UTR of yoaH,No COG category,,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2031115_2031202_c
BSU16370,0.06867931299999999,fliR,part of the flagellar type III export apparatus,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16370
BSU16360,0.06856567400000001,fliQ,part of the flagellar type III export apparatus,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16360
BSU16060,0.066969591,rnhB,RNase HII,"Replication, recombination and repair","rnhB->ylqH, rbgA->ylqH",SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16060
BSU16420,0.066934614,cheB,MCP-glutamate methylesterase / two-component response regulator-like,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16420
BSU21940,0.06682945700000001,degR,positive effector of [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]]-phosphate stability,No COG category,degR,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21940
BSU35400,0.066511451,flgL,flagellar hook-filament junction proteins,No COG category,"comFA->csrA, flgM->flgL, yvyF->flgL","ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35400
BSU16380,0.066445368,flhB,part of the flagellar type III export apparatus,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16380
BSU16440,0.066223534,cheW,CheA modulator,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16440
BSU16410,0.065490856,flhG,GTPase activating protein,Cell cycle control and cell division,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16410
BSU16390,0.065362634,flhA,part of the flagellar type III export apparatus,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16390
BSU26210,0.064967337,yqaR,unknown,No COG category,yqaR,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU26210
new_3672498_3672737_c,0.064858344,S1369,5'UTR of yvzI,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3672498_3672737_c
BSU16460,0.0639491,cheD,"protein deaminase, [[protein|DC9B5446484E42F46EB2B0541192D7D8B4B3AC8F]] activity modulator",Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16460
BSU16070,0.063700181,ylqG,unknown,No COG category,"rnhB->ylqH, rbgA->ylqH",SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16070
BSU16450,0.06354166,cheC,[[protein|2F0495C7EAB81BDB1F3181677C555537BD2A972F]]-P phosphatase,Cell motility,"ylxF->swrB, flgB->swrB","Spo0A,SigA,SwrA,SigD,CodY,DegU,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16450
BSU35420,0.063425245,yvyG,flagellar filament assembly protein,No COG category,"comFA->csrA, flgM->flgL, yvyF->flgL","ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35420
BSU31230,0.063347108,tlpB,methyl-accepting chemotaxis protein,Cell motility,tlpB,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31230
BSU35430,0.06311070099999999,flgM,anti-[[protein|7024E4162A6D827069F882FDEACA696EBC05DD40]],No COG category,"comFA->csrA, flgM->flgL, yvyF->flgL","ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35430
BSU35630,0.062876631,lytB,modifier protein of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]],No COG category,lytA->lytC,"SigA,SinR,SigD,YvrHb,SlrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35630
BSU35410,0.062639443,flgK,flagellar hook-filament junction proteins,No COG category,"comFA->csrA, flgM->flgL, yvyF->flgL","ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35410
BSU16190,0.062297092000000005,flgC,flagellar basal-body rod protein,Cell motility,flgB->swrB,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16190
new_1409579_1409781_c,0.061976980999999993,S479,5'UTR of ykoW,No COG category,,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1409579_1409781_c
BSU16180,0.061290396,flgB,flagellar basal-body rod protein,Cell motility,flgB->swrB,"Spo0A,SigA,SwrA,SigD,CodY,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU16180
new_3640552_3640631_c,0.060541617,S1353,intergenic region,No COG category,,"ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3640552_3640631_c
BSU13420,0.057957147,dgcW,diguanylate cyclase and potential phosphodiesterase,Signal transduction,dgcW,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13420
BSU35440,0.057158244000000004,yvyF,unknown,No COG category,"comFA->csrA, yvyF->flgL","ComK,SigA,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35440
BSU21010,0.05678275,yonS,unknown,No COG category,yonR->yonS,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU21010
BSU35640,0.056773464,lytA,secretion of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]],No COG category,lytA->lytC,"SigA,SinR,SigD,YvrHb,SlrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35640
