locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Fnr,link
b4364,0.0860043805,yjjP,putative succinate exporter YjjP,Function unknown,yjjP,"H-NS,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7946
b1587,0.0843589242,ynfE,putative selenate reductase YnfE,Energy production and conversion,ynfEFGH-dmsD,"RpoD,RpoS,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6845
b2997,0.0818847231,hybO,hydrogenase 2 small subunit,Energy production and conversion,hybOABCDEFG,"RpoD,ryhB,ArcA,NarL",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7554
b3746,0.08055351820000001,ravA,regulatory ATPase RavA,Function unknown,ravA-viaA,"RpoS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11731
b1376,0.08012191,uspF,nucleotide binding filament protein,Signal transduction mechanisms,uspF,"YeiE,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6699
b1593,0.0785057946,ynfK,putative dethiobiotin synthetase,Coenzyme transport and metabolism,mlc-ynfK,"RpoD,RpoH,Crp,Mlc,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6851
b4154,0.0782830563,frdA,fumarate reductase flavoprotein subunit,Energy production and conversion,frdABCD,"RpoD,ryhB,RpoS,Fnr,NarL,DcuR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10330
b2181,0.0771629236,yejG,protein YejG,Function unknown,yejG,"Nac,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12042
b1004,0.077016179,wrbA,NAD(P)H:quinone oxidoreductase,Function unknown,wrbA-yccJ,"oxyS,YdcI,RpoS,ppGpp,CsgD,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11540
b1625,0.076585759,cnu,H-NS- and StpA-binding protein,Transcription,cnu,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6869
b2728,0.0750270995,hypC,hydrogenase 3 maturation protein HypC,"Post-translational modification, protein turnover,and chaperones",hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10485
b1750,0.0746345876,ydjX,DedA family protein YdjX,Function unknown,ydjXYZ-ynjABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6945
b3409,0.073781383,feoB,Fe(2(+)) transporter FeoB,Inorganic ion transport and metabolism,feoABC,"RpoD,YcjW,Fnr,NagC,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12102
b3158,0.0711942918,yhbU,putative peptidase YhbU,"Post-translational modification, protein turnover,and chaperones",yhbUV,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7652
b4128,0.06847696,ghoS,antitoxin of the GhoTS toxin-antitoxin system,No COG annotation,ghoST,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7830
b4559,0.0683174226,ghoT,toxin of the GhoTS toxin-antitoxin system,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10472
b3211,0.0682913954,yhcC,radical SAM family oxidoreductase YhcC,Function unknown,yhcC,"YihW,YahB,YjhI,YhjC,YiaU,YedW,ArgR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7669
b2877,0.0682871538,mocA,molybdenum cofactor cytidylyltransferase,Function unknown,mocA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7496
b2241,0.0680012285,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A,Energy production and conversion,glpABC,"RpoD,YihW,Fis,FlhDC,ArcA,Fnr,Crp,ppGpp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10391
b1601,0.06720925300000001,tqsA,autoinducer 2 exporter,Signal transduction mechanisms,tqsA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6859
b0836,0.0669590801,bssR,regulator of biofilm formation,Function unknown,bssR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
b0894,0.066689963,dmsA,dimethyl sulfoxide reductase subunit A,Energy production and conversion,dmsABC,"RpoD,YciT,Fis,ModE,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10232
b4337,0.065860896,mdtM,multidrug efflux pump/bile salt:H(+) antiporter/Na(+):H(+) antiporter/K(+):H(+) antiporter,Inorganic ion transport and metabolism,mdtM-yjiN,SlyA,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12576
b3157,0.0653933505,yhbT,SCP2 domain-containing protein YhbT,Lipid transport and metabolism,yhbTS,"YciT,YbcM,CsgD,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7651
b2201,0.06441643920000001,ccmA,heme trafficking system ATP-binding protein,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12059
b4123,0.0619574913,dcuB,anaerobic C4-dicarboxylate transporter DcuB,Function unknown,dcuB-fumB,"RpoD,YidZ,Fnr,Crp,NarL,DcuR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10006
b2957,0.061866243700000004,ansB,L-asparaginase 2,Amino acid transport and metabolism,ansB,"RpoD,Fis,Crp,Fnr,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10046
b2343,0.061109757,yfcZ,DUF406 domain-containing protein YfcZ,Function unknown,yfcZ,"Fnr,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7214
b4122,0.0609290246,fumB,fumarase B,Energy production and conversion,dcuB-fumB,"RpoD,Fis,Crp,ArcA,Fur,Fnr,NarL,DcuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10357
b3512,0.060874106100000006,gadE,DNA-binding transcriptional activator GadE,Transcription,gadEF-mdtEF,"PhoP,RpoD,RpoS,GadW,YdeO,Crp,ArcA,EvgA,H-NS,GadX,FliZ,GadE,Nac,ppGpp,ArrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11544
b1224,0.0604218106,narG,nitrate reductase A subunit alpha,Energy production and conversion,narGHJI,"RpoD,YcjW,RstA,Fis,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10638
b0992,0.058755958600000005,yccM,putative 4Fe-4S membrane protein,Energy production and conversion,yccM,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6513
b2707,0.0582493394,srlR,DNA-binding transcriptional repressor SrlR,Transcription,srlAEBD-gutM-srlR-gutQ,"RpoD,SrlR,H-NS,GutM,Crp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10974
b2468,0.056591313000000004,aegA,putative oxidoreductase Fe-S subunit AegA,Energy production and conversion,aegA,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12409
b2172,0.0544192394,yeiQ,putative dehydrogenase%2C NAD-dependent,Carbohydrate transport and metabolism,yeiQ,"YfeC,YqhC,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12036
b1108,0.054126179600000004,ycfP,UPF0227 protein YcfP,Function unknown,hinT-ycfL-lpoB-thiK-nagZ-ycfP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6568
b3006,0.0535843395,exbB,Ton complex subunit ExbB,"Intracellular trafficking, secretion, and vesicular transport",exbBD,"RpoD,Fur,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10271
b3156,0.0530064133,yhbS,putative acyltransferase with acyl-CoA N-acyltransferase domain,Function unknown,yhbTS,CsgD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7650
b3755,0.0528750352,yieP,putative transcriptional regulator YieP,Transcription,yieP-hsrA,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11733
b2729,0.0523863851,hypD,Fe-(CN)2CO cofactor assembly scaffold protein HypD,"Post-translational modification, protein turnover,and chaperones",hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10486
b2202,0.052377788,napC,periplasmic nitrate reductase cytochrome c protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12060
b1334,-0.0525822508,fnr,DNA-binding transcriptional dual regulator FNR,Transcription,fnr,"RpoD,ArcA,Fur,IHF,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10325
b1541,-0.0593721854,ydfZ,putative selenoprotein YdfZ,Function unknown,ydfZ,Fnr,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6815
b4589,-0.0602080898,ylcI,DLP12 prophage%3B DUF3950 domain-containing protein YlcI,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10585
b2579,-0.11563312690000001,grcA,stress-induced alternate pyruvate formate-lyase subunit,Function unknown,grcA,"PdhR,RpoD,YfeD,YneJ,Crp,Fis,ArcA,Fur,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11784
