locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PA1226,link
PA0984,0.11827568000000001,PA0984,,colicin immunity protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0984&e1=1&assembly=complete
PA1369,0.116722692,PA1369,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1369&e1=1&assembly=complete
PA2224,0.112185539,PA2224,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2224&e1=1&assembly=complete
PA1372,0.11206655900000001,PA1372,,hypothetical protein,Nucleotide transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1372&e1=1&assembly=complete
PA3153,0.110214059,wzx,,O-antigen translocase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3153&e1=1&assembly=complete
PA3152,0.10836914800000001,hisH2,,imidazole glycerol phosphate synthase subunit HisH,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3152&e1=1&assembly=complete
PA3160,0.107777067,wzz,,O-antigen chain length regulator,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3160&e1=1&assembly=complete
PA1151,0.10585796500000001,imm2,,pyocin-S2 immunity protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1151&e1=1&assembly=complete
PA3151,0.10442902100000001,hisF2,,imidazole glycerol phosphate synthase subunit HisF,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3151&e1=1&assembly=complete
PA3291,0.10398437,PA3291,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3291&e1=1&assembly=complete
PA2228,0.101430433,PA2228,,hypothetical protein,Defense mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2228&e1=1&assembly=complete
PA3865a,0.10091757100000001,PA3865a,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3865a&e1=1&assembly=complete
PA3148,0.089111111,wbpI,,UDP-2%2C3-diacetamido-2%2C3-dideoxy-D-glucuronate 2-epimeras,Cell wall/membrane/envelope biogenesis,PA1226,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3148&e1=1&assembly=complete
PA0985,0.087766862,pyoS5,,pyocin S5,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0985&e1=1&assembly=complete
PA5088,0.080794091,PA5088,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5088&e1=1&assembly=complete
PA1370,0.079671743,PA1370,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1370&e1=1&assembly=complete
PA3292,0.078755768,PA3292,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3292&e1=1&assembly=complete
PA2222,0.077823818,PA2222,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2222&e1=1&assembly=complete
PA1509,0.07151558200000001,PA1509,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1509&e1=1&assembly=complete
PA3155,0.06967981300000001,wbpE,,UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3155&e1=1&assembly=complete
PA1150,0.06896042000000001,pys2,,pyocin-S2,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1150&e1=1&assembly=complete
PA0826,0.067824775,PA0826,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0826&e1=1&assembly=complete
PA1385,0.067297916,PA1385,,glycosyl transferase family protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1385&e1=1&assembly=complete
PA5264,0.06626286,PA5264,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5264&e1=1&assembly=complete
PA2223,0.06576232500000001,PA2223,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2223&e1=1&assembly=complete
PA2730,0.06487654200000001,PA2730,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2730&e1=1&assembly=complete
PA1384,0.064554833,galE,,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1384&e1=1&assembly=complete
PA4674,0.063203758,PA4674,,hypothetical protein,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4674&e1=1&assembly=complete
PA3835,0.062236473,PA3835,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3835&e1=1&assembly=complete
PA2036,0.062210105,PA2036,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2036&e1=1&assembly=complete
PA3157,0.062012548,PA3157,,acetyltransferase,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3157&e1=1&assembly=complete
PA3866,0.061629773000000006,PA3866,,pyocin protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3866&e1=1&assembly=complete
PA3145,0.059683489000000006,wbpL,,glycosyltransferase WbpL,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3145&e1=1&assembly=complete
PA5087,0.05913317,PA5087,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5087&e1=1&assembly=complete
PA2225,0.05810516600000001,PA2225,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2225&e1=1&assembly=complete
PA3488,0.055378924,PA3488,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3488&e1=1&assembly=complete
PA3156,0.055226509,wbpD,,UDP-2-acetamido-3-amino-2%2C3-dideoxy-D-glucuronate N-acetyltransferase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3156&e1=1&assembly=complete
PA3158,0.055142825000000006,wbpB,,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3158&e1=1&assembly=complete
PA4295,0.05468161,fppA,,Flp prepilin peptidase FppA,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4295&e1=1&assembly=complete
PA3147,0.053418657,wbpJ,,glycosyl transferase WbpJ,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3147&e1=1&assembly=complete
PA2145,0.051307391,PA2145,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2145&e1=1&assembly=complete
