locus,gene_weight,gene_name,gene_product,cog,operon,regulator,RcsAB,link
b1951,0.1274975183,rcsA,DNA-binding transcriptional activator RcsA,Transcription,rcsA,"RpoD,H-NS,RcsAB,GadE,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10820
b2028,0.1212851057,ugd,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,ugd,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7091
b3563,0.11722617390000001,yiaB,conserved inner membrane protein YiaB,Function unknown,yiaB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11267
b2044,0.1142565251,wcaL,putative colanic biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,wcaKLM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7095
b4029,0.0925032526,yjbH,YjbH family protein,Cell wall/membrane/envelope biogenesis,yjbEFGH,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11926
b2043,0.0808029712,wcaM,putative colanic acid biosynthesis protein WcaM,Cell wall/membrane/envelope biogenesis,wcaKLM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7094
b3562,0.0667617824,yiaA,conserved inner membrane protein YiaA,Function unknown,yiaA,RpoH,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11186
b0527,0.058830649500000005,ybcI,conserved inner membrane protein YbcI,Function unknown,ybcI,"YdcN,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12708
b0403,0.052390798,malZ,maltodextrin glucosidase,Carbohydrate transport and metabolism,malZ,MalT,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10565
b3818,0.0467852599,yigG,inner membrane protein,No COG annotation,,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11465
b4553,0.0428605876,ysaB,putative lipoprotein YsaB,Function unknown,ysaB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10467
b0581,0.0345432795,ybdK,carboxylate-amine ligase,Nucleotide transport and metabolism,ybdK,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6326
b3003,0.034019590100000004,yghA,NADP(+)-dependent aldehyde reductase,Lipid transport and metabolism,yghA,"YcjW,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11292
b1115,0.0319532923,ycfT,inner membrane protein YcfT,Function unknown,ycfT,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6572
b2291,0.028201796,yfbR,dCMP phosphohydrolase,Nucleotide transport and metabolism,alaA-yfbR,"RpoH,CysB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7185
b3357,-0.0395418382,crp,DNA-binding transcriptional dual regulator CRP,Transcription,crp,"RpoD,Crp,Cra,Fis,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10164
b0439,-0.057444421200000005,lon,Lon protease,"Post-translational modification, protein turnover,and chaperones",clpPX-lon,"RpoD,RpoE,RpoH,gcvB,GadX",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10542
