locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CodY,link
USA300HOU_RS01905,0.060736825,metB,cystathionine gamma-synthase,Amino acid transport and metabolism,"metE,metf-2,metC,metB","CodY,T-box(Met)",True,https://aureowiki.med.uni-greifswald.de/SAUPAN001903000
USA300HOU_RS04675,0.060634577,yuiF,sodium:proton antiporter,Function unknown,"yuiF,ydiI",HisR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003043000
USA300HOU_RS09140,0.059547514,sgaA,aminotransferase class V,Amino acid transport and metabolism,"sgaA,serA",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN004378000
USA300HOU_RS15185,0.059454566,USA300HOU_RS15185,pathogenicity island protein,No COG category,dicA,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002850000
USA300HOU_RS00830,0.05931584,USA300HOU_RS00830,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),No COG category,,CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000981000
USA300HOU_RS14110,0.059078269,yfnA,amino acid permease,Amino acid transport and metabolism,yfnA,CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN006300000
LAC_H_01830,0.057655421000000005,LAC_H_01830,LAC_H_01830,No COG category,,,False,
USA300HOU_RS14510,0.057324221,hisF,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006427000
USA300HOU_RS14565,0.057124349000000005,cbiQ,cobalt ABC transporter permease,Inorganic ion transport and metabolism,"cbiQ,ykoD",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006439000
USA300HOU_RS01210,0.055767245,fadX,acyl CoA:acetate/3-ketoacid CoA transferase,Lipid transport and metabolism,"fadD,fadE,fadX",CcpA,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001096000
USA300HOU_RS02375,0.055559945000000006,gltB,glutamate synthase,Amino acid transport and metabolism,"gltB,gltD","GltC,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002186000
USA300HOU_RS14560,0.053426254000000006,USA300HOU_RS14560,GNAT family acetyltransferase,"Translation, ribosomal structure and biogenesis",,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006438000
USA300HOU_RS10695,0.051934006000000005,USA300HOU_RS10695,hypothetical protein,No COG category,"duT,rusA",Genomic Island 9,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001381000
USA300HOU_RS00960,0.051482829,argB,acetylglutamate kinase,Amino acid transport and metabolism,"argB,argJ,argC,argD",ArgR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001021000
USA300HOU_RS04460,0.050543883000000005,USA300HOU_RS04460,hypothetical protein,No COG category,dicA,Genomic Island 3,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002852000
USA300HOU_RS07120,0.04991136,hipO,hydrolase,Amino acid transport and metabolism,"hipO,alr2,lysA","CodY,Lysine",True,https://aureowiki.med.uni-greifswald.de/SAUPAN003811000
USA300HOU_RS13405,0.049834456000000006,mtrF,transporter,Inorganic ion transport and metabolism,mtrF,CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN006037000
USA300HOU_RS04475,0.049582647,USA300HOU_RS04475,hypothetical protein,No COG category,,Genomic Island 3,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002860000
USA300HOU_RS00275,0.047206326,adhC,alcohol dehydrogenase,Energy production and conversion,adhC,Genomic Island 1,False,https://aureowiki.med.uni-greifswald.de/SAUPAN000809000
USA300HOU_RS07125,0.04706117,alr2,alanine racemase 2,Cell wall/membrane/envelope biogenesis,"hipO,alr2,lysA","CodY,Lysine",True,https://aureowiki.med.uni-greifswald.de/SAUPAN003812000
USA300HOU_RS05090,0.046967001,comK,competence protein ComK,Transcription,comK,CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003211000
USA300HOU_RS10710,0.046735814,USA300HOU_RS10710,hypothetical protein,No COG category,"duT,rusA",Genomic Island 9,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001384000
USA300HOU_RS05020,0.046424157,alsT,sodium:alanine symporter,Amino acid transport and metabolism,alsT,"CodY,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN003187000
USA300HOU_RS00810,0.045813899000000005,capC,capsular polysaccharide biosynthesis protein Cap8C,No COG category,"cap8A,capB,capC",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000976000
USA300HOU_RS00965,0.045588568,argJ,bifunctional glutamate N-acetyltransferase/amino-acid N-acetyltransferase,Amino acid transport and metabolism,"argB,argJ,argC,argD",ArgR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001023000
USA300HOU_RS00870,0.045344184,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,Cell wall/membrane/envelope biogenesis,"cap5H,cap5I,cap5J,cap5K,cap5L,capM,cap5N,wecC,cap5P",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000993000
USA300HOU_RS00055,0.045303647,azlD,membrane protein,Function unknown,"azlC,azlD",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN000019000
USA300HOU_RS03180,-0.045514293000000004,USA300HOU_RS03180,hypothetical protein,Function unknown,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002455000
USA300HOU_RS01245,-0.046896291,ldH,L-lactate dehydrogenase,Energy production and conversion,ldH,Rex,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001107000
USA300HOU_RS07670,-0.047625415000000004,USA300HOU_RS07670,hypothetical protein,No COG category,,"Genomic Island 5,Genomic Island 6",False,
USA300HOU_RS10850,-0.054195749,USA300HOU_RS10850,hypothetical protein,No COG category,,Genomic Island 9,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005158000
USA300HOU_RS14360,-0.061811429,pmI,"mannose-6-phosphate isomerase, class I",Carbohydrate transport and metabolism,"manP,pmI","ManR,CcpA",False,https://aureowiki.med.uni-greifswald.de/SAUPAN006373000
USA300HOU_RS14355,-0.063694862,manP,PTS mannose transporter subunit IIABC,Carbohydrate transport and metabolism,"manP,pmI","ManR,CcpA",False,https://aureowiki.med.uni-greifswald.de/SAUPAN006372000
USA300HOU_RS05895,-0.065484316,USA300HOU_RS05895,hemolytic protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003440000
