locus,comp,gene_name,product,operon,TF,flhD;flhC,link
b1941,0.155776705606,fliI,flagellum-specific ATP synthase FliI,"fliF, fliG, fliH, fliI, fliJ, fliK","Sigma28, Sigma70, csgD, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G377
b1940,0.155413537129,fliH,flagellar biosynthesis protein FliH,"fliF, fliG, fliH, fliI, fliJ, fliK","Sigma28, Sigma70, csgD, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11656
b1937,0.151690176814,fliE,flagellar basal-body protein FliE,fliE,"Sigma28, Sigma70, csgD, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11346
b1079,0.150147589025,flgH,flagellar L-ring protein FlgH; basal-body outer-membrane L (lipopolysaccharide layer) ring protein,"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G364
b1880,0.148750311362,flhB,flagellar biosynthesis protein FlhB,"flhB, flhA, flhE","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7028
b1072,0.142878645084,flgA,flagellar biosynthesis; assembly of basal-body periplasmic P ring,"flgA, flgM, flgN","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G357
b1904,0.138629720472,yecR,putative protein,yecR,"arcA, flhD;flhC, fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7035
b1081,0.138031031847,flgJ,FlgJ,"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G366
b1080,0.137912436775,flgI,flagellar P-ring protein FlgI,"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G365
b1942,0.13465833649800002,fliJ,flagellar biosynthesis protein FliJ,"fliF, fliG, fliH, fliI, fliJ, fliK","Sigma28, Sigma70, csgD, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G378
b1921,0.13317570517000002,fliZ,FliZ DNA-binding transcriptional regulator,"fliA, fliZ, tcyJ","Sigma28, Sigma70, csgD, flhD;flhC, h-NS, matA, nsrR, sutR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11356
b1947,0.127436221445,fliO,flagellar biosynthesis protein FliO,"fliL, fliM, fliN, fliO, fliP, fliQ, fliR","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11224
b1948,0.11725128955999999,fliP,flagellar biosynthesis protein FliP,"fliL, fliM, fliN, fliO, fliP, fliQ, fliR","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11975
b1943,0.109954701711,fliK,flagellar hook-length control protein FliK,"fliF, fliG, fliH, fliI, fliJ, fliK","Sigma28, Sigma70, csgD, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G379
b1878,0.0917758189158,flhE,flagellar protein,"flhB, flhA, flhE","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7027
b1044,0.09141782459989999,ymdA,putative protein,ymdA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6549
b1924,0.0905489387388,fliD,flagellar cap protein FliD; filament capping protein; enables filament assembly,"fliD, fliS, fliT","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b1949,0.0854987342076,fliQ,flagellar biosynthesis protein FliQ,"fliL, fliM, fliN, fliO, fliP, fliQ, fliR","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b1082,0.084986807394,flgK,"flagellar biosynthesis, hook-filament junction protein 1","flgK, flgL","Sigma28, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1071,0.0777305325315,flgM,anti-sigma factor for FliA (&sigma;<sup>28</sup>),"flgA, flgM, flgN","Sigma28, Sigma70, csgD, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G369
b1879,0.07752807227460001,flhA,flagellar biosynthesis protein FlhA,"flhB, flhA, flhE","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G370
b1070,0.07695403654180001,flgN,flagellar biosynthesis protein FlgN,"flgA, flgM, flgN","Sigma28, Sigma70, csgD, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6562
b1925,0.0717434667769,fliS,flagellar biosynthesis protein FliS,"fliD, fliS, fliT","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11388
b1083,0.0652484503914,flgL,flagellar biosynthesis; hook-filament junction protein,"flgK, flgL","Sigma28, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11545
b1926,0.058480233392500004,fliT,flagellar biosynthesis protein FliT,"fliD, fliS, fliT","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b3525,0.05844640511300001,yhjH,c-di-GMP phosphodiesterase,pdeH,"Sigma28, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12252
b1950,0.0572218627863,fliR,flagellar biosynthesis protein FliR,"fliL, fliM, fliN, fliO, fliP, fliQ, fliR","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11977
b1891,0.051025442501999994,flhC,FlhC transcriptional dual regulator,"flhD, flhC","Sigma54, Sigma70, acrR, arcA, crp, fliZ, fur, h-NS, hdfR, ihf, lrhA, matA, ompR, qseB, rcsA;rcsB, yjjQ",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10319
b1892,0.0498454757865,flhD,FlhD transcriptional dual regulator,"flhD, flhC","Sigma54, Sigma70, acrR, arcA, crp, fliZ, fur, h-NS, hdfR, ihf, lrhA, matA, mcaS, ompR, qseB, rcsA;rcsB, yjjQ",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10320
