locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,AmpR,FleN,link
PA1474,0.10025981,PA1474,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1474&e1=1&assembly=complete
PA3349,0.097716225,PA3349,,chemotaxis protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3349&e1=1&assembly=complete
PA2654,0.09415345300000001,PA2654,,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2654&e1=1&assembly=complete
PA2561,0.09406810600000001,PA2561,,methyl-accepting chemotaxis protein CtpH,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2561&e1=1&assembly=complete
PA1561,0.09404902600000001,aer,,aerotaxis receptor Aer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1561&e1=1&assembly=complete
PA3351,0.09385579200000001,flgM,,protein FlgM,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3351&e1=1&assembly=complete
PA5072,0.085934623,PA5072,,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5072&e1=1&assembly=complete
PA3307,0.085912507,PA3307,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3307&e1=1&assembly=complete
PA1473,0.085538165,PA1473,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1473&e1=1&assembly=complete
PA4520,0.08467795800000001,PA4520,,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4520&e1=1&assembly=complete
PA2920,0.083217356,PA2920,,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2920&e1=1&assembly=complete
PA2869,0.079414607,PA2869,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2869&e1=1&assembly=complete
PA1967,0.07678665,PA1967,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1967&e1=1&assembly=complete
PA1081,0.06892709400000001,flgF,,flagellar basal body rod protein FlgF,Cell motility,"FleQ,FleN",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1081&e1=1&assembly=complete
PA1094,0.06809931200000001,fliD,,B-type flagellar hook-associated protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1094&e1=1&assembly=complete
PA3352,0.06801451900000001,PA3352,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3352&e1=1&assembly=complete
PA1077,0.067914029,flgB,,flagellar basal-body rod protein FlgB,Cell motility,"FleQ,FleN",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1077&e1=1&assembly=complete
PA1078,0.066997657,flgC,,flagellar basal body rod protein FlgC,Cell motility,"FleQ,FleN",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1078&e1=1&assembly=complete
PA1087,0.06398318,flgL,,flagellar hook-associated protein FlgL,Cell motility,"FleQ,FleN",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1087&e1=1&assembly=complete
PA3348,0.0627821,PA3348,,chemotaxis protein methyltransferase,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3348&e1=1&assembly=complete
PA1441,0.062162668000000004,PA1441,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1441&e1=1&assembly=complete
PA1458,0.06012165,PA1458,,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1458&e1=1&assembly=complete
PA2867,0.060024948,PA2867,,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2867&e1=1&assembly=complete
PA1463,0.05978875,PA1463,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1463&e1=1&assembly=complete
PA1080,0.058817041,flgE,,flagellar hook protein FlgE,Cell motility,"FleQ,FleN",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1080&e1=1&assembly=complete
PA5272,0.058679245000000005,cyaA,,adenylate cyclase,Nucleotide transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5272&e1=1&assembly=complete
PA4110,-0.064658247,ampC,,beta-lactamase,Defense mechanisms,AmpR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4110&e1=1&assembly=complete
