locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Nac,link
b2661,0.0558964146,gabD,NADP(+)-dependent succinate-semialdehyde dehydrogenase,Energy production and conversion,csiD-lhgO-gabDTP,"RpoD,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11329
b2504,0.054853543500000004,yfgG,protein YfgG,Function unknown,yfgG,"Nac,RpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7315
b2393,0.054240499500000004,nupC,nucleoside:H(+) symporter NupC,"Intracellular trafficking, secretion, and vesicular transport",nupC,"RpoD,Nac,CytR,Crp,ppGpp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11971
b1987,0.054184739100000004,cbl,DNA-binding transcriptional activator Cbl,Transcription,cbl,"RpoD,YdcR,NtrC,CysB,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b2662,0.053179655400000005,gabT,4-aminobutyrate aminotransferase GabT,Amino acid transport and metabolism,csiD-lhgO-gabDTP,"RpoD,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10361
b3214,-0.0546141016,gltF,periplasmic protein GltF,Cell motility,gltBDF,"RpoD,YeiE,RpoS,Nac,Fur,Fnr,Crp,AdiY,ArgR,Lrp,IHF,HdfR,GadE,LeuO,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11514
b1981,-0.0546861447,shiA,shikimate:H(+) symporter,Inorganic ion transport and metabolism,shiA,"RpoD,ryhB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7067
b1840,-0.0579399908,yebZ,putative inner membrane protein,Inorganic ion transport and metabolism,yobA-yebZY,fnrS,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7013
b4518,-0.0605195689,ymdF,conserved protein YmdF,No COG annotation,ymdF,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10443
b1841,-0.0701880699,yobA,CopC domain-containing protein,Function unknown,yobA-yebZY,"YdcI,fnrS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7014
b0338,-0.0706954013,cynR,DNA-binding transcriptional dual regulator CynR,Transcription,cynR,"RpoD,CynR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11421
b3523,-0.0902813481,yhjE,putative transporter YhjE,Inorganic ion transport and metabolism,yhjE,"ppGpp,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12249
b0450,-0.09810277120000001,glnK,nitrogen regulator GlnK,Transcription,glnK-amtB,"RpoN,GadX,NtrC,Fur,Fnr,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12191
b3213,-0.1254132566,gltD,glutamate synthase subunit GltD,Energy production and conversion,gltBDF,"RpoD,RpoS,Nac,Fur,Fnr,Crp,AdiY,ArgR,ppGpp,Lrp,IHF,HdfR,GadE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10404
b3212,-0.1255330097,gltB,glutamate synthase subunit GltB,Amino acid transport and metabolism,gltBDF,"RpoD,YebK,YiaU,RpoS,Nac,Fur,Fnr,Crp,AdiY,ArgR,ppGpp,Lrp,IHF,HdfR,GadE",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10403
b2913,-0.1367605592,serA,phosphoglycerate dehydrogenase,Amino acid transport and metabolism,serA,"RpoD,gcvB,Crp,Nac,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10944
b3744,-0.18905173760000002,asnA,asparagine synthetase A,Nucleotide transport and metabolism,asnA,"RpoD,AsnC,Lrp,Nac,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10091
