locus,gene_weight,gene_name,gene_product,COG,operon,regulator,gcvB,link
b3504,0.0935815864,yhiS,putative uncharacterized protein YhiS,No COG annotation,,YbcM,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12238
b2108,0.0935205226,yehA,putative fimbrial adhesin YehA,Cell motility,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11987
b4038,0.09249112400000001,yjbI,pentapeptide repeats-containing protein YjbI,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11927
b2626,0.0911736942,yfjJ,CP4-57 prophage%3B protein YfjJ,Function unknown,yfjJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7361
b0544,0.0907130701,ybcK,DLP12 prophage%3B putative recombinase,"Replication, recombination and repair",ybcK,"YciT,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6300
b4590,0.08956466510000001,ybfK,uncharacterized protein YbfK,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10586
b3120,0.08865304140000001,yhaB,protein YhaB,No COG annotation,,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11173
b4066,0.0873602607,yjcF,pentapeptide repeat-containing protein YjcF,Function unknown,yjcF,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11941
b1460,0.0842081531,ydcC,H repeat-associated putative transposase YdcC,"Replication, recombination and repair",ydcC,YdcR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11526
b2625,0.0825722711,yfjI,CP4-57 prophage%3B protein YfjI,Function unknown,yfjI,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7360
b3596,0.08247228990000001,yibG,tetratricopeptide-like domain-containing protein YibG,Function unknown,,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11763
b4494,0.0818450461,arpB,putative ankyrin repeat protein B%2C N-terminal fragment,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6926
b4325,0.0799419767,yjiC,uncharacterized protein YjiC,Function unknown,yjiC,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7922
b3484,0.0789193041,yhhI,putative transposase,"Replication, recombination and repair",yhhI,YdcR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11525
b3488,0.0786710347,yhiJ,DUF4049 domain-containing protein YhiJ,Function unknown,yhiJ,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12225
b0558,0.077980201,ybcV,DLP12 prophage%3B protein YbcV,Amino acid transport and metabolism,,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6313
b0535,0.0774607326,fimZ,putative LuxR family transcriptional regulator FimZ,Transcription,,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11103
b3121,0.0762718069,yhaC,uncharacterized protein YhaC,No COG annotation,,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11174
b1459,0.07227707900000001,yncI,putative transposase YncI,"Replication, recombination and repair",,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6767
b2273,0.0716730143,yfbN,uncharacterized protein YfbN,No COG annotation,,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7180
b4017,0.0700851054,arpA,regulator of acetyl CoA synthetase,Function unknown,arpA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11208
b2778,0.0699845582,ygcG,protein YgcG,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7444
b0218,0.0698469882,yafU,putative inner membrane protein,Function unknown,,"RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6102
b0531,0.0693523161,sfmC,putative fimbrial chaperone SfmC,Cell motility,,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6291
b1730,0.0690533115,ydjO,protein YdjO,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6935
b4215,0.06821367190000001,ytfI,protein YtfI,No COG annotation,ytfI,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7870
b0530,0.0672245352,sfmA,putative fimbrial protein SfmA,Cell motility,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6290
b1001,0.0657448229,yccE,uncharacterized protein YccE,No COG annotation,yccE,RpoH,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12196
b1346,0.0647787501,xisR,Rac prophage%3B excisionase,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6677
b0310,0.0642988886,ykgH,uncharacterized protein YkgH,No COG annotation,,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6180
b2109,0.0632624376,yehB,putative fimbrial usher protein YehB,Cell motility,yehDCBA,"YdcN,YidZ",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11988
b2345,0.0631711776,yfdF,protein YfdF,No COG annotation,yfdF,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7215
b0705,0.0613773725,ybfL,putative transposase YbfL,"Replication, recombination and repair",ybfL,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6377
b0140,0.061120816200000004,yadV,putative fimbrial chaperone YadV,Cell wall/membrane/envelope biogenesis,,"RpoD,RpoS,IHF,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11973
b4621,0.0610668673,yjbS,uncharacterized protein YjbS,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10607
b2111,0.0604361468,yehD,putative fimbrial protein YehD,Cell motility,yehDCBA,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11990
b1161,0.06007019,ycgX,uncharacterized protein YcgX,Function unknown,ycgX,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6601
b0217,0.0597464663,yafT,lipoprotein YafT,No COG annotation,yafT,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6101
b3723,0.0594636241,bglG,transcriptional antiterminator BglG,Transcription,bglGFB,"StpA,Crp,LeuO,RcsB-BglJ,Fis,H-NS,BglG",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10116
b0499,0.058913225900000005,ylbH,putative RHS domain-containing protein YlbH,Cell wall/membrane/envelope biogenesis,rhsD-ybbC-ylbH-ybbD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6271
b4615,0.058804980900000005,yibV,PF15596 family protein YibV,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10605
b0141,0.0584007855,yadN,putative fimbrial protein YadN,Cell motility,,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12328
b2846,0.058240779400000005,yqeH,putative LuxR family transcriptional regulator YqeH,Transcription,yqeH,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7466
b2774,0.0574099582,ygcW,putative deoxygluconate dehydrogenase,Lipid transport and metabolism,ygcW,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7440
b2271,0.055925729,yfbL,putative peptidase YfbL,Function unknown,,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7178
b1553,0.055755676000000004,rzpQ,Qin prophage%3B DUF2514 domain-containing protein RzpQ,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6826
b0497,0.0540049528,rhsD,protein RhsD,Cell wall/membrane/envelope biogenesis,rhsD-ybbC-ylbH-ybbD,"YbaQ,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10849
b0551,0.0516777469,ybcQ,DLP12 prophage%3B putative antitermination protein,Transcription,,YeiE,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6307
b1029,0.05063905,ycdU,uncharacterized protein YcdU,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6536
b2858,0.050047534000000005,ygeN,putative type III secretion system protein,No COG annotation,,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7478
b2110,0.0497985179,yehC,putative fimbrial chaperone YehC,Cell motility,yehDCBA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11989
b2274,0.049674828500000004,yfbO,uncharacterized protein YfbO,No COG annotation,yfbO,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7181
b1862,0.0491614492,yebB,putative papain-like amidase YebB,Function unknown,,"RpoD,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11136
b4365,0.0488067218,yjjQ,DNA-binding transcriptional repressor YjjQ,Transcription,,"RpoD,LeuO,H-NS,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7947
b2986,0.0485664275,yghT,putative ATP-binding protein YghT,Nucleotide transport and metabolism,,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7552
b1168,0.0484224755,pdeG,putative c-di-GMP phosphodiesterase PdeG,Signal transduction mechanisms,pdeG,"YfeD,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6608
b0704,0.0478747078,ybfC,uncharacterized protein YbfC,No COG annotation,ybfOC,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11523
b1932,0.0468015825,yedL,putative acetyltransferase YedL,Transcription,yedL,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7040
b0534,0.0451758874,sfmF,putative fimbrial protein SfmF,Cell motility,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12388
b0693,0.044754865500000005,speF,ornithine decarboxylase%2C degradative,Amino acid transport and metabolism,speF-potE,"YeiE,OmpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10964
b4254,0.044669348000000005,argI,ornithine carbamoyltransferase ArgI,Amino acid transport and metabolism,argI,"RpoD,ArgR,ppGpp,DksA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10069
b2845,0.0439284181,yqeG,putative transporter YqeG,Amino acid transport and metabolism,yqeG,"ppGpp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7465
b3142,0.0436354013,yraH,putative fimbrial protein YraH,Cell motility,yraH,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7637
b0703,0.0434921526,ybfO,conserved protein%2C rhs-like YbfO,Cell wall/membrane/envelope biogenesis,ybfOC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6376
b0502,0.0430618037,ylbG,putative DNA-binding transcriptional regulator YlbG,"Replication, recombination and repair",,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6273
b3896,0.042960401100000004,yiiG,DUF3829 domain-containing lipoprotein YiiG,Function unknown,yiiG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11860
b1555,-0.0437059557,ydfR,Qin prophage%3B protein YdfR,Function unknown,,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6828
b1541,-0.0456930877,ydfZ,putative selenoprotein YdfZ,Function unknown,ydfZ,Fnr,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6815
b4538,-0.0483232943,yoeF,CP4-44 prophage%3B putative uncharacterized protein YoeF,Amino acid transport and metabolism,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10456
b0985,-0.054740398700000005,gfcC,capsule biosynthesis GfcC family protein,Function unknown,gfcBCD,"YcjW,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6506
b0505,-0.07081482480000001,allA,ureidoglycolate lyase,Nucleotide transport and metabolism,allA,"YcjW,AllR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6275
b2669,-0.07156074920000001,stpA,DNA-binding transcriptional repressor StpA with RNA chaperone activity,Transcription,stpA,"RpoD,StpA,Lrp,H-NS,ArgR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11554
