locus,comp,gene_name,product,operon,TF,crp,link
b4240,0.07144287039210001,treB,trehalose PTS permease - TreB subunit,treBC,"arcA, cra, crp, rpoD, treR, ybiH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12127
b3225,0.0712430796135,nanA,<i>N</i>-acetylneuraminate lyase,nanATEK-yhcH,"crp, fis, nac, nanR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10637
b2844,0.0706518327043,yqeF,predicted acyltransferase,yqeF,"crp, lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7464
b3588,0.0704463391535,aldB,acetaldehyde dehydrogenase,aldB,"crp, fis, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12292
b2535,0.0686146760673,csiE,stationary phase inducible protein,csiE,"crp, h-NS, lrp, nac, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7329
b0598,0.0681788322891,cstA,peptide transporter induced by carbon starvation,cstA,"crp, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10167
b1441,0.0679749765245,ydcT,"putative transport protein, ABC superfamily - ATP binding component",ydcSTUV-patD,"nac, rpoS, yeiE",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6752
b1976,0.065735608125,mtfA,Mlc titration factor,mtfA,crp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7063
b2151,0.0648494384519,galS,GalS DNA-binding transcriptional dual regulator,galS,"argR, crp, galR, galS, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10365
b4487,0.0643817244286,yjdP,conserved protein,yjdP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-9541
b1776,0.0626088216166,ydjL,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",ydjLKJIHG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6963
b3020,0.061701032729,ygiS,"putative transport protein, ABC superfamily - periplasmic binding protein",ygiS,nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7570
b2166,0.06131944990090001,psuK,predicted pseudouridine kinase,psuKG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11646
b3224,0.061029449997199996,nanT,N-acetylneuraminate:H<sup>+</sup> symporter,nanATEK-yhcH,"crp, fis, nac, nanR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G436
b0721,0.0595686342006,sdhC,"succinate:quinone oxidoreductase, membrane protein SdhC",sdhCDAB-sucABCD,"arcA, crp, fnr, fur, nac, rpoD, ydcI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10933
b2272,0.059001209357699994,yfbM,putative protein,yfbM,arcA,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7179
b3132,0.0587400398228,kbaZ,"tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",kbaZ-agaVWA,"agaR, crp, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7631
b0729,0.058112689164,sucD,"succinyl-CoA synthetase, &alpha; subunit",sdhCDAB-sucABCD,"arcA, crp, fnr, fur, ihf, nac, rpoD, rpoS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10982
b4139,0.057146448204699996,aspA,aspartate ammonia-lyase,aspA-dcuA,"crp, fnr, lrp, narL, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10095
b1442,0.0564245452628,ydcU,"putative transport protein, ABC superfamily - membrane component",ydcSTUV-patD,"nac, rpoS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6753
b2869,0.05635866604690001,ygeV,putative transcriptional regulator,ygeV,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7488
b0899,0.055875888110699996,ycaM,"putative transport protein,  amino acid-polyamine-organocation (APC) superfamily",ycaM,lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6466
b1895,0.055111509882399996,uspC,universal stress protein,uspC,"arcA, nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7031
b3934,0.0548756865524,cytR,CytR DNA-binding transcriptional repressor,cytR,"crp, cytR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10200
b3748,0.05470328600819999,rbsD,ribose pyranase,rbsDACBKR,"crp, rbsR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10817
b3081,0.054648257048699994,fadH,"2,4-dienoyl-CoA reductase",fadH,"arcA, crp, fadR, hipB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G36
b3133,0.054641006972,agaV,<I>N</I>-acetyl-D-galactosamine PTS permease (cryptic) - AgaV subunit,kbaZ-agaVWA,rpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7632
b2957,0.0545710555687,ansB,asparaginase II,ansB,"crp, fis, fnr, lrp, nac, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10046
b0080,0.0544320532556,cra,Cra DNA-binding transcriptional dual regulator,cra,"phoB, rpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10338
b3134,0.0539214396681,agaW,<I>N</I>-acetyl-D-galactosamine PTS permease (cryptic) - AgaW subunit (pseudogene),kbaZ-agaVWA,rpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7633
b1853,0.053668685652300006,yebK,YebK DNA-binding transcriptional repressor,yebK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12860
b0269,0.0535730968668,yagF,CP4-6 prophage; D-xylonate dehydratase,yagEF,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6141
b0306,0.053472953949699996,ykgE,predicted oxidoreductase,ykgEFG,"lrp, yieP",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6176
b1617,0.053410671365,uidA,&beta;-D-glucuronidase,uidABC,"crp, uidR, uxuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11055
b3092,0.0527683088192,uxaC,D-glucuronate isomerase/D-galacturonate isomerase,uxaCA,"arcA, crp, exuR, fnr, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G81
b3570,0.05268587609830002,bax,conserved protein,bax,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11360
b4128,-0.05796980315600001,ghoS,antitoxin of the GhoTS toxin-antitoxin system,ghoST,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7830
b4123,-0.0589014809755,dcuB,dicarboxylate transporter DcuB,dcuB-fumB,"arcA, crp, dcuR, fnr, lrp, narL, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10006
b1020,-0.060343702452099995,phoH,ATP-binding protein,phoH,"arcA, nac, phoB, rpoD",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11734
b1008,-0.06121606737380001,rutE,predicted malonic semialdehyde reductase,rutABCDEFG,"arcA, nac, ntrC, phoP, rpoN, rutR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6519
b0836,-0.062096823857500004,bssR,regulator of biofilm formation,bssR,"arcA, fnr",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
