locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoH,link
b0016,0.1049816368,insL-1,IS186/IS421 transposase,"Replication, recombination and repair",insL-1,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6083
b0659,0.0886896853,ybeY,endoribonuclease YbeY,"Translation, ribosomal structure and biogenesis",ybeZYX-lnt,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6362
b0582,0.0878608541,insL-2,IS186/IS421 transposase,"Replication, recombination and repair",insL-2,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6327
b0660,0.0878192727,ybeZ,PhoH-like protein,Signal transduction mechanisms,ybeZYX-lnt,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6363
b2394,0.085662392,insL-3,putative IS186/IS421 transposase,"Replication, recombination and repair",insL-3,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7255
b3343,0.0842721889,tusB,sulfurtransferase complex subunit TusB,"Translation, ribosomal structure and biogenesis",yheO-tusDCB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7712
b3498,0.08352619950000001,prlC,oligopeptidase A,Amino acid transport and metabolism,prlC-rsmJ,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11441
b3497,0.0745594115,rsmJ,16S rRNA m(2)G1516 methyltransferase,"Translation, ribosomal structure and biogenesis",prlC-rsmJ,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12233
b1380,0.0639691548,ldhA,D-lactate dehydrogenase,Energy production and conversion,ldhA,"YheO,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G592
b1114,0.0628864185,mfd,transcription-repair coupling factor,"Replication, recombination and repair",mfd,"RpoD,YfeC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11619
b0658,0.0577987659,ybeX,CorC-HlyC family protein YbeX,Inorganic ion transport and metabolism,ybeZYX-lnt,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6361
b0966,0.0566282638,hspQ,heat shock protein%2C hemimethylated DNA-binding protein,Function unknown,hspQ,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6500
b1780,0.0552395018,yeaD,putative aldose 1-epimerase YeaD,Carbohydrate transport and metabolism,gapA-yeaD,"RpoH,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6966
b3399,0.0549295417,yrfG,purine nucleotidase,Function unknown,yrfG-hslRO,"YidZ,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7742
b3179,0.053933453400000005,rlmE,23S rRNA 2'-O-ribose U2552 methyltransferase,"Translation, ribosomal structure and biogenesis",rlmE-ftsH,"RpoD,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11507
b1779,0.0531572809,gapA,glyceraldehyde-3-phosphate dehydrogenase A,Nucleotide transport and metabolism,gapA-yeaD,"RpoD,RpoH,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10367
b3293,0.0529422804,yhdN,conserved protein YhdN,Function unknown,yhdN-zntR,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11970
b3292,0.0518978768,zntR,DNA-binding transcriptional activator ZntR,Transcription,yhdN-zntR,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11969
b4171,0.0514148239,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis",yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC,"RpoD,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10595
b3067,0.051140352,rpoD,RNA polymerase%2C sigma 70 (sigma D) factor,Transcription,rpsU-dnaG-rpoD,"RpoD,RpoE,RpoH,ppGpp,LexA,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10896
b0657,0.0461471374,lnt,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,ybeZYX-lnt,"RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10168
b3414,0.0419768409,nfuA,iron-sulfur cluster carrier protein NfuA,"Post-translational modification, protein turnover,and chaperones",yhgH-nfuA,"RpoD,RpoH,GntR,Crp,IscR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7748
b1060,0.0403597329,bssS,regulator of biofilm formation,Function unknown,bssS,"RpoD,RpoH,YhaJ,Lrp,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6557
b3930,0.0367509138,menA,1%2C4-dihydroxy-2-naphthoate octaprenyltransferase,Coenzyme transport and metabolism,menA-rraA,"RpoD,ppGpp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11880
b3178,0.036711830200000004,ftsH,ATP-dependent zinc metalloprotease FtsH,"Post-translational modification, protein turnover,and chaperones",rlmE-ftsH,"RpoD,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11506
