locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,BexR,link
PA1204,0.151837136,PA1204,,NAD(P)H-dependent FMN reductase,Function unknown,BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1204&e1=1&assembly=complete
PA2428,0.12127423700000001,PA2428,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2428&e1=1&assembly=complete
PA2699,0.095945164,PA2699,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2699&e1=1&assembly=complete
PA1207,0.094073262,kefB,,glutathione-regulated potassium-efflux system protein KefB,Inorganic ion transport and metabolism,BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1207&e1=1&assembly=complete
PA1206,0.082900108,PA1206,,hypothetical protein,Function unknown,BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1206&e1=1&assembly=complete
PA2433,0.07776965200000001,PA2433,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2433&e1=1&assembly=complete
PA4661,0.072673919,pagL,,lipid A 3-O-deacylase,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4661&e1=1&assembly=complete
PA2290,0.069465711,gcd,,glucose dehydrogenase,Carbohydrate transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2290&e1=1&assembly=complete
PA1249,0.061169602000000003,aprA,,alkaline metalloproteinase,"Secondary metabolites biosynthesis, transport, and catabolism","LasR,BexR",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1249&e1=1&assembly=complete
PA0571,0.05777739,PA0571,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0571&e1=1&assembly=complete
PA2429,0.052629537000000004,PA2429,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2429&e1=1&assembly=complete
PA1245,0.051687548,PA1245,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1245&e1=1&assembly=complete
PA1247,0.049925186,aprE,,alkaline protease secretion protein AprE,Cell wall/membrane/envelope biogenesis,LasR,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1247&e1=1&assembly=complete
