locus,gene_weight,gene_name,gene_product,cog,operon,regulator,RpoH,link
b0659,0.0764320641,ybeY,endoribonuclease YbeY,"Translation, ribosomal structure and biogenesis",ybeZYX-lnt,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6362
b3497,0.0743668266,rsmJ,16S rRNA m(2)G1516 methyltransferase,"Translation, ribosomal structure and biogenesis",prlC-rsmJ,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12233
b3292,0.0739092996,zntR,DNA-binding transcriptional activator ZntR,Transcription,yhdN-zntR,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11969
b0966,0.0729514851,hspQ,heat shock protein%2C hemimethylated DNA-binding protein,Function unknown,hspQ,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6500
b3293,0.0718193775,yhdN,conserved protein YhdN,Function unknown,yhdN-zntR,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11970
b3399,0.0639649664,yrfG,purine nucleotidase,Function unknown,yrfG-hslRO,"YidZ,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7742
b1779,0.057767837,gapA,glyceraldehyde-3-phosphate dehydrogenase A,Nucleotide transport and metabolism,gapA-yeaD,"RpoD,RpoH,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10367
b1380,0.0559012891,ldhA,D-lactate dehydrogenase,Energy production and conversion,ldhA,"YheO,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G592
b1114,0.0557016195,mfd,transcription-repair coupling factor,"Replication, recombination and repair",mfd,"RpoD,YfeC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11619
b4171,0.0535806535,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis",yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC,"RpoD,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10595
b1780,0.0518670206,yeaD,putative aldose 1-epimerase YeaD,Carbohydrate transport and metabolism,gapA-yeaD,"RpoH,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6966
b1274,0.0507726973,topA,DNA topoisomerase 1,"Replication, recombination and repair",topA,"RpoD,RpoH,RpoS,Fis,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11013
b3179,0.048971793900000005,rlmE,23S rRNA 2'-O-ribose U2552 methyltransferase,"Translation, ribosomal structure and biogenesis",rlmE-ftsH,"RpoD,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11507
b0658,0.0461527068,ybeX,CorC-HlyC family protein YbeX,Inorganic ion transport and metabolism,ybeZYX-lnt,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6361
b1829,0.042159321300000004,htpX,zinc dependent endoprotease,"Post-translational modification, protein turnover,and chaperones",htpX,"RpoH,OmpR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10462
b3067,0.0417568195,rpoD,RNA polymerase%2C sigma 70 (sigma D) factor,Transcription,rpsU-dnaG-rpoD,"RpoD,RpoE,RpoH,ppGpp,LexA,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10896
b3413,0.0413391677,yhgH,DNA utilization protein YhgH,Function unknown,yhgH-nfuA,"RpoD,GntR,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7747
