locus,gene_weight,gene_name,gene_product,cog,regulator,CovR,link
SP5448_08655,0.074236432,appA_2,nickel ABC transporter substrate-binding protein,Amino acid transport and metabolism,"AdcR,CovR,Rgg,MtsR_M49,CodY_M49,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1672%22)
SP5448_06300,0.074209124,SP5448_06300,cell surface protein,Cell wall/membrane/envelope biogenesis,"Mga,Rgg,Rgg,MtsR_M49,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1207%22)
SP5448_08100,0.0719018801,yceD,DNA-binding protein,Transcription,"CovR,CovR,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1569%22)
SP5448_06730,0.0713953744,sagC,streptolysin associated protein SagC,Function unknown,"CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR,CovR,CovR,CovR,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1293%22)
SP5448_04445,0.0693752425,SP5448_04445,hypothetical protein,Function unknown,Mga,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.836%22)
SP5448_08910,0.0690135167,Z012_04635,MutR family transcriptional regulator,Transcription,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1727%22)
SP5448_06295,0.06865647100000001,pdxH,hypothetical protein,Function unknown,"Mga,Rgg,Rgg,MtsR_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1206%22)
SP5448_08735,0.0669137633,mga,M protein trans-acting positive regulator,Transcription,"Mga,Mga,Rgg,Nra_exponetional_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1688%22)
SP5448_08645,0.06543541110000001,SP5448_08645,exotoxin Z,Function unknown,"Mga,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1670%22)
SP5448_04720,-0.0681416519,SP5448_04720,hypothetical protein,Cell motility,"CovR,Rgg,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.891%22)
SP5448_03690,-0.0688051736,eae,tail protein,Cell motility,"CovR,Phage_2",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.686%22)
SP5448_06225,-0.07483385740000001,SP5448_06225,exosortase,Function unknown,,False,
SP5448_06230,-0.0934013133,SP5448_06230,transposase,"Replication, recombination and repair",,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1193%22)
SP5448_06210,-0.10017320900000001,ndk_3,nucleoside diphosphate kinase,Nucleotide transport and metabolism,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1189%22)
SP5448_00900,-0.1094335028,SP5448_00900,hypothetical protein,Function unknown,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.145%22)
SP5448_03880,-0.12721604320000002,SP5448_03880,hypothetical protein,Function unknown,"CovR,Rgg,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.725%22)
SP5448_03885,-0.127422124,SP5448_03885,hypothetical protein,Defense mechanisms,"CovR,Rgg,CovR,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.726%22)
SP5448_03890,-0.1284537776,SP5448_03890,peptidase S11,Defense mechanisms,"CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.727%22)
