locus,gene_weight,gene_name,gene_product,cog,regulator,ppGpp,link
b3643,0.073544241885399,rph,truncated RNase PH,"Translation, ribosomal structure and biogenesis",,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10863
b3084,0.0731335707516496,rlmG,23S rRNA m(2)G1835 methyltransferase,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7603
b1807,0.0701609567251224,tsaB,N(6)-L-threonylcarbamoyladenine synthase%2C TsaB subunit,"Post-translational modification, protein turnover,and chaperones",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6991
b4469,0.0691573223450196,ygiQ,radical SAM superfamily protein YgiQ,Energy production and conversion,"YdcN,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7568
b2518,0.0690793954675585,ndk,nucleoside diphosphate kinase,Nucleotide transport and metabolism,"ppGpp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10650
b2081,0.0690115977303509,yegQ,putative peptidase YegQ,"Post-translational modification, protein turnover,and chaperones",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7118
b3065,0.0674195874074729,rpsU,30S ribosomal subunit protein S21,"Translation, ribosomal structure and biogenesis","RpoD,YidZ,ppGpp,LexA,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10920
b2765,0.0673811763540408,queD,6-carboxy-5%2C6%2C7%2C8-tetrahydropterin synthase,Nucleotide transport and metabolism,"ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7431
b3470,0.066190933062911,tusA,sulfur transfer protein TusA,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12216
b1086,0.0647592382168327,rluC,23S rRNA pseudouridine(955/2504/2580) synthase,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11118
b0143,0.063386932861311,pcnB,poly(A) polymerase I,Nucleotide transport and metabolism,"RpoD,RpoS,ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10690
b1133,0.0631864319386073,mnmA,tRNA-specific 2-thiouridylase,"Translation, ribosomal structure and biogenesis","ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11344
b1821,0.0620470748692483,mntP,Mn(2(+)) exporter,Inorganic ion transport and metabolism,"RpoD,Fur,MntR,ppGpp,Mn2;",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6999
b0945,0.0619650620934406,pyrD,dihydroorotate dehydrogenase%2C type 2,Nucleotide transport and metabolism,"RpoD,PurR,Fis,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10807
b2140,0.0611533087347245,dusC,tRNA-dihydrouridine(16) synthase,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12022
b1281,0.0610946260958834,pyrF,orotidine-5'-phosphate decarboxylase,Nucleotide transport and metabolism,"RpoD,RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10809
b3642,0.0610797412558005,pyrE,orotate phosphoribosyltransferase,Nucleotide transport and metabolism,UTP,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10808
b3741,0.0606914686862639,mnmG,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,"Cell cycle control, cell division, chromosome partitioning","RpoD,RpoS,Nac,AsnC,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10375
b0859,0.0599221094223928,rlmC,23S rRNA m(5)U747 methyltransferase,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6449
b3186,0.0586143942973672,rplU,50S ribosomal subunit protein L21,"Translation, ribosomal structure and biogenesis","RpoD,ppGpp,MlrA,DksA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50001
b4155,0.0584252022706486,epmA,EF-P-lysine lysyltransferase,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11211
b2344,0.0581370388325825,fadL,long-chain fatty acid outer membrane channel/bacteriophage T2 receptor,Cell wall/membrane/envelope biogenesis,"PhoP,YbiH,RpoS,ArcA,Crp,ppGpp,OmpR,FadR,Lrp,rybB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10280
b1282,0.0573548763402102,yciH,putative translation factor,"Translation, ribosomal structure and biogenesis","RpoD,RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11128
b2576,0.0572448378277753,srmB,ATP-dependent RNA helicase SrmB,Nucleotide transport and metabolism,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10975
b2498,0.0567412641620783,upp,uracil phosphoribosyltransferase,Nucleotide transport and metabolism,"RpoD,Fnr,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11332
b2069,0.055500805604556,yegD,HSP70 family protein YegD,"Post-translational modification, protein turnover,and chaperones",YidZ,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12200
b4372,0.0553611814736598,holD,DNA polymerase III subunit psi,"Replication, recombination and repair",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11414
b0142,0.0548617509371726,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,"RpoD,RpoS,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11374
b0807,0.0548412648399872,rlmF,23S rRNA m(6)A1618 methyltransferase,"Translation, ribosomal structure and biogenesis","ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6416
b0884,0.054830364346961,infA,translation initiation factor IF-1,"Translation, ribosomal structure and biogenesis","RpoD,YeiE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10504
b0423,0.0547891520476758,thiI,tRNA uridine 4-sulfurtransferase,Nucleotide transport and metabolism,"ppGpp,SAM",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6238
b1627,0.0545469621461071,rsxA,SoxR [2Fe-2S] reducing system protein RsxA,Energy production and conversion,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6871
b3185,0.0539750944129194,rpmA,50S ribosomal subunit protein L27,"Translation, ribosomal structure and biogenesis","RpoD,ppGpp,MlrA,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50002
b0477,0.053765000103979,gsk,inosine/guanosine kinase,Nucleotide transport and metabolism,"YbaQ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11102
b2517,0.0537464769535584,rlmN,23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12401
b0910,0.0533783017824512,cmk,cytidylate kinase,Nucleotide transport and metabolism,"RpoD,YfeC,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11265
b3703,0.0530071607836112,rpmH,50S ribosomal subunit protein L34,"Translation, ribosomal structure and biogenesis","YfeC,Nac,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10892
b1628,0.0521145732602581,rsxB,SoxR [2Fe-2S] reducing system protein RsxB,Energy production and conversion,"YbaQ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6872
b3471,0.0519978789688539,yhhQ,putative queuosine precursor transporter,"Intracellular trafficking, secretion, and vesicular transport","ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12217
b4373,0.0519753480080656,rimI,ribosomal-protein-S18-alanine N-acetyltransferase,Transcription,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10850
b3175,0.051588839045518,secG,Sec translocon subunit SecG,"Intracellular trafficking, secretion, and vesicular transport","RpoD,YdhB,YdiP,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12095
b3184,0.0515445169644351,yhbE,inner membrane protein YhbE,Amino acid transport and metabolism,"RpoD,ppGpp,MlrA,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11499
b0211,0.051245740429811,mltD,membrane-bound lytic murein transglycosylase D,Cell wall/membrane/envelope biogenesis,"YdcN,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10246
b1343,0.0511777660339604,dbpA,ATP-dependent RNA helicase DbpA,Nucleotide transport and metabolism,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10210
b2175,0.0508332833695827,mepS,peptidoglycan DD-endopeptidase/peptidoglycan LD-carboxypeptidase,Cell wall/membrane/envelope biogenesis,"YebK,YedW,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7147
b1626,0.0503768231340496,ydgK,conserved inner membrane protein YdgK,Function unknown,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6870
b0661,0.0503670590576335,miaB,isopentenyl-adenosine A37 tRNA methylthiolase,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6364
b0874,0.0497364375439884,lysO,L-lysine exporter,Function unknown,"RpoD,ArgR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6458
b0469,0.0496017867170966,apt,adenine phosphoribosyltransferase,Nucleotide transport and metabolism,"RpoD,ppGpp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10051
b1132,0.0494654839153991,hflD,lysogenization regulator,Function unknown,"RpoD,ppGpp,PurR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11345
b3705,0.0492874891226326,yidC,membrane protein insertase YidC,"Intracellular trafficking, secretion, and vesicular transport","YbaQ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11197
b1069,0.0487344149278575,murJ,putative lipid II flippase MurJ,Function unknown,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6561
b2211,0.0485229465607158,yojI,ABC transporter family protein/microcin J25 efflux protein,Inorganic ion transport and metabolism,"RpoD,YdcI,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12070
