locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FleQ,link
PP_0704,0.1225495983044058,PP_0704,RNA polymerase sigma-70 factor%2C ECF subfamily,Transcription,Op463,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0704&e1=1&assembly=complete
PP_0913,0.1222279887074472,PP_0913,conserved exported protein of unknown function,Inorganic ion transport and metabolism,Op584,"FliA,Fur",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0913&e1=1&assembly=complete
PP_0862,0.1215989251256548,PP_0862,PKHD-type hydroxylase PP_0862,Function unknown,Op559,"FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0862&e1=1&assembly=complete
PP_0271,0.1192264911612529,gltR-I,DNA-binding response regulator,Transcription,Op182,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0271&e1=1&assembly=complete
PP_2192,0.1165423170719222,PP_2192,putative RNA polymerase sigma-70 factor%2C ECF subfamily/transmembrane sensor protein,Transcription,Op1416,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2192&e1=1&assembly=complete
PP_4611,0.1154301427776131,PP_4611,RNA polymerase sigma-70 factor%2C ECF subfamily,Transcription,Op3000,"GacA,FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4611&e1=1&assembly=complete
PP_3576,0.1123966368899962,PP_3576,putative Transmembrane sensor,Inorganic ion transport and metabolism,Op2325,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3576&e1=1&assembly=complete
PP_0668,0.1101541516785337,PP_0668,putative Transmembrane sensor,Inorganic ion transport and metabolism,Op432,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0668&e1=1&assembly=complete
PP_0667,0.1076905665326343,PP_0667,RNA polymerase sigma-70 factor%2C ECF subfamily,Transcription,Op432,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0667&e1=1&assembly=complete
PP_4208,0.1063048695767712,PP_4208,RNA polymerase sigma-70 factor%2C ECF subfamily,Transcription,Op2729,Fur,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4208&e1=1&assembly=complete
PP_0700,0.0990326543930301,PP_0700,putative Transmembrane sensor,Inorganic ion transport and metabolism,Op460,TurA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0700&e1=1&assembly=complete
PP_3155,0.0948222100036832,PP_3155,putative Outer membrane ferric siderophore receptor,Cell wall/membrane/envelope biogenesis,Op2046,TurA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3155&e1=1&assembly=complete
PP_0685,0.0934896023785679,PP_0685,conserved protein of unknown function,No COG annotation,Op449,"AlgR,SoxR,FleQ,Fur,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0685&e1=1&assembly=complete
PP_0180,0.0919756293358412,PP_0180,putative cytochrome c family protein,Inorganic ion transport and metabolism,Op125,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0180&e1=1&assembly=complete
PP_0865,0.0911001576309737,PP_0865,ECF subfamily RNA polymerase sigma-24 factor,Transcription,Op561,Fur,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0865&e1=1&assembly=complete
PP_0162,0.0904486430835084,PP_0162,RNA polymerase sigma-70 factor%2C ECF subfamily,Transcription,Op113,"FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0162&e1=1&assembly=complete
PP_3086,0.0828501659889987,PP_3086,putative RNA polymerase sigma-70 factor,Transcription,Op2003,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3086&e1=1&assembly=complete
PP_3085,0.0810339962826549,PP_3085,putative Transmembrane sensor,Inorganic ion transport and metabolism,Op2003,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3085&e1=1&assembly=complete
PP_4610,0.0785110170938366,PP_4610,conserved protein of unknown function containing PepSY-associated TM helix domain,Function unknown,Op2999,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4610&e1=1&assembly=complete
PP_0863,0.07732805144828,PP_0863,conserved protein of unknown function,Function unknown,Op559,"FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0863&e1=1&assembly=complete
PP_4604,0.0762471222444086,PP_4604,putative permease of the drug/metabolite transporter (DMT) superfamily,Amino acid transport and metabolism,Op2996,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4604&e1=1&assembly=complete
PP_0161,0.0746748031065605,PP_0161,putative transmembrane sensor,Inorganic ion transport and metabolism,Op113,Fur,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0161&e1=1&assembly=complete
PP_0350,0.073834232024333,PP_0350,Outer membrane ferrichrome-iron receptor,Inorganic ion transport and metabolism,Op240,"GacA,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0350&e1=1&assembly=complete
PP_0861,0.0727646939254476,PP_0861,outer membrane ferric siderophore receptor,Inorganic ion transport and metabolism,Op558,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0861&e1=1&assembly=complete
PP_0482,-0.0940082318116629,bfr-I,bacterioferritin,Inorganic ion transport and metabolism,Op312,Fur,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0482&e1=1&assembly=complete
PP_1082,-0.1138598689648728,bfr-II,bacterioferritin,Inorganic ion transport and metabolism,Op676,"GbdR,FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1082&e1=1&assembly=complete
