locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA0014,0.062075409000000005,PA0014,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0014&e1=1&assembly=complete
PA0456,0.06126116400000001,PA0456,,cold-shock protein,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0456&e1=1&assembly=complete
PA3441,0.059764162,PA3441,,molybdopterin-binding protein,Coenzyme transport and metabolism,CysB,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3441&e1=1&assembly=complete
PA4637a,0.05950777300000001,PA4637a,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4637a&e1=1&assembly=complete
PA2412,0.059245165,PA2412,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2412&e1=1&assembly=complete
PA1804,0.058412256,hupB,,DNA-binding protein HU,"Replication, recombination and repair",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1804&e1=1&assembly=complete
PA0905,0.057960195000000006,rsmA,,carbon storage regulator,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0905&e1=1&assembly=complete
PA3245,0.05629565500000001,minE,,cell division topological specificity factor MinE,"Cell cycle control, cell division, chromosome partitioning",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3245&e1=1&assembly=complete
PA1852,0.05616083400000001,PA1852,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1852&e1=1&assembly=complete
PA2853,0.054832502000000005,oprI,,outer membrane lipoprotein OprI,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2853&e1=1&assembly=complete
PA4567,0.054746091000000004,rpmA,,50S ribosomal protein L27,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4567&e1=1&assembly=complete
PA5337,0.054097009,rpoZ,,DNA-directed RNA polymerase subunit omega,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5337&e1=1&assembly=complete
PA1830,0.053850132,PA1830,,hypothetical protein,Lipid transport and metabolism,PsrA,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1830&e1=1&assembly=complete
PA3742,0.052246294000000006,rplS,,50S ribosomal protein L19,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3742&e1=1&assembly=complete
PA3574a,0.051828299,PA3574a,,copper chaperone CopZ,Inorganic ion transport and metabolism,CueR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3574a&e1=1&assembly=complete
PA1177,0.050644924,napE,,nitrate reductase protein NapE,Energy production and conversion,RpoS,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1177&e1=1&assembly=complete
PA4432,0.05052157400000001,rpsI,,30S ribosomal protein S9,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4432&e1=1&assembly=complete
PA1574,0.050457712,PA1574,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1574&e1=1&assembly=complete
PA2453,0.049681241,PA2453,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2453&e1=1&assembly=complete
PA0039,0.049171452000000004,PA0039,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0039&e1=1&assembly=complete
PA1592,0.049056057,PA1592,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1592&e1=1&assembly=complete
PA3632,0.048556067,PA3632,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3632&e1=1&assembly=complete
PA4264,0.048547826,rpsJ,,30S ribosomal protein S10,"Translation, ribosomal structure and biogenesis",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4264&e1=1&assembly=complete
PA0329,0.047686348,PA0329,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0329&e1=1&assembly=complete
PA3533,0.0469438,PA3533,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3533&e1=1&assembly=complete
PA5559,0.046818234,atpE,,ATP synthase subunit C,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5559&e1=1&assembly=complete
PA4637,0.046790593000000005,PA4637,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4637&e1=1&assembly=complete
PA4042,0.046378884,xseB,,exodeoxyribonuclease VII small subunit,"Replication, recombination and repair",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4042&e1=1&assembly=complete
PA1869,0.046339805000000005,PA1869,,acyl carrier protein,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1869&e1=1&assembly=complete
PA0563,0.045653792000000006,PA0563,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0563&e1=1&assembly=complete
PA0648,0.044612534,PA0648,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0648&e1=1&assembly=complete
PA3057,0.043764040000000004,PA3057,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3057&e1=1&assembly=complete
PA4642,0.04367759,PA4642,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4642&e1=1&assembly=complete
PA0867,0.043281389,mliC,,lysozyme inhibitor,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0867&e1=1&assembly=complete
PA0362,0.043211467,fdx1,,4Fe-4S ferredoxin,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0362&e1=1&assembly=complete
PA3940,0.043209022,PA3940,,DNA binding protein,"Replication, recombination and repair",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3940&e1=1&assembly=complete
PA5068,0.043082255,tatA,,twin-arginine translocation protein TatA,"Intracellular trafficking, secretion, and vesicular transport",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5068&e1=1&assembly=complete
PA2883,0.04197855,PA2883,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2883&e1=1&assembly=complete
