,gene_name,accession,start,end,strand,gene_product,cog,uniprot,operon,regulator
PN96_RS00305,PN96_RS00305,NZ_CP009977.1,66329,66868,+,single-stranded DNA-binding protein,"Replication, recombination and repair",A0A3B7D0I8,Op60,
PN96_RS00310,csrD,NZ_CP009977.1,67106,69115,+,RNase E specificity factor CsrD,Signal transduction mechanisms,UPI000423DF5E,Op61,AphA
PN96_RS00315,PN96_RS00315,NZ_CP009977.1,69127,70572,+,hypothetical protein,Cell motility,UPI0003571CB5,Op61,
PN96_RS00320,pilO,NZ_CP009977.1,70569,71219,+,type 4a pilus biogenesis protein PilO,Cell motility,UPI000358088C,Op61,
PN96_RS00325,PN96_RS00325,NZ_CP009977.1,71212,71544,+,hypothetical protein,Function unknown,A0A3B7CW40,Op61,
PN96_RS00330,mshL,NZ_CP009977.1,71565,73244,+,pilus (MSHA type) biogenesis protein MshL,Cell motility,UPI0004628AB2,Op61,
PN96_RS00335,PN96_RS00335,NZ_CP009977.1,73289,74134,+,AAA family ATPase,"Intracellular trafficking, secretion, and vesicular transport",UPI0003582D6E,Op66,
PN96_RS00340,PN96_RS00340,NZ_CP009977.1,74119,75231,+,tetratricopeptide repeat protein,Function unknown,UPI0004F28713,Op66,
PN96_RS00345,PN96_RS00345,NZ_CP009977.1,75228,76952,+,GspE/PulE family protein,Cell motility,A0A1B1EF76,Op66,
PN96_RS00350,PN96_RS00350,NZ_CP009977.1,76961,78184,+,type II secretion system F family protein,Cell motility,UPI0003574A73,Op66,
PN96_RS00355,PN96_RS00355,NZ_CP009977.1,78188,78643,+,hypothetical protein,No COG annotation,UPI0003573A10,Op66,
PN96_RS00360,PN96_RS00360,NZ_CP009977.1,78932,79414,+,type II secretion system GspH family protein,Cell motility,UPI000357E192,Op71,
PN96_RS00365,PN96_RS00365,NZ_CP009977.1,79483,79713,+,MSHA biogenesis protein MshA,No COG annotation,UPI000357946C,Op73,
PN96_RS00370,PN96_RS00370,NZ_CP009977.1,79838,80326,+,prepilin-type N-terminal cleavage/methylation domain-containing protein,Cell motility,UPI000356F385,Op75,
PN96_RS00375,PN96_RS00375,NZ_CP009977.1,80323,80898,+,type II secretion system GspH family protein,Cell motility,UPI00035764F5,Op75,
PN96_RS00380,PN96_RS00380,NZ_CP009977.1,80898,81635,+,prepilin-type N-terminal cleavage/methylation domain-containing protein,Cell motility,UPI00035746F8,Op75,
PN96_RS00385,PN96_RS00385,NZ_CP009977.1,81625,82059,+,hypothetical protein,No COG annotation,UPI0003571BC1,Op75,
PN96_RS00390,PN96_RS00390,NZ_CP009977.1,82064,85765,+,hypothetical protein,No COG annotation,UPI0003572146,Op75,
PN96_RS00395,PN96_RS00395,NZ_CP009977.1,85918,86961,+,rod shape-determining protein,"Cell cycle control, cell division, chromosome partitioning",A0A1B1EF69,Op79,
PN96_RS00400,mreC,NZ_CP009977.1,87111,88010,+,rod shape-determining protein MreC,Cell wall/membrane/envelope biogenesis,UPI0003580625,Op82,
PN96_RS00405,mreD,NZ_CP009977.1,88000,88488,+,rod shape-determining protein MreD,Cell wall/membrane/envelope biogenesis,A0A1B1EFZ5,Op82,
PN96_RS00410,PN96_RS00410,NZ_CP009977.1,88493,89062,+,Maf-like protein,"Cell cycle control, cell division, chromosome partitioning",UPI00035711C2,Op82,
PN96_RS00415,rng,NZ_CP009977.1,89081,90550,+,ribonuclease G,"Translation, ribosomal structure and biogenesis",A0A1B1EF91,Op82,
PN96_RS00420,PN96_RS00420,NZ_CP009977.1,90562,94440,+,TIGR02099 family protein,Function unknown,UPI000357A8BA,Op82,
PN96_RS00425,PN96_RS00425,NZ_CP009977.1,94482,95303,+,carbon-nitrogen hydrolase family protein,Function unknown,UPI0003573318,Op89,
PN96_RS00430,tldD,NZ_CP009977.1,95315,96760,+,metalloprotease TldD,Function unknown,A0A1B1EF93,Op89,
PN96_RS00435,PN96_RS00435,NZ_CP009977.1,96834,98210,-,PhoH family protein,Signal transduction mechanisms,A0A1B1EF77,Op91,HapR
PN96_RS00440,rapA,NZ_CP009977.1,98778,101687,+,RNA polymerase-associated protein RapA,Transcription,A0A1B1EF61,Op93,
PN96_RS00445,PN96_RS00445,NZ_CP009977.1,101776,103041,-,divalent metal cation transporter,Inorganic ion transport and metabolism,UPI0004627274,Op96,
PN96_RS00450,rluA,NZ_CP009977.1,103437,104189,+,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,"Translation, ribosomal structure and biogenesis",UPI0003582DFB,Op98,
PN96_RS00455,PN96_RS00455,NZ_CP009977.1,104222,105184,+,D-2-hydroxyacid dehydrogenase,Energy production and conversion,UPI0003571FC1,Op98,
PN96_RS00460,PN96_RS00460,NZ_CP009977.1,105251,105778,-,ribosome-associated protein,Function unknown,A0A3B7D0F9,Op101,Crp
PN96_RS00465,pmbA,NZ_CP009977.1,105889,107232,+,metalloprotease PmbA,Function unknown,UPI000357EA4C,Op103,
PN96_RS00470,mgtE,NZ_CP009977.1,107311,108666,-,magnesium transporter,Inorganic ion transport and metabolism,A0A1B1EF86,Op105,
PN96_RS00475,PN96_RS00475,NZ_CP009977.1,108911,109186,-,HPr family phosphocarrier protein,Carbohydrate transport and metabolism,A0A1B1EF52,Op108,
PN96_RS00480,rapZ,NZ_CP009977.1,109189,110052,-,RNase adapter RapZ,Function unknown,A0A1B1EF81,Op108,
PN96_RS00485,ptsN,NZ_CP009977.1,110068,110514,-,PTS IIA-like nitrogen regulatory protein PtsN,Carbohydrate transport and metabolism,A0A1B1EF74,Op108,
PN96_RS00490,hpf,NZ_CP009977.1,110517,110804,-,ribosome hibernation promoting factor,"Translation, ribosomal structure and biogenesis",A0A1B1EF53,Op108,
PN96_RS00495,PN96_RS00495,NZ_CP009977.1,110828,112300,-,RNA polymerase factor sigma-54,Transcription,A0A3B7CTN8,Op108,
PN96_RS00500,lptB,NZ_CP009977.1,112351,113076,-,LPS export ABC transporter ATP-binding protein,Function unknown,A0A1B1EFH7,Op110,
PN96_RS00505,lptA,NZ_CP009977.1,113078,113572,-,lipopolysaccharide transport periplasmic protein LptA,Function unknown,A0A1B1EFX8,Op110,
PN96_RS00510,lptC,NZ_CP009977.1,113553,114116,-,LPS export ABC transporter periplasmic protein LptC,Function unknown,UPI00035781C6,Op110,
PN96_RS00515,kdsD,NZ_CP009977.1,114194,115165,-,arabinose-5-phosphate isomerase KdsD,Cell wall/membrane/envelope biogenesis,A0A3B7CTX3,Op111,
PN96_RS00520,PN96_RS00520,NZ_CP009977.1,115205,116170,-,calcium/sodium antiporter,Inorganic ion transport and metabolism,A0A1B1EF79,Op111,
PN96_RS00525,mlaF,NZ_CP009977.1,116628,117431,+,phospholipid ABC transporter ATP-binding protein MlaF,"Secondary metabolites biosynthesis, transport, and catabolism",A0A1B1EF39,Op113,
PN96_RS00530,mlaE,NZ_CP009977.1,117421,118212,+,lipid asymmetry maintenance ABC transporter permease subunit MlaE,"Secondary metabolites biosynthesis, transport, and catabolism",A0A1B1EF70,Op113,
PN96_RS00535,mlaD,NZ_CP009977.1,118215,118703,+,outer membrane lipid asymmetry maintenance protein MlaD,"Secondary metabolites biosynthesis, transport, and catabolism",A0A1B1EF64,Op113,
PN96_RS00540,PN96_RS00540,NZ_CP009977.1,118706,119344,+,phospholipid-binding protein MlaC,"Secondary metabolites biosynthesis, transport, and catabolism",A0A1B1EF44,Op113,
PN96_RS00545,PN96_RS00545,NZ_CP009977.1,119344,119664,+,lipid asymmetry maintenance protein MlaB,Function unknown,UPI000243B861,Op113,
PN96_RS00550,ibaG,NZ_CP009977.1,119668,119922,+,BolA family iron metabolism protein IbaG,Transcription,A0A1B1EFG7,Op113,
PN96_RS00555,murA,NZ_CP009977.1,119932,121197,+,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Cell wall/membrane/envelope biogenesis,UPI00035793C9,Op113,
PN96_RS00560,PN96_RS00560,NZ_CP009977.1,121327,122052,+,1-acylglycerol-3-phosphate O-acyltransferase,Lipid transport and metabolism,UPI000243B85E,Op119,
PN96_RS00565,PN96_RS00565,NZ_CP009977.1,122128,122517,-,RidA family protein,"Translation, ribosomal structure and biogenesis",A0A1B1EF58,Op121,
PN96_RS00570,pyrI,NZ_CP009977.1,122648,123109,-,aspartate carbamoyltransferase regulatory subunit,Nucleotide transport and metabolism,A0A1B1EF66,Op122,
PN96_RS00575,pyrB,NZ_CP009977.1,123125,124054,-,aspartate carbamoyltransferase,Nucleotide transport and metabolism,UPI000357EE5F,Op122,
PN96_RS00585,argF,NZ_CP009977.1,124328,125332,-,ornithine carbamoyltransferase,Amino acid transport and metabolism,A0A1B1EF60,Op125,"ArgR,Crp"
PN96_RS00590,arcA,NZ_CP009977.1,125483,126706,-,arginine deiminase,Amino acid transport and metabolism,UPI000358016B,Op125,"ArgR,Crp"
PN96_RS00595,rraB,NZ_CP009977.1,127265,127681,+,ribonuclease E inhibitor RraB,Function unknown,A0A1B1EF34,Op129,Crp
PN96_RS00600,PN96_RS00600,NZ_CP009977.1,127828,128628,+,hypothetical protein,Carbohydrate transport and metabolism,A0A1B1EF31,Op130,
PN96_RS00605,PN96_RS00605,NZ_CP009977.1,128649,129143,-,GNAT family N-acetyltransferase,Amino acid transport and metabolism,UPI000357CAB2,Op132,
PN96_RS00610,PN96_RS00610,NZ_CP009977.1,129189,129593,-,DUF2061 domain-containing protein,Function unknown,UPI0003572EC7,Op133,
PN96_RS00615,PN96_RS00615,NZ_CP009977.1,129799,132657,-,valine--tRNA ligase,"Translation, ribosomal structure and biogenesis",UPI0003578C0F,Op134,
PN96_RS00620,PN96_RS00620,NZ_CP009977.1,132817,133266,-,DNA polymerase III subunit chi,"Replication, recombination and repair",A0A3B7D211,Op137,
PN96_RS00625,pepA,NZ_CP009977.1,133369,134877,-,leucyl aminopeptidase,Amino acid transport and metabolism,A0A1B1EF48,Op139,Crp
PN96_RS00630,lptF,NZ_CP009977.1,135078,136178,+,LPS export ABC transporter permease LptF,Function unknown,A0A1B1EF62,Op140,
PN96_RS00635,lptG,NZ_CP009977.1,136182,137252,+,LPS export ABC transporter permease LptG,Function unknown,A0A1B1EF22,Op140,
PN96_RS00640,PN96_RS00640,NZ_CP009977.1,137285,137764,-,RDD family protein,Function unknown,A0A1B1EF49,Op143,
PN96_RS00645,PN96_RS00645,NZ_CP009977.1,137957,139225,-,DUF2254 domain-containing protein,Function unknown,UPI0003574B0A,Op144,
PN96_RS00650,PN96_RS00650,NZ_CP009977.1,139404,140069,+,SDR family NAD(P)-dependent oxidoreductase,Function unknown,UPI000357BE0C,Op146,
PN96_RS00660,PN96_RS00660,NZ_CP009977.1,141077,142015,+,bile acid:sodium symporter family protein,Function unknown,A0A1B1EF21,Op147,
PN96_RS00665,PN96_RS00665,NZ_CP009977.1,142155,142829,-,SDR family oxidoreductase,Function unknown,UPI00035798E5,Op148,
PN96_RS00670,PN96_RS00670,NZ_CP009977.1,143131,144384,+,HD-GYP domain-containing protein,Signal transduction mechanisms,UPI000357721F,Op149,QstR
PN96_RS00745,mcp,NZ_CP009977.1,152402,154027,-,methyl-accepting chemotaxis protein,Cell motility,UPI000357B396,Op156,NagC
PN96_RS00785,mltC,NZ_CP009977.1,155188,156330,-,membrane-bound lytic murein transglycosylase MltC,Cell wall/membrane/envelope biogenesis,UPI000357252C,Op159,
PN96_RS00790,PN96_RS00790,NZ_CP009977.1,156423,156695,-,oxidative damage protection protein,Energy production and conversion,A0A1B1EF54,Op161,
PN96_RS00795,mutY,NZ_CP009977.1,156715,157791,-,A/G-specific adenine glycosylase,"Replication, recombination and repair",UPI000357BF9F,Op161,
PN96_RS00800,trmB,NZ_CP009977.1,157995,158714,+,tRNA (guanosine(46)-N7)-methyltransferase TrmB,"Translation, ribosomal structure and biogenesis",A0A1B1EF35,Op162,
PN96_RS00805,PN96_RS00805,NZ_CP009977.1,158726,159754,+,DNA methylase,"Replication, recombination and repair",UPI000357802B,Op162,
PN96_RS00810,glsB,NZ_CP009977.1,159843,160763,+,glutaminase B,Amino acid transport and metabolism,A0A1B1EF16,Op164,
PN96_RS00815,hemW,NZ_CP009977.1,160842,162017,-,radical SAM family heme chaperone HemW,Coenzyme transport and metabolism,UPI0004624D0F,Op165,
PN96_RS00820,PN96_RS00820,NZ_CP009977.1,162035,162637,-,XTP/dITP diphosphatase,Nucleotide transport and metabolism,UPI000243B74A,Op165,
PN96_RS00825,PN96_RS00825,NZ_CP009977.1,162771,163202,-,DUF4426 domain-containing protein,Function unknown,A0A1B1EFE1,Op168,
PN96_RS00830,yggU,NZ_CP009977.1,163277,163567,-,DUF167 family protein YggU,Function unknown,A0A1B1EFU1,Op170,
PN96_RS00835,PN96_RS00835,NZ_CP009977.1,163567,164124,-,YggT family protein,Function unknown,A0A3B7D5M0,Op170,
PN96_RS00840,proC,NZ_CP009977.1,164177,164995,-,pyrroline-5-carboxylate reductase,Amino acid transport and metabolism,UPI000357727C,Op171,
PN96_RS00845,PN96_RS00845,NZ_CP009977.1,165118,165831,-,YggS family pyridoxal phosphate-dependent enzyme,Function unknown,UPI0003580164,Op173,
PN96_RS00850,PN96_RS00850,NZ_CP009977.1,165860,166900,+,type IV pilus twitching motility protein PilT,Cell motility,A0A1B1EF03,Op174,
PN96_RS00855,PN96_RS00855,NZ_CP009977.1,166931,168037,+,PilT/PilU family type 4a pilus ATPase,Cell motility,A0A1B1EF27,Op174,
PN96_RS00860,ruvX,NZ_CP009977.1,168103,168528,-,Holliday junction resolvase RuvX,"Replication, recombination and repair",A0A1B1EF25,Op176,
PN96_RS00865,PN96_RS00865,NZ_CP009977.1,168570,169133,-,YqgE/AlgH family protein,Transcription,A0A1B1EGL8,Op178,
PN96_RS00875,gshB,NZ_CP009977.1,169513,170463,-,glutathione synthase,Coenzyme transport and metabolism,UPI0003570556,Op179,
PN96_RS00880,rsmE,NZ_CP009977.1,170478,171209,-,16S rRNA (uracil(1498)-N(3))-methyltransferase,"Translation, ribosomal structure and biogenesis",UPI000357268D,Op179,
PN96_RS00885,endA,NZ_CP009977.1,171349,172044,-,deoxyribonuclease I,"Replication, recombination and repair",UPI000356FB29,Op181,"QstR,TfoX"
PN96_RS00890,PN96_RS00890,NZ_CP009977.1,172176,172673,-,SprT family zinc-dependent metalloprotease,Function unknown,A0A3B7D157,Op183,
PN96_RS00895,PN96_RS00895,NZ_CP009977.1,172739,173536,-,DUF2189 domain-containing protein,Function unknown,A0A1B1EF04,Op184,
PN96_RS00900,metK,NZ_CP009977.1,174012,175166,-,methionine adenosyltransferase,Coenzyme transport and metabolism,A0A1B1EF23,Op185,MetJ
PN96_RS00910,tkt,NZ_CP009977.1,175483,177477,+,transketolase,Carbohydrate transport and metabolism,UPI000356E568,Op188,"MetJ,PurR"
PN96_RS00915,epd,NZ_CP009977.1,177619,178659,+,erythrose-4-phosphate dehydrogenase,Coenzyme transport and metabolism,A0A1B1EF20,Op190,Fur
PN96_RS00920,pgk,NZ_CP009977.1,178814,179974,+,phosphoglycerate kinase,Nucleotide transport and metabolism,A0A1B1EF14,Op191,NagC
PN96_RS00925,fbaA,NZ_CP009977.1,180129,181205,+,class II fructose-bisphosphate aldolase,Carbohydrate transport and metabolism,A0A1B1EEZ8,Op191,NagC
PN96_RS00930,mscS,NZ_CP009977.1,181648,182514,+,small-conductance mechanosensitive channel MscS,Cell wall/membrane/envelope biogenesis,A0A1B1EEZ1,Op194,
PN96_RS00935,PN96_RS00935,NZ_CP009977.1,182630,183259,-,LysE/ArgO family amino acid transporter,Function unknown,UPI00040C76B0,Op195,
PN96_RS00940,PN96_RS00940,NZ_CP009977.1,183392,184288,+,LysR family transcriptional regulator ArgP,Transcription,A0A3B7D147,Op197,Crp
PN96_RS00945,PN96_RS00945,NZ_CP009977.1,184540,185232,+,oxidative stress defense protein,Function unknown,A0A1B1EEZ2,Op198,
PN96_RS00950,serA,NZ_CP009977.1,185299,186531,-,phosphoglycerate dehydrogenase,Energy production and conversion,A0A1B1EF12,Op200,"Crp,PurR"
PN96_RS00955,rpiA,NZ_CP009977.1,186805,187461,-,ribose-5-phosphate isomerase RpiA,Carbohydrate transport and metabolism,A0A1B1EF17,Op203,Crp
PN96_RS00960,PN96_RS00960,NZ_CP009977.1,187520,188113,-,5-formyltetrahydrofolate cyclo-ligase,Coenzyme transport and metabolism,A0A1B1EEY4,Op204,
PN96_RS00970,PN96_RS00970,NZ_CP009977.1,188311,188619,-,cell division protein ZapA,"Cell cycle control, cell division, chromosome partitioning",A0A1B1EF10,Op204,
PN96_RS00975,PN96_RS00975,NZ_CP009977.1,188868,189446,+,YecA family protein,Function unknown,A0A1B1EF09,Op207,
PN96_RS00980,ubiH,NZ_CP009977.1,189474,190652,+,2-octaprenyl-6-methoxyphenyl hydroxylase,Energy production and conversion,UPI0003581D24,Op207,
PN96_RS00985,PN96_RS00985,NZ_CP009977.1,190695,191903,+,FAD-dependent 2-octaprenylphenol hydroxylase,Energy production and conversion,UPI0003581C32,Op210,
PN96_RS00990,PN96_RS00990,NZ_CP009977.1,191964,192170,-,DUF1107 domain-containing protein,Function unknown,A0A1B1EFB2,Op213,Crp
PN96_RS00995,PN96_RS00995,NZ_CP009977.1,192804,193277,-,YbaK/EbsC family protein,Function unknown,UPI000357FF8C,Op214,
PN96_RS01000,ygfZ,NZ_CP009977.1,193270,194238,-,tRNA-modifying protein YgfZ,"Translation, ribosomal structure and biogenesis",UPI0003576E62,Op214,
PN96_RS01005,PN96_RS01005,NZ_CP009977.1,194424,194684,+,succinate dehydrogenase assembly factor 2,Function unknown,A0A1B1EEY2,Op215,
PN96_RS24110,PN96_RS24110,NZ_CP009977.1,194857,195078,+,hypothetical protein,No COG annotation,UPI000675C661,Op217,
PN96_RS01015,nadB,NZ_CP009977.1,195107,196729,-,L-aspartate oxidase,Coenzyme transport and metabolism,A0A3B7CTN6,Op218,
PN96_RS01020,rpoE,NZ_CP009977.1,197304,197882,+,RNA polymerase sigma factor RpoE,Transcription,A0A0C3IE74,Op221,
PN96_RS01025,PN96_RS01025,NZ_CP009977.1,197909,198535,+,sigma-E factor negative regulatory protein,Signal transduction mechanisms,UPI000243B724,Op221,
PN96_RS01030,rseB,NZ_CP009977.1,198532,199491,+,sigma-E factor regulatory protein RseB,Signal transduction mechanisms,A0A3B7CVP8,Op221,
PN96_RS01035,PN96_RS01035,NZ_CP009977.1,199508,199978,+,SoxR reducing system RseC family protein,Signal transduction mechanisms,A0A3B7CVR1,Op221,
PN96_RS01040,lepA,NZ_CP009977.1,200139,201932,+,translation elongation factor 4,Cell wall/membrane/envelope biogenesis,A0A1B1EEX3,Op224,
PN96_RS01045,lepB,NZ_CP009977.1,202037,202936,+,signal peptidase I,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1EEX4,Op224,
PN96_RS01050,rnc,NZ_CP009977.1,203085,203762,+,ribonuclease III,"Translation, ribosomal structure and biogenesis",A0A1B1EF99,Op227,
PN96_RS01055,era,NZ_CP009977.1,203755,204717,+,GTPase Era,Function unknown,A0A1B1EFP4,Op227,
PN96_RS01060,recO,NZ_CP009977.1,204823,205554,+,DNA repair protein RecO,"Replication, recombination and repair",A0A1B1EEX8,Op229,
PN96_RS01065,pdxJ,NZ_CP009977.1,205551,206282,+,pyridoxine 5'-phosphate synthase,Coenzyme transport and metabolism,UPI0003576BCF,Op229,
PN96_RS01070,acpS,NZ_CP009977.1,206295,206675,+,holo-ACP synthase,Lipid transport and metabolism,A0A1B1EEZ4,Op229,
PN96_RS01075,barA,NZ_CP009977.1,206759,209557,-,two-component sensor histidine kinase BarA,Signal transduction mechanisms,UPI000357CC71,Op231,
PN96_RS01085,rlmD,NZ_CP009977.1,209750,211069,+,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,"Translation, ribosomal structure and biogenesis",A0A3B7CVN8,Op234,
PN96_RS01090,relA,NZ_CP009977.1,211190,213409,+,GTP diphosphokinase,Transcription,A0A1B1EEY9,Op236,
PN96_RS01095,mazG,NZ_CP009977.1,213682,214473,+,nucleoside triphosphate pyrophosphohydrolase,Function unknown,UPI000356E4F7,Op239,
PN96_RS01100,PN96_RS01100,NZ_CP009977.1,214688,216328,+,CTP synthase,Nucleotide transport and metabolism,A0A1B1EF87,Op240,"FNR,NagC"
PN96_RS01105,eno,NZ_CP009977.1,216410,217711,+,phosphopyruvate hydratase,Carbohydrate transport and metabolism,A0A1B1EFN0,Op240,"AphA,NagC"
PN96_RS01110,ftsB,NZ_CP009977.1,218170,218451,+,cell division protein FtsB,"Cell cycle control, cell division, chromosome partitioning",A0A1B1EEW6,Op242,
PN96_RS01115,ispD,NZ_CP009977.1,218453,219160,+,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Lipid transport and metabolism,UPI0003582D83,Op242,
PN96_RS01120,ispF,NZ_CP009977.1,219174,219653,+,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Lipid transport and metabolism,A0A1B1EEY1,Op242,
PN96_RS01125,truD,NZ_CP009977.1,219696,220739,+,tRNA pseudouridine(13) synthase TruD,"Translation, ribosomal structure and biogenesis",A0A1B1EEV9,Op245,
PN96_RS01130,surE,NZ_CP009977.1,220769,221515,+,5'/3'-nucleotidase SurE,Function unknown,UPI000462A807,Op245,
PN96_RS01135,PN96_RS01135,NZ_CP009977.1,221515,222141,+,protein-L-isoaspartate(D-aspartate) O-methyltransferase,"Translation, ribosomal structure and biogenesis",A0A1B1EEX9,Op245,
PN96_RS01140,PN96_RS01140,NZ_CP009977.1,222155,223078,+,peptidoglycan DD-metalloendopeptidase family protein,Cell wall/membrane/envelope biogenesis,UPI000462CEA9,Op245,
PN96_RS01145,rpoS,NZ_CP009977.1,223159,224145,+,RNA polymerase sigma factor RpoS,Transcription,UPI00072306F7,Op247,Fur
PN96_RS01150,mutS,NZ_CP009977.1,224220,226781,-,DNA mismatch repair protein MutS,"Replication, recombination and repair",UPI000243B620,Op248,
