locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,RpoN,link
PA2164,0.10468094600000001,PA2164,,glycosyl hydrolase,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2164&e1=1&assembly=complete
PA2153,0.100315711,glgB,,1%2C4-alpha-glucan branching protein GlgB,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2153&e1=1&assembly=complete
PA2144,0.100014669,glgP,,glycogen phosphorylase,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2144&e1=1&assembly=complete
PA2134,0.099032728,PA2134,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2134&e1=1&assembly=complete
PA2180,0.09834859400000001,PA2180,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2180&e1=1&assembly=complete
PA2149,0.09692602800000001,PA2149,,hypothetical protein,No COG annotation,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2149&e1=1&assembly=complete
PA2156,0.09660088800000001,PA2156,,hypothetical protein,"Replication, recombination and repair",RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2156&e1=1&assembly=complete
PA2143,0.09644760100000001,PA2143,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2143&e1=1&assembly=complete
PA2173a,0.096205316,PA2173a,,hypothetical protein,No COG annotation,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2173a&e1=1&assembly=complete
PA2165,0.09607866100000001,PA2165,,glycogen synthase,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2165&e1=1&assembly=complete
PA2152,0.092125914,PA2152,,trehalose synthase,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2152&e1=1&assembly=complete
PA2147,0.09206821300000001,katE,,catalase HPII,Inorganic ion transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2147&e1=1&assembly=complete
PA2148,0.09163046200000001,PA2148,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2148&e1=1&assembly=complete
PA2154,0.086751853,PA2154,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2154&e1=1&assembly=complete
PA3273,0.08641336200000001,PA3273,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3273&e1=1&assembly=complete
PA2155,0.082372342,PA2155,,cardiolipin synthase 2,Lipid transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2155&e1=1&assembly=complete
PA2179,0.081936889,PA2179,,hypothetical protein,"Translation, ribosomal structure and biogenesis",RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2179&e1=1&assembly=complete
PA2141,0.080407015,PA2141,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2141&e1=1&assembly=complete
PA2157,0.07717259900000001,PA2157,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2157&e1=1&assembly=complete
PA2166,0.076939563,PA2166,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2166&e1=1&assembly=complete
PA2187,0.07462499900000001,PA2187,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2187&e1=1&assembly=complete
PA2192,0.07231206600000001,PA2192,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2192&e1=1&assembly=complete
PA2151,0.071722328,PA2151,,alpha-1%2C4-glucan:maltose-1-phosphate maltosyltransferase,Carbohydrate transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2151&e1=1&assembly=complete
PA2150,0.067144986,PA2150,,non-homologous end joining protein Ku,"Replication, recombination and repair",RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2150&e1=1&assembly=complete
PA2135,0.066889141,PA2135,,transporter,Inorganic ion transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2135&e1=1&assembly=complete
PA2175,0.06623872900000001,PA2175,,hypothetical protein,No COG annotation,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2175&e1=1&assembly=complete
PA4877,0.065625429,PA4877,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4877&e1=1&assembly=complete
PA2140,0.06560801200000001,PA2140,,metallothionein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2140&e1=1&assembly=complete
PA2178,0.065050997,PA2178,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2178&e1=1&assembly=complete
PA2142,0.063521906,PA2142,,short-chain dehydrogenase,Lipid transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2142&e1=1&assembly=complete
PA1870,0.062881477,PA1870,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1870&e1=1&assembly=complete
PA3274,0.060830027,PA3274,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3274&e1=1&assembly=complete
PA4738,0.059632643000000006,PA4738,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4738&e1=1&assembly=complete
PA2433,0.056803865,PA2433,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2433&e1=1&assembly=complete
PA0059,0.055940696000000005,osmC,,osmotically inducible protein OsmC,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0059&e1=1&assembly=complete
PA2183,0.054703053,PA2183,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2183&e1=1&assembly=complete
PA3460,0.054473877000000004,PA3460,,acetyltransferase,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3460&e1=1&assembly=complete
PA1404,0.053856335000000005,PA1404,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1404&e1=1&assembly=complete
PA3461,0.053740796,PA3461,,hypothetical protein,Carbohydrate transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3461&e1=1&assembly=complete
PA4171,0.053496718000000006,PA4171,,protease,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4171&e1=1&assembly=complete
PA0188,0.053055499000000006,PA0188,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0188&e1=1&assembly=complete
PA3231,0.051535221000000006,PA3231,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3231&e1=1&assembly=complete
PA4876,0.051366674,osmE,,OsmE family transcriptional regulator,"Translation, ribosomal structure and biogenesis",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4876&e1=1&assembly=complete
PA2244,0.051360445000000005,pslN,,hypothetical protein,"Replication, recombination and repair",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2244&e1=1&assembly=complete
PA2181,0.051158459,PA2181,,glutamate--cysteine ligase,Coenzyme transport and metabolism,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2181&e1=1&assembly=complete
PA2167,0.049810259,PA2167,,hypothetical protein,Function unknown,RpoN,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2167&e1=1&assembly=complete
PA1718,-0.05367455,pscE,,type III export protein PscE,No COG annotation,ExsB,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1718&e1=1&assembly=complete
